Bacteroidaceae	Akkermansiaceae	Lachnospiraceae	Sutterellaceae	Porphyromonadaceae	Ruminococcaceae	Erysipelotrichaceae	Rikenellaceae	Peptostreptococcaceae	Desulfovibrionaceae
9996832.28717232	2060727.75675377	244464.314266428	309623.525547093	463724.844099806	822699.044588457	20628.2369721543	51322.7920373033	1293.29087043216	609.824475732814
12114341.7373855	2763512.03101479	389887.674387031	456911.170329493	544919.100792302	904589.256532194	26127.0239978943	51893.1408088121	1293.66686308075	661.407421493195
14635005.9322707	3688568.35098557	615603.18394325	668048.284357547	639170.635570223	993746.373139118	32985.2836597467	52469.8115057556	1294.04348810968	717.353602436958
17571034.0499679	4877146.32660408	952657.615253402	958827.401679715	747012.432615283	1089750.52016369	41376.6566498008	53052.8574939093	1294.42126922994	778.032104594384
20901080.6450139	6358299.0054168	1430489.85269227	1338467.3470298	868316.778484286	1191844.80871572	51404.1175299719	53642.3321751853	1294.80073076571	843.843237266853
24558295.2284712	8135547.9349144	2063992.15452659	1800955.08037805	1002060.0501712	1298888.45565952	63048.7166491059	54238.2893529677	1295.18239285361	915.221174115285
28470206.7214528	10195420.305611	2852786.19791708	2328937.46664345	1146814.27635711	1409648.14593142	76211.0471584422	54840.7916300777	1295.56666566952	992.63680455957
32588521.2253364	12519758.9492367	3790793.75519393	2903646.92308596	1301030.76706532	1522903.12223853	90750.5904844343	55449.9108838874	1295.95384927314	1076.60083538294
36861618.3733081	15073256.8808993	4861594.34976768	3502246.77255327	1462518.10670035	1637182.93372714	106420.036688665	56065.7201806457	1296.34423928761	1167.66716971289
45658049.3479632	20638657.3873307	7301132.95606253	4676782.88492549	1795074.77563662	1861658.36727125	139575.368569965	57317.7053048907	1297.13582292647	1373.56057536656
54414066.5647678	26311210.6611881	9937158.24285547	5690448.24574352	2116558.34041501	2068002.61165841	171797.221162181	58597.3493863272	1297.94288497814	1615.75896498684
62558127.2001247	31493378.7449446	12450139.0447851	6431779.34391191	2406247.72910773	2245475.95729775	199790.037391927	59905.2733742831	1298.76327868057	1900.66385678365
69505937.4736353	35717497.841346	14539892.6642418	6873652.98267111	2650998.54078578	2386362.13536898	221427.628196718	61242.1139789273	1299.59394684064	2235.80550673855
74767450.1198849	38733831.3729885	16027218.4916287	7069721.32095388	2844686.18515226	2485417.1254315	235906.560943317	62608.5229185413	1300.43182468532	2630.04190805644
78010265.2975026	40528083.5132911	16881864.3484461	7120518.8361598	2988009.90049336	2540186.2276622	243664.998922684	64005.1673784176	1301.27389986716	3093.7928920598
75660951.7808823	39314630.9653732	16015274.0216791	6825349.82451442	3132372.69615707	2460620.35712565	232981.208686293	68383.4533259553	1303.81455559177	5035.89266614362
66847552.9180439	34561262.5437512	13493661.5831593	6368177.4357339	3027447.0778441	2260367.19993501	206107.538478226	71466.5186590098	1305.51827745403	6968.39835198523
55820063.6230427	28635154.1152	10555119.2032302	5809890.82853272	2823301.46395109	2005536.91724458	173346.373669338	74688.0464525803	1307.22815592914	9642.49233423051
40256744.1309281	20353492.5893854	6779552.41992041	4950622.05438879	2453329.35922838	1618920.18136508	127114.176680543	79794.0824351004	1309.80111164616	15695.4448858288
43475792.3005338	316126.205540664	11034545.1725589	2818580.44759597	1949713.9360206	2017870.02249282	184582.624302941	24047.678048149	100042.387268612	765.725235318047
44167293.5720586	611333.733357741	5156794.58880477	2922312.948727	1986302.17821966	2030124.20193593	185255.844065576	25428.7239589121	84029.2858509491	855.782892798937
44869797.4158573	1161207.8493704	2574285.06335202	3029863.32360554	2023577.12401194	2042453.52793335	185931.528504408	26889.0613923798	70579.309472272	956.43221362378
45583482.9664776	2127987.36258502	1466345.32467168	3141372.29949036	2061551.75545053	2054859.19913933	186609.695982748	28433.219119824	59282.2052123046	1068.91875578557
46308532.401947	3695467.14536317	1018052.34177298	3256985.80607578	2100239.30348489	2067342.43493588	187290.365033093	30065.9819180357	49793.3808848576	1194.63452425113
47045130.855386	5976497.25212386	917550.238542691	3376855.14179316	2139653.2478445	2079904.45787573	187973.553982261	31792.4047701388	41823.3968967589	1335.1351863288
47793463.2643091	8950468.37818777	1068447.4831499	3501136.55667285	2179807.20982969	2092546.09829844	188659.272638611	33617.8269058026	35129.1357292548	1492.15935029921
48553714.1612562	12488772.8552424	1495008.94921229	3629991.3419843	2220714.94640048	2105267.78207358	189347.522134968	35547.8873426564	29506.3912438965	1667.6500874594
49326070.7501735	16343465.9031779	2330910.78563267	3763586.57308698	2262390.45968806	2118069.91807242	190038.303137843	37588.5423148238	24783.6456994171	1863.77893703996
50907864.1252576	23710778.8248942	5796408.20584836	4045696.95846988	2348102.10165071	2143917.18584059	191427.46186573	42027.1531356723	17484.9642406766	2327.94377159956
52540402.8547742	28775895.2562565	10132028.8367026	4348930.76028982	2437059.56990767	2170091.36854216	192826.76846235	46988.4257692251	12335.7606039578	2907.69825612632
54225311.2144317	30582302.9678817	12421891.087032	4674868.37918465	2529385.65240249	2196596.68870655	194236.306689591	52533.8304720382	8702.97890342574	3631.82518472285
55964269.5055899	29752366.083993	12020821.9375162	5025211.05195284	2625208.0407591	2223437.61023706	195656.177546646	58732.1720816408	6140.01987113168	4536.27424829667
57759011.9484939	27697111.1955908	10333252.9251885	5401787.83089652	2724659.27895412	2250618.66197645	197086.483345277	65660.3887101668	4331.82101560889	5665.94628647115
59611328.3815598	25765605.0447691	8856830.15718804	5806565.18779246	2827876.94619653	2278144.41095019	198527.326984496	73404.5163799046	3056.11133331353	7076.9219467168
65532481.6075924	23309814.5670973	7569875.30808015	7212033.86283875	3161583.15218032	2362827.19737372	202913.888541511	102551.508576721	1073.12806459188	13789.6713361677
69803243.6129596	23580199.9705747	8369624.13140908	8333207.81830978	3405651.00379762	2421070.47675616	205892.325233645	128153.237331838	534.110159328457	21512.4279030132
74352373.5434567	24894699.3101428	10349291.3808823	9628623.53992608	3668557.93813185	2480775.39735337	208914.672603127	160141.281286259	265.830760101449	33560.0555479665
81737985.5704183	28183616.651644	15914941.0649666	11958858.7796365	4101455.01200082	2573131.67831127	213531.779185571	223691.800077861	93.3387397489788	65391.3444145254
20583225.8688123	3221937.62903571	1511733.51903929	611220.841311374	841359.192736245	867225.827195711	26622.234741604	25951.944891203	56765.215585675	782.158420674848
20515585.6719278	3738926.01894283	1622483.19420393	705447.504313891	876395.110730523	887035.391450509	32849.2657698921	26805.9384408736	33347.5587334949	838.053580639411
20506056.3126938	4334162.66521754	1744209.89428475	814974.325337554	912890.005046253	907297.590683703	40410.6693062297	27688.0198441366	19083.5542976625	897.943160135475
20612746.602728	5013265.73030641	1881240.99050268	943297.123511213	950904.640590703	928022.909464597	49413.4135776183	28599.097692296	10362.9025029379	962.112611150818
20896464.9140993	5779922.55076153	2039063.93444432	1094942.03584464	990502.313867076	949222.081598801	59877.1781610113	29540.1089732476	5201.68384157928	1030.86778483466
21423310.3510457	6635059.17982487	2224568.46978955	1275721.43268923	1031748.95791662	970906.097067969	71690.1201480832	30512.020100904	2352.23241308159	1104.53638835957
22232301.58483	7578592.54075887	2443341.97036143	1490969.29976346	1074713.2388495	993086.226509061	84668.023900186	31515.8321830137	944.889126564255	1183.46952495872
23333902.3989459	8610265.70429569	2698662.12691309	1744205.50659103	1119466.66745299	1015774.02983363	98602.7543383895	32552.5826578223	336.35174218779	1268.04335938983
