Sample	Bacteroidaceae	Akkermansiaceae	Lachnospiraceae	Sutterellaceae	Porphyromonadaceae	Prevotellaceae	Acidaminococcaceae	Ruminococcaceae	Enterobacteriaceae	Desulfovibrionaceae	Erysipelotrichaceae	Rikenellaceae	Barnesiellaceae	Clostridiaceae_1	Odoribacteraceae	Erysipelatoclostridiaceae	Peptostreptococcaceae	Christensenellaceae	Streptococcaceae	Eubacteriaceae	Veillonellaceae	Clostridiales_Incertae_Sedis_XIII	Oxalobacteraceae	Enterococcaceae	Bifidobacteriaceae	Muribaculaceae	Eggerthellaceae	Moraxellaceae	Coriobacteriaceae	Lactobacillaceae	Fusobacteriaceae	Morganellaceae	Victivallaceae	Comamonadaceae	Methanobacteriaceae	Azospirillaceae	Catabacteriaceae	Sphingomonadaceae	Rhizobiaceae	Caulobacteraceae	Pleomorphomonadaceae	Pseudomonadaceae	Bradyrhizobiaceae	Nocardioidaceae	Chromatiaceae	Aurantimonadaceae	Bacillaceae_1	Chitinophagaceae	Devosiaceae	Rhodospirillaceae	Rhodobacteraceae	Bacillales_Incertae_Sedis_X	Bacteriovoracaceae	Xanthomonadaceae	Hydrogenophilaceae	Streptophyta	Stappiaceae	Geodermatophilaceae	Paenibacillaceae_1	Burkholderiaceae	Bdellovibrionaceae	Weeksellaceae	Anaerolineaceae	Caldilineaceae	Boseaceae	Cytophagaceae	Lawsonellaceae	Pasteurellaceae	Sphingosinicellaceae	Legionellaceae	Deinococcaceae	Erythrobacteraceae	Nocardiopsaceae	Kiloniellaceae	Selenomonadaceae
sample1	5723190.521	3180.009	186560.4993	62893.5002	134384.8082	0	0	318354.2132	0	0	14604.4856	0	0	34744.5393	0	7066.685	9657.803	0	0	0	0	0	0	1648.893	19786.7189	235.5562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample2	44209688.46	7119.113	6123453.863	151535.427	864463.806	0	5085.081	1339410.307	26442.417	0	45765.723	0	0	697673.091	0	191199	88480.41	0	0	0	0	0	0	33561.53	68140.085	2034.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample3	20759580	16126.63	1850876	253418.4	164491.6	0	460.7608	707728.6	29488.69	0	11979.78	0	0	144218.1	0	43311.51	112425.6	0	0	0	0	0	0	11519.02	52987.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample4	12989016.42	8691.03	379417.764	99132.067	216732.535	0	1629.568	389738.39	16838.875	1086.379	1629.568	0	0	82293.189	0	6246.678	7876.247	0	0	0	0	0	0	1901.163	15480.898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample5	9609930.918	10430.96	314087.9021	98746.451	342367.4299	0	0	164577.3824	9503.766	0	15298.746	0	0	687052.834	0	13676.15	56790.8051	0	0	0	0	0	0	14371.55	3476.988	231.7992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample6	1425618.559	1613.713	111120.2587	24980.277	34242.985	0	0	44118.9066	0	0	355.0168	129.097	0	2323.7458	0	1065.05	516.3881	0	0	0	0	0	0	355.0168	1807.3584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample7	169888000	505866.5	15716510	10179700	7806282	0	17324.19	9653041	45042.9	0	883533.8	17324.19	10394.52	980549.3	0	672178.7	502401.6	0	0	0	0	0	0	31183.55	1680447	6929.677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample8	21872640	46616.48	1044590	941367.5	877626.8	0	951.3568	952783.8	3329.749	2378.392	11891.96	4281.106	0	35675.88	0	17600.1	18551.46	0	0	0	0	0	0	3329.749	103222.2	0	951.3568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample9	47900913.9	163773.317	2504506.362	1843842.09	2211496.804	0	22282.08	2689447.855	95812.97	16711.56	69074.467	10026.94	0	229505.472	0	72416.78	75759.09	0	0	0	0	0	0	51248.8	157088.701	8912.834	3342.313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample10	72543892.21	2116556.4	4642225.624	2785335.418	3915535.795	0	1868.099	1724255.365	177469.39	0	102745.44	48570.58	0	1115255.06	0	179337.5	218567.59	0	1868.099	0	0	0	0	85932.56	54174.867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample11	26729191.65	3481894.4	1052785.352	1337807.68	1388521.079	1925.827	4493.596	1746725.076	39800.42	5135.538	34664.881	28887.399	0	1925.827	0	28887.4	1283.884	0	2567.769	0	0	0	0	0	6419.422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample12	2097203	537451.7	100800.5	123853.5	133176.4	0	565.0249	162275.1	565.0249	0	5028.721	1356.06	0	0	0	1356.06	0	0	0	0	0	0	0	56.50249	395.5174	113.005	0	0	0	113.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample13	40340980	9557115	3390468	1429865	2509384	0	2848.335	2413489	0	0	70258.93	44623.92	0	4747.225	0	56017.26	949.4451	0	0	0	2848.335	0	0	0	10443.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
