Sample	Subject	Time	Group
sample1	1	1	group1
sample2	2	1	group1
sample3	3	1	group1
sample4	4	1	group1
sample5	5	1	group1
sample6	1	1.5	group1
sample7	2	1.5	group1
sample8	3	1.5	group1
sample9	4	1.5	group1
sample10	5	1.5	group1
sample11	1	2	group1
sample12	2	2	group1
sample13	3	2	group1
sample14	4	2	group1
sample15	5	2	group1
sample16	1	2.5	group1
sample17	2	2.5	group1
sample18	3	2.5	group1
sample19	4	2.5	group1
sample20	5	2.5	group1
sample21	1	3	group1
sample22	2	3	group1
sample23	3	3	group1
sample24	4	3	group1
sample25	5	3	group1
sample26	1	3.5	group1
sample27	2	3.5	group1
sample28	3	3.5	group1
sample29	4	3.5	group1
sample30	5	3.5	group1
sample31	1	4	group1
sample32	2	4	group1
sample33	3	4	group1
sample34	4	4	group1
sample35	5	4	group1
sample36	1	4.5	group1
sample37	2	4.5	group1
sample38	3	4.5	group1
sample39	4	4.5	group1
sample40	5	4.5	group1
sample41	1	5	group1
sample42	2	5	group1
sample43	3	5	group1
sample44	4	5	group1
sample45	5	5	group1
sample46	1	6	group1
sample47	2	6	group1
sample48	3	6	group1
sample49	4	6	group1
sample50	5	6	group1
sample51	1	7	group1
sample52	2	7	group1
sample53	3	7	group1
sample54	4	7	group1
sample55	5	7	group1
sample56	1	8	group1
sample57	2	8	group1
sample58	3	8	group1
sample59	4	8	group1
sample60	5	8	group1
sample61	1	9	group1
sample62	2	9	group1
sample63	3	9	group1
sample64	4	9	group1
sample65	5	9	group1
sample66	1	10	group1
sample67	2	10	group1
sample68	3	10	group1
sample69	4	10	group1
sample70	5	10	group1
sample71	1	11	group1
sample72	2	11	group1
sample73	3	11	group1
sample74	4	11	group1
sample75	5	11	group1
sample76	1	14	group1
sample77	2	14	group1
sample78	3	14	group1
sample79	4	14	group1
sample80	5	14	group1
sample81	1	16	group1
sample82	2	16	group1
sample83	3	16	group1
sample84	4	16	group1
sample85	5	16	group1
sample86	1	18	group1
sample87	2	18	group1
sample88	3	18	group1
sample89	4	18	group1
sample90	5	18	group1
sample91	1	21	group1
sample92	2	21	group1
sample93	3	21	group1
sample94	4	21	group1
sample95	5	21	group1
sample96	1	21.5	group2
sample97	2	21.5	group2
sample98	3	21.5	group2
sample99	4	21.5	group2
sample100	5	21.5	group2
sample101	1	22	group2
sample102	2	22	group2
sample103	3	22	group2
sample104	4	22	group2
sample105	5	22	group2
sample106	1	22.5	group2
sample107	2	22.5	group2
sample108	3	22.5	group2
sample109	4	22.5	group2
sample110	5	22.5	group2
sample111	1	23	group2
sample112	2	23	group2
sample113	3	23	group2
sample114	4	23	group2
sample115	5	23	group2
sample116	1	23.5	group2
sample117	2	23.5	group2
sample118	3	23.5	group2
sample119	4	23.5	group2
sample120	5	23.5	group2
sample121	1	24	group2
sample122	2	24	group2
sample123	3	24	group2
sample124	4	24	group2
sample125	5	24	group2
sample126	1	25	group2
sample127	2	25	group2
sample128	3	25	group2
sample129	4	25	group2
sample130	5	25	group2
sample131	1	28	group2
sample132	2	28	group2
sample133	3	28	group2
sample134	4	28	group2
sample135	1	28.5	group2
sample136	2	28.5	group2
sample137	3	28.5	group2
sample138	4	28.5	group2
sample139	1	29	group2
sample140	2	29	group2
sample141	3	29	group2
sample142	4	29	group2
sample143	5	29	group2
sample144	1	29.5	group2
sample145	2	29.5	group2
sample146	3	29.5	group2
sample147	4	29.5	group2
sample148	5	29.5	group2
sample149	1	30	group2
sample150	2	30	group2
sample151	3	30	group2
sample152	4	30	group2
sample153	5	30	group2
sample154	1	30.5	group2
sample155	2	30.5	group2
sample156	3	30.5	group2
sample157	4	30.5	group2
sample158	5	30.5	group2
sample159	1	31	group2
sample160	2	31	group2
sample161	3	31	group2
sample162	4	31	group2
sample163	5	31	group2
sample164	1	31.5	group2
sample165	2	31.5	group2
sample166	3	31.5	group2
sample167	4	31.5	group2
sample168	5	31.5	group2
sample169	1	32	group2
sample170	2	32	group2
sample171	3	32	group2
sample172	4	32	group2
sample173	5	32	group2
sample174	1	33	group2
sample175	2	33	group2
sample176	3	33	group2
sample177	4	33	group2
sample178	5	33	group2
sample179	1	35	group2
sample180	2	35	group2
sample181	3	35	group2
sample182	4	35	group2
sample183	5	35	group2
sample184	1	35.5	group2
sample185	2	35.5	group2
sample186	3	35.5	group2
sample187	4	35.5	group2
sample188	5	35.5	group2
sample189	1	36	group2
sample190	2	36	group2
sample191	3	36	group2
sample192	4	36	group2
sample193	5	36	group2
sample194	1	36.5	group2
sample195	2	36.5	group2
sample196	3	36.5	group2
sample197	4	36.5	group2
sample198	5	36.5	group2
sample199	1	37	group2
sample200	2	37	group2
sample201	3	37	group2
sample202	4	37	group2
sample203	5	37	group2
sample204	1	37.5	group2
sample205	2	37.5	group2
sample206	3	37.5	group2
sample207	4	37.5	group2
sample208	5	37.5	group2
sample209	1	38	group2
sample210	2	38	group2
sample211	3	38	group2
sample212	4	38	group2
sample213	5	38	group2
sample214	1	39	group2
sample215	2	39	group2
sample216	3	39	group2
sample217	4	39	group2
sample218	5	39	group2
sample219	1	42	group2
sample220	2	42	group2
sample221	3	42	group2
sample222	4	42	group2
sample223	5	42	group2
