class	var	Estimate	Std.Error	df	t value	P_value
Total	(Intercept)	28.849576473882	13.219624006842	150.999999999658	2.18232957752433	0.0306307515903417
Total	A.muciniphila	-0.721570019297852	0.4400378145027	150.999999998408	-1.63979093504343	0.103130297611401
Total	Muribaculaceae	0.262239171317431	0.710071971854967	150.99999999952	0.36931350864669	0.712411432624983
Total	Faecalibaculum	-0.313952948345404	0.879377183429049	150.999999999971	-0.357017391696671	0.721577228767956
Total	B.acidifaciens	0.830174396314406	0.359403746923982	150.999999999317	2.30986572460525	0.0222504064030901
Total	Alloprevotella	0.138263456319345	0.430928477020189	150.999999999369	0.320850126395494	0.748767591915716
Butyrate	(Intercept)	4.70048097072083	3.63267570663984	149.054685775014	1.29394456051479	0.197685914887231
Butyrate	A.muciniphila	-0.110770354531034	0.123649415952588	92.8735656730447	-0.895842116824131	0.372653167687294
Butyrate	Muribaculaceae	-0.493989873714209	0.197571434525271	120.999657311261	-2.50031020375582	0.0137467301279488
Butyrate	Faecalibaculum	0.525830263189569	0.240610092225013	150.803557680533	2.18540402161446	0.0304022990657719
Butyrate	B.acidifaciens	0.178621544771815	0.0990606831558933	144.235715184514	1.80315276536823	0.0734516814530046
Butyrate	Alloprevotella	0.0163774014058034	0.118558776556965	145.893013756231	0.138137402235543	0.890322303179402
Iso-butyrate	(Intercept)	0.721959824092386	0.127054110658571	150.999999996472	5.68230197630115	6.64383366418389e-08
Iso-butyrate	A.muciniphila	0.0121765751985385	0.00422921356529093	150.999999996739	2.87915826679253	0.00456683704147044
Iso-butyrate	Muribaculaceae	-0.0117854217516845	0.00682451806805675	150.999999998043	-1.72692366466843	0.0862263408035459
Iso-butyrate	Faecalibaculum	-0.033743437873963	0.00845171435406862	150.999999997759	-3.99249625109715	0.000101752943221806
Iso-butyrate	B.acidifaciens	-0.00403944412148161	0.00345423768551592	150.999999998385	-1.16941695657469	0.244078315124511
Iso-butyrate	Alloprevotella	0.00740710859067037	0.00414166351304054	150.999999998638	1.78843804363831	0.0757104133871799
Acetate	(Intercept)	24.5813125328171	7.70139807864537	150.999999995573	3.19179872041374	0.00172041838529602
Acetate	A.muciniphila	-0.761840800519189	0.256354218349057	150.999999994143	-2.97182861052768	0.00344594084194399
Acetate	Muribaculaceae	0.498373893510464	0.413668869622424	150.999999994431	1.20476528476836	0.230178766398435
Acetate	Faecalibaculum	-0.691255128229867	0.512301541054413	150.999999995925	-1.34931299797993	0.179256137025615
Acetate	B.acidifaciens	0.24421541306199	0.209378975119545	150.999999996003	1.16637982835934	0.245299764079845
Acetate	Alloprevotella	0.181681305754921	0.251047362862908	150.999999994535	0.723693344885417	0.470373659229563
Propionate	(Intercept)	-3.0639368795809	3.85381215323164	150.999999994071	-0.795040535904588	0.427837811591006
Propionate	A.muciniphila	0.120384322563956	0.128280734500036	150.999999993864	0.938444288093177	0.34951478627859
Propionate	Muribaculaceae	0.292560182965238	0.207001650983986	150.999999995368	1.41332294488739	0.159618912198671
Propionate	Faecalibaculum	-0.044130384963457	0.25635785669997	150.999999994487	-0.172143680445516	0.863555073753834
Propionate	B.acidifaciens	0.405815401386546	0.104774124218342	150.999999993784	3.87324069195612	0.000159567757426969
Propionate	Alloprevotella	-0.0569118864217124	0.125625161582091	150.999999995249	-0.453029358967414	0.651177888242746
Valerate	(Intercept)	0.644215753882802	0.229816792806737	150.332585836517	2.80317093461726	0.00572790710679554
Valerate	A.muciniphila	-0.00538519974722492	0.00798072175311021	112.662809774897	-0.674776030767671	0.50120046249753
Valerate	Muribaculaceae	-0.000934228505143441	0.012643205904366	133.263755807989	-0.0738917417156693	0.941207324612666
Valerate	Faecalibaculum	-0.00790615564821479	0.0151436510870254	149.8451706835	-0.522077245624637	0.602387461109965
Valerate	B.acidifaciens	-0.00136739621029819	0.0062872772127764	147.476372013912	-0.217486228779526	0.828130049325003
Valerate	Alloprevotella	0.00386930402016038	0.00752515535085553	146.079814345035	0.514182610159733	0.607901300011509
Iso-valerate	(Intercept)	0.565616384443684	0.0902515723251366	150.999999996032	6.26710837132032	3.65767810425327e-09
Iso-valerate	A.muciniphila	0.00749575525399549	0.00300417807804753	150.999999997562	2.4951101629991	0.0136677415891306
Iso-valerate	Muribaculaceae	-0.0067216562040791	0.00484772576668996	150.999999996404	-1.38655867257703	0.167620096468517
Iso-valerate	Faecalibaculum	-0.0276636954193555	0.00600358780478517	150.999999997495	-4.60786055253595	8.5922960969728e-06
Iso-valerate	B.acidifaciens	-0.00655313533628515	0.00245368198389356	150.999999996606	-2.67073540063513	0.00839818154452494
Iso-valerate	Alloprevotella	0.00629500518540768	0.00294198780469245	150.999999995426	2.13971151592375	0.033985055947137
