class	var	Estimate	Std.Error	df	t value	P_value
Total	(Intercept)	-0.030950834983957	17.1820939486073	172.761182934088	-0.00180134243687252	0.998564815787047
Total	Alloprevotella	0.0617558668123696	0.272039446539099	174.191013253275	0.227010705976766	0.820681617038921
Total	Parasutterella	0.610037466313285	0.619978967311813	127.953690589132	0.983964776996172	0.32698975002275
Total	Faecalibaculum	0.341854615415549	0.736726019986547	173.655100077174	0.464018652988246	0.643215526907603
Total	B.acidifaciens	0.421740061954328	0.223631445878324	159.491086020564	1.88587101558067	0.0611304467362143
Total	Lachnospiraceae	-0.10689571812918	0.746276230470675	176.688309257409	-0.143238808586683	0.886264805051448
Butyrate	(Intercept)	-2.61591275851979	3.83145117472092	174.072847003129	-0.68274725142761	0.495674173134882
Butyrate	Alloprevotella	0.0540377030763896	0.0600155703545467	172.084116299803	0.900394726854341	0.369168549927178
Butyrate	Parasutterella	-0.0958790355318746	0.133821678445952	100.707358100695	-0.716468636810576	0.475360256351766
Butyrate	Faecalibaculum	0.434430231023492	0.162103752272955	161.623911907691	2.67995172802654	0.00812591223352031
Butyrate	B.acidifaciens	-0.00772294674088323	0.0489521873413077	153.878205993659	-0.157765100199441	0.874848735360572
Butyrate	Lachnospiraceae	0.0308364058592176	0.165641862718103	176.990177812283	0.186163119354051	0.852530040621143
Iso-butyrate	(Intercept)	0.587232968349534	0.310438256833922	173.824470012374	1.89162564671819	0.0602038752263845
Iso-butyrate	Alloprevotella	0.00436252994054246	0.00489723911247176	174.222469579734	0.890814158825213	0.374257408884312
Iso-butyrate	Parasutterella	-0.00905102237058881	0.0110865741145186	126.42033175138	-0.816394882413304	0.415810009706358
Iso-butyrate	Faecalibaculum	0.00796385713359635	0.0132573296646672	171.916888376078	0.600713517354948	0.548821946727877
Iso-butyrate	B.acidifaciens	-0.00472112540055162	0.0040152072913048	160.881132565614	-1.17581112456523	0.241407408145128
Iso-butyrate	Lachnospiraceae	-0.0247253724092056	0.0134630575714228	176.897331284857	-1.83653470083116	0.0679569089834182
Acetate	(Intercept)	3.56307629950154	12.1193198146897	170.140206574807	0.29399969255558	0.769116491695788
Acetate	Alloprevotella	0.00787493297665144	0.19556807322888	175.565835084791	0.0402669661087018	0.967926043589944
Acetate	Parasutterella	0.791911596924487	0.456579389310523	158.878763932796	1.73444447004134	0.0847787440960879
Acetate	Faecalibaculum	-0.567619176112155	0.527189157207363	176.55743269136	-1.0766897770033	0.2830878626297
Acetate	B.acidifaciens	0.273634146394515	0.162888707163778	164.123220069635	1.67988408256803	0.0948823719512741
Acetate	Lachnospiraceae	0.0947236091527064	0.529841512517805	174.545443772044	0.178777251149273	0.858319950060369
Propionate	(Intercept)	1.8777964362954	2.69583796039633	173.110760175331	0.696553896740639	0.487016258718859
Propionate	Alloprevotella	0.0228951515211968	0.0426380025339912	174.218698682074	0.536965855821802	0.591976290248066
Propionate	Parasutterella	0.0969347399385223	0.0969937024543441	127.696421872172	0.999392099545333	0.319494812820881
Propionate	Faecalibaculum	0.061648294383352	0.115463257886988	173.203150397886	0.533921314117875	0.594080554727561
Propionate	B.acidifaciens	0.0966234113498154	0.0350244330142	159.992834928768	2.75874305547334	0.00647873125849629
Propionate	Lachnospiraceae	-0.174956393370077	0.117039628541814	176.763808640674	-1.49484747644745	0.136737335177623
Valerate	(Intercept)	0.35620935157743	0.377531157590342	171.624397158924	0.943523056086278	0.346739750290622
Valerate	Alloprevotella	0.000620795170410782	0.00603497321560538	175.081467130406	0.102866267708615	0.918186835963537
Valerate	Parasutterella	-0.0229998240136724	0.0139513463657743	146.416277619547	-1.64857379428955	0.101379086137487
Valerate	Faecalibaculum	0.0340836623204709	0.0163258789458576	176.812641455264	2.08770764707397	0.0382575143105061
Valerate	B.acidifaciens	-0.00207989966874329	0.00499481075690652	162.476552007466	-0.416412106478175	0.677658033951758
Valerate	Lachnospiraceae	-0.0126860460031231	0.0164564896878293	175.872519081608	-0.770884085474513	0.44181002726472
Iso-valerate	(Intercept)	0.497718102070539	0.192620600624697	171.82198889056	2.58392975858432	0.0105994630398572
Iso-valerate	Alloprevotella	0.00307030638744342	0.00306459988540151	174.531291023924	1.00186207082663	0.317797201940469
Iso-valerate	Parasutterella	-0.00341682534655936	0.00703908579071792	135.672310387401	-0.485407544125255	0.628170214119414
Iso-valerate	Faecalibaculum	-0.00641990875253708	0.00829779353242056	175.755404709855	-0.773688659214484	0.440154334045812
Iso-valerate	B.acidifaciens	-0.00469136656565379	0.0025280445277964	160.032588875803	-1.85572940431673	0.0653312584688864
Iso-valerate	Lachnospiraceae	-0.0139343148049776	0.0083820456995429	176.276138833824	-1.66240024266839	0.0982096997657334
