SampleID	Subject	Vendor	Time	Group
sample131	BC1	Beijing	0	Control
sample132	BC2	Beijing	0	Control
sample133	BC3	Beijing	0	Control
sample134	BC4	Beijing	0	Control
sample135	BC5	Beijing	0	Control
sample136	BR1	Beijing	0	Resistant starch
sample137	BR2	Beijing	0	Resistant starch
sample138	BR3	Beijing	0	Resistant starch
sample139	BR4	Beijing	0	Resistant starch
sample140	BR5	Beijing	0	Resistant starch
sample141	BI1	Beijing	0	Inulin
sample142	BI2	Beijing	0	Inulin
sample143	BI3	Beijing	0	Inulin
sample144	BI4	Beijing	0	Inulin
sample145	BI5	Beijing	0	Inulin
sample146	BC1	Beijing	1	Control
sample147	BC2	Beijing	1	Control
sample148	BC3	Beijing	1	Control
sample149	BC4	Beijing	1	Control
sample150	BC5	Beijing	1	Control
sample151	BR1	Beijing	1	Resistant starch
sample152	BR2	Beijing	1	Resistant starch
sample153	BR3	Beijing	1	Resistant starch
sample154	BR4	Beijing	1	Resistant starch
sample155	BR5	Beijing	1	Resistant starch
sample156	BI1	Beijing	1	Inulin
sample157	BI2	Beijing	1	Inulin
sample158	BI3	Beijing	1	Inulin
sample159	BI4	Beijing	1	Inulin
sample160	BI5	Beijing	1	Inulin
sample161	BC1	Beijing	3	Control
sample162	BC2	Beijing	3	Control
sample163	BC3	Beijing	3	Control
sample164	BC4	Beijing	3	Control
sample165	BC5	Beijing	3	Control
sample166	BR1	Beijing	3	Resistant starch
sample167	BR2	Beijing	3	Resistant starch
sample168	BR3	Beijing	3	Resistant starch
sample169	BR4	Beijing	3	Resistant starch
sample170	BR5	Beijing	3	Resistant starch
sample171	BI1	Beijing	3	Inulin
sample172	BI2	Beijing	3	Inulin
sample173	BI3	Beijing	3	Inulin
sample174	BI4	Beijing	3	Inulin
sample175	BI5	Beijing	3	Inulin
sample176	BC1	Beijing	5	Control
sample177	BC2	Beijing	5	Control
sample178	BC3	Beijing	5	Control
sample179	BC4	Beijing	5	Control
sample180	BC5	Beijing	5	Control
sample181	BR1	Beijing	5	Resistant starch
sample182	BR2	Beijing	5	Resistant starch
sample183	BR3	Beijing	5	Resistant starch
sample184	BR4	Beijing	5	Resistant starch
sample185	BR5	Beijing	5	Resistant starch
sample186	BI1	Beijing	5	Inulin
sample187	BI2	Beijing	5	Inulin
sample188	BI3	Beijing	5	Inulin
sample189	BI4	Beijing	5	Inulin
sample190	BI5	Beijing	5	Inulin
sample191	BC1	Beijing	8	Control
sample192	BC2	Beijing	8	Control
sample193	BC3	Beijing	8	Control
sample194	BC4	Beijing	8	Control
sample195	BC5	Beijing	8	Control
sample196	BR1	Beijing	8	Resistant starch
sample197	BR2	Beijing	8	Resistant starch
sample198	BR3	Beijing	8	Resistant starch
sample199	BR4	Beijing	8	Resistant starch
sample200	BR5	Beijing	8	Resistant starch
sample201	BI1	Beijing	8	Inulin
sample202	BI2	Beijing	8	Inulin
sample203	BI3	Beijing	8	Inulin
sample204	BI4	Beijing	8	Inulin
sample205	BI5	Beijing	8	Inulin
sample206	BC1	Beijing	13	Control
sample207	BC2	Beijing	13	Control
sample208	BC3	Beijing	13	Control
sample209	BC4	Beijing	13	Control
sample210	BC5	Beijing	13	Control
sample211	BR1	Beijing	13	Resistant starch
sample212	BR2	Beijing	13	Resistant starch
sample213	BR3	Beijing	13	Resistant starch
sample214	BR4	Beijing	13	Resistant starch
sample215	BR5	Beijing	13	Resistant starch
sample216	BI1	Beijing	13	Inulin
sample217	BI2	Beijing	13	Inulin
sample218	BI3	Beijing	13	Inulin
sample219	BI4	Beijing	13	Inulin
sample220	BI5	Beijing	13	Inulin
sample221	BC1	Beijing	19	Control
sample222	BC2	Beijing	19	Control
sample223	BC3	Beijing	19	Control
sample224	BC4	Beijing	19	Control
sample225	BC5	Beijing	19	Control
sample226	BR1	Beijing	19	Resistant starch
sample227	BR2	Beijing	19	Resistant starch
sample228	BR3	Beijing	19	Resistant starch
sample229	BR4	Beijing	19	Resistant starch
sample230	BR5	Beijing	19	Resistant starch
sample231	BI1	Beijing	19	Inulin
sample232	BI2	Beijing	19	Inulin
sample233	BI3	Beijing	19	Inulin
sample234	BI4	Beijing	19	Inulin
sample235	BI5	Beijing	19	Inulin
sample236	BC1	Beijing	25	Control
sample237	BC2	Beijing	25	Control
sample238	BC3	Beijing	25	Control
sample239	BC4	Beijing	25	Control
sample240	BC5	Beijing	25	Control
sample241	BR1	Beijing	25	Resistant starch
sample242	BR2	Beijing	25	Resistant starch
sample243	BR3	Beijing	25	Resistant starch
sample244	BR4	Beijing	25	Resistant starch
sample245	BR5	Beijing	25	Resistant starch
sample246	BI1	Beijing	25	Inulin
sample247	BI2	Beijing	25	Inulin
sample248	BI3	Beijing	25	Inulin
sample249	BI4	Beijing	25	Inulin
sample250	BI5	Beijing	25	Inulin
sample251	BC1	Beijing	31	Control
sample252	BC2	Beijing	31	Control
sample253	BC3	Beijing	31	Control
sample254	BC4	Beijing	31	Control
sample255	BC5	Beijing	31	Control
sample256	BR1	Beijing	31	Resistant starch
sample257	BR2	Beijing	31	Resistant starch
sample258	BR3	Beijing	31	Resistant starch
sample259	BR4	Beijing	31	Resistant starch
sample260	BR5	Beijing	31	Resistant starch
sample261	BI1	Beijing	31	Inulin
sample262	BI2	Beijing	31	Inulin
sample263	BI3	Beijing	31	Inulin
sample264	BI4	Beijing	31	Inulin
sample265	BI5	Beijing	31	Inulin
sample401	GC1	Guangdong	0	Control
sample402	GC2	Guangdong	0	Control
sample403	GC3	Guangdong	0	Control
sample404	GC4	Guangdong	0	Control
sample405	GC5	Guangdong	0	Control
sample406	GR1	Guangdong	0	Resistant starch
sample407	GR2	Guangdong	0	Resistant starch
sample408	GR3	Guangdong	0	Resistant starch
sample409	GR4	Guangdong	0	Resistant starch
sample410	GR5	Guangdong	0	Resistant starch
sample411	GI1	Guangdong	0	Inulin
sample412	GI2	Guangdong	0	Inulin
sample413	GI3	Guangdong	0	Inulin
sample414	GI4	Guangdong	0	Inulin
sample416	GC1	Guangdong	1	Control
sample417	GC2	Guangdong	1	Control
sample418	GC3	Guangdong	1	Control
sample419	GC4	Guangdong	1	Control
sample420	GC5	Guangdong	1	Control
sample421	GR1	Guangdong	1	Resistant starch
sample422	GR2	Guangdong	1	Resistant starch
sample423	GR3	Guangdong	1	Resistant starch
sample424	GR4	Guangdong	1	Resistant starch
sample425	GR5	Guangdong	1	Resistant starch
sample426	GI1	Guangdong	1	Inulin
sample427	GI2	Guangdong	1	Inulin
sample428	GI3	Guangdong	1	Inulin
sample429	GI4	Guangdong	1	Inulin
sample431	GC1	Guangdong	3	Control
sample432	GC2	Guangdong	3	Control
sample433	GC3	Guangdong	3	Control
sample434	GC4	Guangdong	3	Control
sample435	GC5	Guangdong	3	Control
sample436	GR1	Guangdong	3	Resistant starch
sample437	GR2	Guangdong	3	Resistant starch
sample438	GR3	Guangdong	3	Resistant starch
sample439	GR4	Guangdong	3	Resistant starch
sample440	GR5	Guangdong	3	Resistant starch
sample441	GI1	Guangdong	3	Inulin
sample442	GI2	Guangdong	3	Inulin
sample443	GI3	Guangdong	3	Inulin
sample444	GI4	Guangdong	3	Inulin
sample446	GC1	Guangdong	5	Control
sample447	GC2	Guangdong	5	Control
sample448	GC3	Guangdong	5	Control
sample449	GC4	Guangdong	5	Control
sample450	GC5	Guangdong	5	Control
sample451	GR1	Guangdong	5	Resistant starch
sample452	GR2	Guangdong	5	Resistant starch
sample453	GR3	Guangdong	5	Resistant starch
sample454	GR4	Guangdong	5	Resistant starch
sample455	GR5	Guangdong	5	Resistant starch
sample456	GI1	Guangdong	5	Inulin
sample457	GI2	Guangdong	5	Inulin
sample458	GI3	Guangdong	5	Inulin
sample459	GI4	Guangdong	5	Inulin
sample461	GC1	Guangdong	8	Control
sample462	GC2	Guangdong	8	Control
sample463	GC3	Guangdong	8	Control
sample464	GC4	Guangdong	8	Control
sample465	GC5	Guangdong	8	Control
sample466	GR1	Guangdong	8	Resistant starch
sample467	GR2	Guangdong	8	Resistant starch
sample468	GR3	Guangdong	8	Resistant starch
sample469	GR4	Guangdong	8	Resistant starch
sample470	GR5	Guangdong	8	Resistant starch
sample471	GI1	Guangdong	8	Inulin
sample472	GI2	Guangdong	8	Inulin
sample473	GI3	Guangdong	8	Inulin
sample474	GI4	Guangdong	8	Inulin
sample476	GC1	Guangdong	13	Control
