Row.names	Subject	Vendor	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae	Bacteroides-uniformis	Desulfovibrionaceae	Lachnospiraceae-bacterium-28-4	Clostridia-UCG-014	Oscillospiraceae	Lachnospiraceae-bacterium-10-1	Rikenellaceae-RC9-gut-group	Helicobacter-ganmani	Mucispirillum-schaedleri	Ruminococcus-sp.-N15.MGS-57	Escherichia-Shigella	Clostridia-vadinBB60-group	Alistipes	Colidextribacter	Parabacteroides	Oscillibacter	Ruminococcaceae	Anaerotruncus	Roseburia	Bacteroides-vulgatus-ATCC-8482	Odoribacter	Peptococcaceae	Rikenella	Lactobacillus	Lachnoclostridium	Blautia	Muribaculum	Bilophila	Desulfovibrio	Lachnospiraceae-UCG-006	Candidatus-Saccharimonas	Tuzzerella	Helicobacter-mastomyrinus	mouse-gut-metagenome	Gastranaerophilales	GCA-900066575	Bacteroides-caecimuris	Lachnospiraceae-bacterium-DW59	Dubosiella-newyorkensis	Parabacteroides-distasonis	Incertae-Sedis	Bifidobacterium-choerinum	Acetatifactor	Butyricimonas	UCG-009	Desulfovibrio-fairfieldensis	Lachnospiraceae-bacterium-595	Clostridiales-bacterium-CIEAF-020	Lachnospiraceae-FCS020-group	gut-metagenome	ASF356	Bacteroides-sartorii	Intestinimonas	Candidatus-Gastranaerophilales-bacterium-Zag_111	A2	Dubosiella	Burkholderiales-bacterium-YL45	Marvinbryantia	Dorea-sp.-5-2	UBA1819	Erysipelotrichaceae	Clostridium-sensu-stricto-1	Tannerellaceae	Negativibacillus	Bifidobacterium	Rikenellaceae	Helicobacter-hepaticus	Helicobacter	Family-XIII-AD3011-group	[Eubacterium]-xylanophilum-group	Parabacteroides-merdae	NK4A214-group	Clostridium-sp.-Culture-27	Bacteroides-stercorirosoris	Clostridium-sp.-Culture-54	Coriobacteriaceae-UCG-002	Turicibacter	Bacteroides-caccae	[Eubacterium]-coprostanoligenes-group	UCG-010	Prevotellaceae	Oscillospirales	Acutalibacter-muris	Alistipes-shahii	Lachnospiraceae-UCG-001	Harryflintia	Clostridium-sp.-Clone-49	Christensenellaceae	Eubacterium-sp.-14-2	Bacteroides-xylanisolvens	Erysipelatoclostridium	Clostridium-sp.-Clone-44	Streptococcus	Alistipes-inops	Lactobacillus-intestinalis	[Eubacterium]-nodatum-group	Clostridia	Clostridiales-bacterium-CIEAF-012	Peptococcus	Lactobacillus-murinus	Enterobacteriaceae	Parabacteroides-sp.	RF39	Prevotellaceae-UCG-001	Alistipes-sp.-cv1	Bacteroidales	Enterococcus	Clostridium-sp.-Culture-41	Rhodospirillales	Butyricicoccus	[Eubacterium]-fissicatena-group	Lachnospiraceae-bacterium-A4	Ruminococcus	[Eubacterium]-oxidoreducens-group	Brevinema	Monoglobus	UCG-003	Akkermansia	Klebsiella	Proteus	Faecalibaculum-rodentium	Enterorhabdus	[Clostridium]-leptum	Anaerovorax	Frisingicoccus	Eubacterium-plexicaudatum	Defluviitaleaceae-UCG-011	Malacoplasma-muris	[Eubacterium]-ventriosum-group	Bacteroides-nordii	UCG-005	Eisenbergiella	Anaeroplasma	Paludicola	Arcobacteraceae	[Acetivibrio]-ethanolgignens-group	Peptostreptococcaceae	Butyricimonas-virosa	Sphingobium	Flavonifractor	Alistipes-sp.-N15.MGS-157	Paraprevotella	Pasteurellaceae-bacterium	Bacteria	Parvibacter	[Clostridium]-aldenense	Butyricimonas-synergistica	Lachnospiraceae-bacterium-COE1	metagenome	Paenarthrobacter	Tyzzerella	[Ruminococcus]-torques-group	Parasutterella-excrementihominis	[Eubacterium]-brachy-group	Lysinibacillus	Christensenella-sp.-Marseille-P2437	Methyloprofundus	Lactococcus	Christensenella-minuta	[Clostridium]-innocuum-group	Megamonas	Candidatus-Soleaferrea	Christensenellaceae-R-7-group	Subdoligranulum	Alistipes-obesi	Faecalibacterium	Muribaculum-intestinale	Bacillus	Flavobacterium	Adlercreutzia-mucosicola	[Clostridium]-methylpentosum-group	Erysipelotrichaceae-UCG-003	Chloroplast	Alistipes-finegoldii	Anaerofilum	Butyricimonas-sp.-AT11	Streptomyces-sp.-Q1	Corynebacterium-propinquum	Cetobacterium	Clostridium-sp.-ND2	Anaerostipes	Morganella	Lachnospiraceae-AC2044-group	Micrococcaceae	Ruminiclostridium	Faecalitalea	Acetatifactor-muris	Adlercreutzia-muris	Nostoc-PCC-73102	Leuconostoc	Dialister-invisus-DSM-15470	Lachnospiraceae-UCG-010	Anaerotruncus-sp.-G3(2012)	Streptococcus-respiraculi	marine-metagenome	Dialister-sp.-Marseille-P5638	Corynebacterium-tuberculostearicum	Coprococcus	Streptococcus-danieliae	Allobaculum	Veillonella	UCG-007	Acinetobacter	Vagococcus-fluvialis	Anaerovoracaceae	Ethanoligenenaceae	[Eubacterium]-hallii-group	Vibrio	Nostocaceae	Rickettsia	Family-XIII-UCG-001	Anaerofustis	Rikenella-sp.-Marseille-P3215	Corynebacterium	Desmonostoc-PCC-7422	Oxalobacter-formigenes	Parabacteroides-sp.-CT06	Romboutsia	Dielma	Eggerthella	Lactobacillus-mucosae-LM1	Providencia-alcalifaciens	Candidatus-Stoquefichus	Lysobacter	Caproiciproducens	Brachybacterium	Megasphaera	human-gut-metagenome	Shewanella	Erysipelatoclostridium-ramosum	Subgroup-2	Alteromonas	Providencia	Clostridium-sp.-ASF356	Acinetobacter-sp.-CIP-56.2	Pedobacter	Elizabethkingia	Atopobiaceae	Holdemanella	Clostridiales-bacterium-CIEAF-026	Bosea	Verrucomicrobiaceae-bacterium-CHC8	Mucispirillum	Collinsella	Burkholderiales	Asticcacaulis	Sphingomonas	Endozoicomonas	Devosia	Prevotella	Bacteroides-faecichinchillae	Dyadobacter-fermentans	Rhizobiaceae	Anoxybacillus	Lactobacillales	Acidovorax	Enterobacterales	Lachnospiraceae-NC2004-group	Victivallis-vadensis	Pseudomonas	Burkholderia-Caballeronia-Paraburkholderia	Porphyromonas	Bacteroides-sp.-Smarlab-3302398	Rikenellaceae-bacterium-DTU002	Firmicutes	Sphingopyxis	Lachnospiraceae-bacterium-3-2	DNF00809	Rhodococcus	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Cellulosimicrobium	Turicimonas-muris	Akkermansia-sp.-KLE1798	Bradyrhizobium	Catenibacterium	Dialister	Fusobacterium	Peptoniphilus	Xanthobacteraceae	Clostridium-isatidis	bacterium-enrichment-culture-clone-M153	Bacteroides-coprocola-DSM-17136	Mucilaginibacter	Fusicatenibacter	Bacilli	Clostridium-sp.-Clone-47	[Clostridium]-cocleatum	Candidatus-Arthromitus	Lactococcus-raffinolactis	[Ruminococcus]-gnavus-group	Pseudarthrobacter	Clostridiales-bacterium-CIEAF-021	Wolbachia	Vagococcus
sample1	SC1	Shanghai	0	Control	14665.05222	76145.46344	16357.17363	12972.93081	8379949.261	16933622.99	772171.4033	0	17382599.2	2133765.098	0	4512.323759	1973577.604	136497.7937	680232.8067	0	0	9024.647518	1440559.36	0	113936.1749	4224099.079	0	221667.9047	65428.69451	861853.838	485638.8446	306838.0156	134241.6318	1147822.356	0	1515012.702	0	3948.283289	73889.30156	118448.4987	0	0	0	181056.9908	0	380727.3172	0	10716.76893	0	138189.9151	0	0	0	0	202490.5287	0	75017.3825	0	0	0	0	0	71633.13968	13536.97128	3948.283289	0	0	1692.12141	16357.17363	0	0	32150.30678	38918.79242	0	10716.76893	252690.1305	0	51891.72323	21997.57833	0	0	0	32714.34725	12972.93081	0	3384.242819	6768.485639	0	0	0	468153.59	0	4512.323759	14665.05222	0	0	0	0	0	3948.283289	0	7332.526109	18613.33551	3384.242819	85170.11095	0	12972.93081	0	324887.3107	28202.02349	0	16921.2141	3948.283289	564040.4699	7896.566578	0	245357.6044	0	0	0	10152.72846	0	0	3948.283289	0	0	0	0	0	8460.607048	0	0	0	564.0404699	0	0	5076.364229	12408.89034	7332.526109	9588.687988	19177.37598	0	34970.50913	0	0	0	0	11280.8094	0	10152.72846	20869.49739	0	0	0	0	0	0	1692.12141	0	0	0	0	0	6768.485639	0	0	34970.50913	2256.16188	0	0	0	6768.485639	0	0	0	0	6204.445169	3948.283289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1128.08094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1128.08094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample10	SR5	Shanghai	0	Resistant starch	89969.1362	5492560.229	0	11107.30077	4650626.831	28235869.28	1487267.573	13328.76092	14852682.58	5594747.396	0	0	18275952.68	76640.37528	2278107.387	0	0	0	4108590.553	0	61090.15421	3891998.188	0	1148494.899	0	1099622.776	1716077.968	2040411.151	529818.2465	3608762.019	2221.460153	3846458.255	0	13328.76092	834158.2875	1024093.131	0	0	0	565361.609	0	1097401.316	0	0	0	269907.4086	0	0	0	0	264353.7582	0	227699.6657	0	23325.33161	0	0	0	69975.99482	25546.79176	24436.06168	0	53315.04368	0	234364.0462	0	0	0	77751.10536	0	5553.650383	166609.5115	0	378758.9561	12218.03084	0	0	0	16660.95115	0	0	0	88858.40613	0	0	0	12218.03084	0	0	11107.30077	0	9996.570689	51093.58352	0	0	59979.42413	0	4442.920306	0	11107.30077	24436.06168	0	14439.491	0	19993.14138	16660.95115	0	47761.39329	28878.98199	49982.85345	23325.33161	0	0	0	0	0	18882.4113	0	0	0	0	0	0	0	32211.17222	0	0	0	0	0	0	0	9996.570689	4442.920306	0	0	8885.840613	0	11107.30077	0	0	0	0	0	0	64422.34444	0	0	0	0	0	0	0	0	0	0	0	0	0	7775.110536	0	0	0	2221.460153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3332.19023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3332.19023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample100	SI5	Shanghai	19	Inulin	46813257.44	16518777.98	22978.65134	38651527.72	16543192.8	13669425.22	5603918.595	10053.15996	2954192.863	5012218.323	11489.32567	0	94786.93677	440902.8726	330318.113	168031.3879	11489.32567	0	0	8616.994252	43084.97126	47393.46839	18670.15421	453828.3639	4308.497126	202499.3649	265690.6561	44521.13697	0	5499078.499	0	244148.1705	0	0	145052.7366	73244.45114	0	0	4308.497126	137871.908	0	21542.48563	0	0	0	0	0	0	0	0	7180.828543	262818.3247	11489.32567	0	0	0	0	0	17233.9885	84733.77681	0	0	0	0	0	0	0	0	0	0	0	0	221169.5191	0	109148.5939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24414.81705	0	0	83297.6111	0	0	0	0	0	0	0	25850.98276	0	25850.98276	0	0	11489.32567	0	0	0	0	0	0	0	0	0	0	0	81861.4454	0	0	0	0	0	0	25850.98276	8616.994252	0	104840.0967	0	0	0	0	0	0	77552.94827	0	0	0	4308.497126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7180.828543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2872.331417	0	0	0	0	0	0	0	5744.662835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8616.994252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample101	SC1	Shanghai	25	Control	11173964.19	4897814.492	11476.5629	8416.146125	4104401.444	3861863.415	699687.7846	8416.146125	2152620.647	1474355.78	0	3060.416773	2346957.112	34812.24079	658372.1582	68094.27319	3442.968869	0	5738.281449	0	96403.12834	4290704.315	13006.77128	279263.0305	1912.760483	408948.1912	592955.7497	226088.2891	16832.29225	862272.4257	0	62738.54384	0	33664.5845	67711.72109	280410.6868	0	0	0	110940.108	0	271994.5407	2295.312579	1912.760483	0	50879.42884	0	0	0	0	75745.31512	13006.77128	13389.32338	0	31751.82402	0	0	0	9946.354511	2295.312579	29073.95934	0	67711.72109	0	6885.937738	0	0	0	0	0	1912.760483	0	382.5520966	59295.57497	12241.66709	0	0	0	40933.07433	19892.70902	0	0	0	0	2677.864676	0	58147.91868	0	0	9181.250318	0	1147.65629	112470.3164	0	0	8416.146125	0	1147.65629	21422.91741	0	1530.208386	0	0	0	35194.79288	9946.354511	2295.312579	5738.281449	9563.802414	0	5738.281449	0	6120.833545	0	0	0	0	0	0	3442.968869	0	0	0	0	8416.146125	23718.22999	0	0	0	0	0	5738.281449	5355.729352	9563.802414	0	0	1912.760483	0	16449.74015	0	0	0	0	5355.729352	0	0	0	0	0	0	0	0	0	0	3060.416773	0	0	0	0	0	0	0	0	0	0	0	1912.760483	0	0	0	0	0	1147.65629	2677.864676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1530.208386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4208.073062	0	0	0	0	0	0	0	0	0	0	382.5520966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2677.864676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	765.1041931	0	0	0	0	0	0	0
sample102	SC2	Shanghai	25	Control	12602835.75	3853517.046	0	6524.473305	1755083.319	1000691.093	233249.9206	4077.795815	1967944.261	703827.5577	0	5708.914142	1706965.328	205520.9091	292785.7395	53826.90476	0	0	3262.236652	0	93789.30375	2689714.12	3850254.809	203074.2316	0	155771.8001	339272.6118	163111.8326	16311.18326	207967.5866	0	889775.0469	0	267503.4055	56273.58225	216938.7374	0	0	3262.236652	53011.3456	0	119071.6378	0	0	0	35069.04401	0	0	0	0	27729.01154	34253.48485	70138.08802	0	19573.41991	0	0	0	17942.30159	0	6524.473305	0	5708.914142	0	0	0	0	13048.94661	0	0	13048.94661	0	0	62798.05556	0	0	0	0	106022.6912	19573.41991	0	0	0	0	0	0	62798.05556	0	0	7340.032468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426537.4423	11417.82828	4077.795815	0	0	65244.73305	5708.914142	0	12233.38745	0	0	0	0	0	0	0	0	0	0	0	0	17942.30159	0	0	0	0	0	8971.150794	0	3262.236652	0	0	8971.150794	0	8971.150794	0	3262.236652	0	0	0	4893.354978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3262.236652	2446.677489	0	0	0	0	0	0	0	0	1631.118326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8971.150794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	815.5591631	0	0	0	0	0	0	0	0	0
sample103	SC3	Shanghai	25	Control	7382057.154	5155522.921	7039.629464	12067.93622	857829.1333	9839893.499	388688.1125	10559.4442	4206178.605	754246.014	5531.137436	0	1297303.144	93526.50574	128724.6531	48774.57557	3519.814732	0	0	2514.15338	4699455.498	969960.374	63356.66518	118668.0395	13073.59758	137775.6052	192584.1489	74921.77072	5531.137436	1161538.862	0	3071289.769	0	191578.4876	26650.02583	41734.94611	0	0	2011.322704	68887.80261	0	121182.1929	0	0	0	24638.70312	0	0	0	0	85481.21492	0	23633.04177	0	3016.984056	0	0	0	12570.7669	0	8548.121492	0	21621.71907	0	0	0	0	25644.36448	0	0	41734.94611	0	34192.48597	19610.39636	24638.70312	2011.322704	0	0	40226.45408	14079.25893	0	0	0	0	0	0	51288.72895	0	0	9050.952168	0	0	0	0	0	3519.814732	0	3016.984056	0	2011.322704	14582.0896	0	6536.798788	0	36203.80867	17096.24298	0	18101.90434	12570.7669	206160.5772	1005.661352	0	14582.0896	0	0	0	0	502.830676	0	1508.492028	0	0	0	0	0	19610.39636	0	0	0	0	0	6536.798788	0	2514.15338	0	12067.93622	9553.782844	0	8045.290816	0	2011.322704	0	4022.645408	0	10056.61352	4525.476084	0	0	2514.15338	0	0	0	0	502.830676	9050.952168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5028.30676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample104	SC4	Shanghai	25	Control	15931163.18	5585691.608	7024.764868	15053.06757	3772298.734	13719365.79	1720063.855	7024.764868	5285633.794	4539001.642	0	10035.37838	3564566.402	93329.01896	1454126.328	111392.7	0	0	0	5017.689191	175619.1217	7459296.752	17060.14325	572016.5678	4014.151353	885120.3734	1344740.703	326149.7974	21074.2946	1977973.079	0	1115934.076	5017.689191	99350.24599	73258.26219	749642.7652	0	0	0	223788.9379	0	646278.3678	0	0	0	126445.7676	0	0	0	0	299054.2758	33116.74866	485712.3137	0	62219.34597	0	0	0	47166.2784	0	31109.67299	0	96339.63247	0	46162.74056	0	0	0	0	0	11038.91622	0	25088.44596	215760.6352	10035.37838	0	0	0	47166.2784	21074.2946	0	0	0	0	0	0	51180.42975	0	8028.302706	19067.21893	0	0	50176.89191	0	0	73258.26219	0	11038.91622	0	0	11038.91622	0	0	0	142502.373	13045.9919	10035.37838	29102.59731	32113.21082	57201.65678	3010.613515	0	5017.689191	0	0	0	0	0	0	13045.9919	0	0	0	0	0	18063.68109	0	0	0	0	0	20070.75677	8028.302706	19067.21893	0	0	7024.764868	7024.764868	13045.9919	0	12042.45406	0	0	0	0	11038.91622	0	0	7024.764868	0	0	0	0	0	7024.764868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample105	SC5	Shanghai	25	Control	8564759.553	4712928.475	0	23578.78965	1860838.079	11195209.33	3654712.396	15090.42538	6856712.03	6403056.118	0	8488.364274	11957275.81	19806.18331	2260734.352	187687.1656	0	0	33953.4571	0	70736.36895	5503289.504	21692.48648	939378.9797	5658.909516	1372285.558	976161.8915	1913654.568	248048.8671	4275306.139	0	1522246.66	2829.454758	13204.1222	275400.2631	792247.3323	0	0	5658.909516	38669.21503	0	864870.0044	0	69793.21737	0	101860.3713	0	0	0	0	410270.9399	0	84883.64274	0	64134.30785	0	0	0	91485.70384	22635.63806	19806.18331	0	402725.7272	0	0	0	0	16033.57696	25465.09282	0	11317.81903	0	24521.94124	89599.40067	15090.42538	0	0	0	11317.81903	35839.76027	0	0	0	0	53759.6404	0	72622.67212	0	0	9431.51586	0	0	25465.09282	0	0	54702.79199	23578.78965	9431.51586	164108.376	0	5658.909516	0	0	0	20749.33489	0	0	0	23578.78965	0	0	0	2829.454758	0	0	0	0	0	0	12260.97062	0	0	0	0	7545.212688	12260.97062	0	0	0	0	0	0	0	11317.81903	0	17919.88013	0	0	9431.51586	0	0	0	0	0	0	41498.66979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2829.454758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample106	SR1	Shanghai	25	Resistant starch	13757792.34	13203964.27	0	26372.76486	5680034.232	20812506.94	2152676.932	9889.786823	14076463.24	2895509.809	0	7692.056418	267024.2442	176917.2976	6114085.987	1924112.97	0	4395.46081	284606.0875	0	24175.03446	2025208.568	10988.65203	1491160.08	5494.326013	1294463.209	4462491.588	70327.37296	38460.28209	5644870.545	0	2431788.693	3296.595608	0	73623.96857	159335.4544	0	0	5494.326013	156038.8588	0	202191.1973	0	113183.1159	0	87909.2162	0	0	0	0	163730.9152	0	424161.9682	0	21977.30405	0	0	0	72525.10337	0	39559.14729	0	164829.7804	0	116479.7115	0	0	21977.30405	75821.69898	0	0	0	193400.2756	0	6593.191215	0	0	0	27471.63006	0	0	0	0	0	0	0	0	0	0	16482.97804	0	0	18680.70844	0	0	0	0	34064.82128	58239.85573	0	3296.595608	0	9889.786823	0	0	5494.326013	3296.595608	0	7692.056418	0	8790.92162	0	81316.02499	0	0	0	0	1098.865203	0	0	0	0	0	0	9889.786823	7692.056418	0	0	0	0	0	0	0	14285.24763	18680.70844	13186.38243	20878.43885	0	37361.41689	0	0	0	8790.92162	0	0	23076.16925	0	0	0	0	0	0	0	0	0	0	0	0	0	2197.730405	0	0	38460.28209	6593.191215	0	0	0	0	0	0	6593.191215	0	7692.056418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1098.865203	0	0	0	0	0	0	0	3296.595608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2197.730405	0	0	0	0	0	0	0	0	6593.191215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sample107	SR2	Shanghai	25	Resistant starch	9146388.134	5670628.592	19807.5849	5659.309972	2866440.501	26716659.16	1637427.019	8488.964958	24365215.87	3087153.59	0	6602.528301	169779.2992	125448.0377	675344.3234	14933032.58	4716.091644	0	98094.70619	0	28296.54986	413129.628	20750.80323	349934	16034.71159	504621.8059	570647.0889	83946.43126	14148.27493	7341068.252	4716.091644	4128466.625	0	0	44331.26145	117902.2911	0	0	0	152801.3693	0	273533.3153	0	0	0	76400.68463	0	0	0	0	51877.00808	0	35842.29649	0	13205.0566	0	0	0	32069.42318	0	0	0	68854.938	0	28296.54986	0	0	43388.04312	27353.33153	0	0	1886.436657	218826.6523	0	5659.309972	0	0	0	30182.98652	0	0	3772.873315	0	0	0	0	0	0	0	50933.78975	0	0	18864.36657	0	0	0	0	16977.92992	32069.42318	0	0	0	0	0	0	16034.71159	3772.873315	0	1886.436657	0	4716.091644	0	3772.873315	0	0	0	0	0	0	0	0	0	0	0	0	6602.528301	0	0	0	0	0	0	0	0	20750.80323	14148.27493	11318.61994	0	18864.36657	0	0	0	80173.55794	0	6602.528301	0	42444.82479	0	0	0	0	0	0	0	0	0	0	0	0	0	3772.873315	0	0	0	0	0	0	0	0	0	0	0	6602.528301	0	0	0	0	6602.528301	4716.091644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
