ID	Group
10-D0AM	UC1
10-D10	UC1
10-D11	UC1
10-D14	UC1
10-D16	UC1
10-D18	UC1
10-D1AM	UC1
10-D1PM	UC1
10-D21AM	UC1
10-D21PM	UC2
10-D22AM	UC2
10-D22PM	UC2
10-D23AM	UC2
10-D23PM	UC2
10-D24	UC2
10-D25	UC2
10-D29AM	UC2
10-D29PM	UC2
10-D2AM	UC1
10-D2PM	UC1
10-D30AM	UC2
10-D30PM	UC2
10-D31AM	UC2
10-D31PM	UC2
10-D32	UC2
10-D33	UC2
10-D35AM	UC2
10-D35PM	UC2
10-D36AM	UC2
10-D36PM	UC2
10-D37AM	UC2
10-D37PM	UC2
10-D38	UC2
10-D39	UC2
10-D3AM	UC1
10-D3PM	UC1
10-D42AM	UC2
10-D42PM	UC2
10-D43AM	UC2
10-D43PM	UC2
10-D44AM	UC2
10-D44PM	UC2
10-D45AM	UC2
10-D45PM	UC2
10-D46	UC2
10-D47	UC2
10-D4AM	UC1
10-D4PM	UC1
10-D5	UC1
10-D50AM	UC2
10-D50PM	UC2
10-D51AM	UC2
10-D51PM	UC2
10-D52AM	UC2
10-D52PM	UC2
10-D53	UC2
10-D54	UC2
10-D57AM	UC2
10-D57PM	UC2
10-D58AM	UC2
10-D58PM	UC2
10-D59AM	UC2
10-D59PM	UC2
10-D6	UC1
10-D60AM	UC2
10-D60PM	UC2
10-D61	UC2
10-D62	UC2
10-D63	UC2
10-D64AM	UC2
10-D64PM	UC2
10-D7	UC1
10-D8	UC1
10-D9	UC1
2-D0AM	H1
2-D0PM	H1
2-D10	H1
2-D11	H1
2-D14	H1
2-D16	H1
2-D18	H1
2-D1AM	H1
2-D1PM	H1
2-D21AM	H1
2-D21PM	H2
2-D22AM	H2
2-D22PM	H2
2-D23AM	H2
2-D23PM	H2
2-D24	H2
2-D25	H2
2-D28AM	H2
2-D28PM	H2
2-D29AM	H2
2-D29PM	H2
2-D2AM	H1
2-D2PM	H1
2-D30AM	H2
2-D30PM	H2
2-D31AM	H2
2-D31PM	H2
2-D32	H2
2-D33	H2
2-D35AM	H2
2-D35PM	H2
2-D36AM	H2
2-D36PM	H2
2-D37AM	H2
2-D37PM	H2
2-D38	H2
2-D39	H2
2-D3AM	H1
2-D3PM	H1
2-D42AM	H2
2-D42PM	H2
2-D43AM	H2
2-D43PM	H2
2-D44AM	H2
2-D44PM	H2
2-D45AM	H2
2-D45PM	H2
2-D46	H2
2-D47	H2
2-D4AM	H1
2-D4PM	H1
2-D5	H1
2-D50AM	H2
2-D50PM	H2
2-D51AM	H2
2-D51PM	H2
2-D52AM	H2
2-D52PM	H2
2-D53	H2
2-D54	H2
2-D57AM	H2
2-D57PM	H2
2-D58AM	H2
2-D58PM	H2
2-D59AM	H2
2-D59PM	H2
2-D6	H1
2-D60AM	H2
2-D60PM	H2
2-D61	H2
2-D62	H2
2-D63	H2
2-D64AM	H2
2-D64PM	H2
2-D7	H1
2-D8	H1
2-D9	H1
3-D0AM	H1
3-D0PM	H1
3-D10	H1
3-D11	H1
3-D14	H1
3-D16	H1
3-D18	H1
3-D1AM	H1
3-D1PM	H1
3-D21AM	H1
3-D21PM	H2
3-D22AM	H2
3-D22PM	H2
3-D23AM	H2
3-D23PM	H2
3-D24	H2
3-D25	H2
3-D28AM	H2
3-D29AM	H2
3-D29PM	H2
3-D2AM	H1
3-D2PM	H1
3-D30AM	H2
3-D30PM	H2
3-D31AM	H2
3-D31PM	H2
3-D32	H2
3-D33	H2
