class	var	Estimate	Std.Error	df	t value	P_value
UC1:Lipid metabolism	(Intercept)	14.312232502387	0.576862875007819	103.999999998549	24.8104586418272	1.75336794573244e-45
UC1:Lipid metabolism	Desulfovibrionaceae	0.01872852507094	0.00895702340448177	103.999999999264	2.09093180013004	0.0389710796411502
UC1:Lipid metabolism	Ruminococcaceae	0.233220189661936	0.0636061553109882	103.999999998225	3.66662925186497	0.000389170907744919
UC1:Lipid metabolism	Porphyromonadaceae	0.357332277424594	0.0584634756875603	103.999999998635	6.11206010628318	1.73695180013069e-08
UC1:Lipid metabolism	Lachnospiraceae	0.0946607136657804	0.0756435587349361	103.999999999129	1.25140481554395	0.213594374888455
UC1:Lipid metabolism	Bacteroidaceae	-0.565328165240463	0.108864329656876	103.99999999879	-5.19296051353361	1.03346754332468e-06
UC1:Amino acid metabolism	(Intercept)	15.3659872014052	0.567617067613159	103.999999996774	27.0710450374924	6.74378602874679e-49
UC1:Amino acid metabolism	Desulfovibrionaceae	0.0179664530037481	0.0088134625743171	103.999999997823	2.03852377567284	0.0440348594863285
UC1:Amino acid metabolism	Ruminococcaceae	0.256392955217662	0.062586692477447	103.999999997451	4.09660496614441	8.3185270032495e-05
UC1:Amino acid metabolism	Porphyromonadaceae	0.346221241617931	0.0575264383789586	103.999999997304	6.01847170403944	2.67008337068346e-08
UC1:Amino acid metabolism	Lachnospiraceae	0.114205300986305	0.0744311635453507	103.999999998272	1.53437479069799	0.127974107971244
UC1:Amino acid metabolism	Bacteroidaceae	-0.582512028757685	0.107119480633367	103.999999997538	-5.43796539446849	3.5894619366839e-07
