	Bacteroidaceae	Akkermansiaceae	Lachnospiraceae	Sutterellaceae	Porphyromonadaceae	Prevotellaceae	Acidaminococcaceae	Ruminococcaceae	Enterobacteriaceae	Desulfovibrionaceae	Erysipelotrichaceae	Rikenellaceae	Barnesiellaceae	Erysipelatoclostridiaceae	Clostridiales_Incertae_Sedis_XIII
Bacteroidaceae	-1.52668606621262e-09	-8.53072483647602e-10	2.81212297996482e-09	-6.16667316534299e-09	1.30836716565819e-08	3.80340544907939e-08	1.02075137072956e-06	1.72847586499886e-08	6.8220609453246e-07	5.09559334096736e-08	-2.6289885774603e-08	1.12107335394703e-07	-1.75188020840593e-06	-2.69074141684176e-08	-1.18128954302671e-06
Akkermansiaceae	-1.35785425333725e-10	1.63544573397045e-10	7.04884587030359e-10	-6.67543715185305e-10	-9.74458044081002e-10	6.96548677976491e-08	2.6920731823985e-07	5.05036257227331e-09	-3.25084239584572e-07	-4.36443046414742e-09	-1.28751366446657e-08	3.27551584302208e-08	-1.12547758129702e-09	3.30490854331654e-08	-1.27901063273747e-07
Lachnospiraceae	-2.80675217742841e-09	-1.83637149907253e-09	9.42669370592597e-09	-2.7176989606898e-08	7.73736593104314e-09	2.14120078017195e-07	1.61997992938984e-06	1.96415652201719e-08	1.02958015867491e-06	-4.91091934967329e-08	7.35180799562405e-08	1.63131794199554e-07	-1.43015268058343e-06	7.03502808306529e-08	-8.58078066829365e-06
Sutterellaceae	-1.64051844165861e-09	-1.21522112773511e-09	1.06804894678097e-09	-2.1844596439715e-09	2.31936760807273e-08	-2.72058041878844e-08	7.93180833351871e-07	1.61161193524828e-08	7.89607595696366e-07	2.2253186640488e-07	-8.4199319335544e-08	1.52617670021177e-07	-2.36098881187803e-06	8.50828700893273e-08	-7.08389482679926e-07
Porphyromonadaceae	-1.60296056861507e-09	-7.76369881283367e-10	5.07687142848529e-09	-1.47240213051239e-08	7.81203310866655e-09	9.78905600005076e-08	1.61950125639791e-06	7.24012303792097e-09	3.23975816018538e-07	-7.92417505226012e-08	5.77575308864865e-08	1.11716682434166e-07	-1.2100812443229e-06	-2.02136157442617e-07	-5.29098530150111e-06
Prevotellaceae	-3.99825927305144e-10	2.95632260730404e-10	3.14288439391581e-09	-3.0922498666538e-09	2.92380695766045e-09	1.61281445534188e-07	8.77962664756567e-07	2.19707672479033e-08	-1.14545267124156e-06	-2.85967590575868e-08	-8.51551261106145e-08	1.86385640517816e-07	-2.90311943931223e-06	-9.78500105006329e-08	-1.19818746169739e-06
Acidaminococcaceae	-2.77112736901145e-09	2.61685198046101e-09	-4.60294574573373e-09	-1.10239610886858e-09	3.501223530431e-08	4.90790104433691e-09	-2.36781764041559e-06	-3.38099717760546e-08	-1.09270227042509e-05	4.51810732505114e-07	1.89660830594232e-07	5.31942050901904e-07	2.3190008170086e-05	-1.73358579561864e-06	-2.95262369996863e-06
Ruminococcaceae	-2.44418134039115e-09	-7.47035916644758e-10	6.82040453868199e-09	-2.50856945800216e-08	7.81183401905014e-09	3.05923099855757e-07	5.91388007275264e-07	1.4110829689302e-08	6.00815427363082e-07	-1.65691435144645e-07	1.92455338608629e-07	1.60033543226225e-08	2.33157533344078e-06	-2.11157860706373e-07	-9.12799151183343e-06
Enterobacteriaceae	-1.79141552339087e-09	2.98890576643419e-09	-4.03788167635545e-09	-4.83007581514882e-09	2.5306168786083e-08	2.76753220550083e-08	-1.95617530002895e-06	-3.23927085025693e-08	-6.84008617093256e-06	4.43431823577708e-07	2.34553505445209e-07	5.18312617211056e-07	6.89174667801849e-06	-1.7669789063857e-06	-8.41028062436234e-08
Desulfovibrionaceae	-1.96937426681451e-10	-2.64913860319781e-10	-5.61007789027055e-10	-1.11335596611535e-09	5.00443611431601e-10	1.01999369010061e-07	-6.32754680092177e-07	-3.33878690635111e-09	-1.26881697589984e-06	-1.04077116255522e-07	4.37307721289153e-09	-8.23458730386184e-09	-8.35168442906095e-07	2.05327931198171e-07	6.13829381326597e-08
Erysipelotrichaceae	1.08183013539298e-10	3.35870286592039e-10	3.34680353399815e-10	-9.41917676879045e-10	1.24309859566434e-09	-3.45520411128593e-08	1.00405770911845e-06	-9.29325138337321e-09	8.45167893344999e-08	-2.66370605569193e-08	-5.44226724346767e-09	3.52852372375881e-08	-4.98647736271818e-06	-1.07436588547171e-07	-2.985308765712e-07
Rikenellaceae	-1.04981349733315e-09	-5.80802082515366e-10	3.25945970499424e-10	-1.47165229869493e-08	2.31068528803712e-08	1.37840313843975e-07	-1.08356525156554e-07	8.50827729171158e-09	4.07094741804441e-06	8.5250898038661e-08	5.33738162402401e-08	-1.67837848341285e-08	-8.01154806104907e-06	2.16007767365191e-07	-6.66770617543823e-06
Barnesiellaceae	-3.37907107081466e-11	-1.01383192560391e-10	-5.18374572113701e-11	2.0660572115124e-10	1.21634790660541e-09	4.23001086733339e-08	9.9324508447617e-09	-1.79458687304038e-09	-3.17944480442889e-07	-1.24440344186522e-08	5.46132108465492e-09	1.87576588868314e-11	-6.73493717617276e-08	1.77846155976962e-07	-2.68213957574224e-07
Erysipelatoclostridiaceae	4.28890187418513e-10	4.57232704684379e-10	1.22400634580901e-10	-4.99109969135341e-09	3.32375289508904e-09	-1.31354614458152e-08	1.56292549715535e-06	-1.66113453112417e-08	6.844124886764e-07	-3.5196325947873e-08	-1.40774406760398e-08	-9.96713990163101e-10	-1.17072511060654e-05	4.69217699817208e-08	-2.01089178821289e-06
Clostridiales_Incertae_Sedis_XIII	-7.62721803849509e-10	1.62281796285982e-09	-2.92042465108368e-09	2.38435704280886e-09	9.97481131598918e-09	-7.88282319605814e-08	-3.77544112042842e-07	-1.18514097083463e-08	-3.94836276006942e-06	2.9342376335012e-07	1.30496945726017e-07	3.48981338607432e-07	-5.17140369806464e-07	-1.22813992588512e-06	-1.68778574944126e-06
