class	var	Estimate	Std.Error	df	t value	P_value
H1:Lipid metabolism	(Intercept)	11.7757519288733	0.49862115084974	83.9999999970529	23.616631402028	7.56329976685e-39
H1:Lipid metabolism	Desulfovibrionaceae	0.0303868858968772	0.0199873764166666	83.9999999974349	1.52030387897928	0.132189981741806
H1:Lipid metabolism	Bacteroidaceae	0.0140967277262405	0.0932246653437627	83.9999999970247	0.151212425105087	0.880170705068527
H1:Lipid metabolism	Porphyromonadaceae	0.12689867340082	0.0742236773294924	83.9999999971327	1.70967914776701	0.0910170419808498
H1:Lipid metabolism	Sutterellaceae	0.00856460348437703	0.0103030901505488	83.9999999969604	0.831265509592852	0.4081803716791
H1:Lipid metabolism	Acidaminococcaceae	0.0217325173669188	0.0176132139263014	83.999999997325	1.23387573999009	0.22069038841597
H1:Amino acid metabolism	(Intercept)	12.8998060579859	0.479501751147107	83.9999999994781	26.9025212673901	4.74202315397169e-43
H1:Amino acid metabolism	Desulfovibrionaceae	0.0305950712823499	0.0192209696205129	83.9999999993541	1.59175483268536	0.115196298264634
H1:Amino acid metabolism	Bacteroidaceae	0.0133726679523706	0.0896500082402401	83.9999999997515	0.149165272986201	0.881780764178332
H1:Amino acid metabolism	Porphyromonadaceae	0.121661409607615	0.0713776044105169	83.9999999993155	1.70447594329306	0.0919885603349735
H1:Amino acid metabolism	Sutterellaceae	0.0124834428846828	0.00990802287667783	83.9999999994563	1.25993278780847	0.211182813378733
H1:Amino acid metabolism	Acidaminococcaceae	0.0216226707054761	0.0169378433036733	83.9999999998832	1.27658936960332	0.205265269143122
H2:Lipid metabolism	(Intercept)	15.2585284367124	0.362276794553904	220.999999997058	42.1184262036471	1.46919550569452e-107
H2:Lipid metabolism	Acidaminococcaceae	-0.00746671887857846	0.015541494147561	220.999999997412	-0.480437646965253	0.631391453353303
H2:Lipid metabolism	Sutterellaceae	0.0359720435647011	0.0145864043985239	220.99999999703	2.46613507907003	0.0144189310720567
H2:Lipid metabolism	Ruminococcaceae	-0.0391306728890168	0.0127953768718414	220.999999996335	-3.05818838170613	0.0025016257655901
H2:Lipid metabolism	Lachnospiraceae	-0.0840116362206801	0.0175724793845874	220.99999999593	-4.78086412179067	3.1852448311985e-06
H2:Lipid metabolism	Porphyromonadaceae	0.0480737308446054	0.02895941682047	220.999999997703	1.6600379469874	0.09832503188
H2:Amino acid metabolism	(Intercept)	16.1828591734171	0.320000886566847	221.000000000861	50.5712948080739	1.82869599184255e-123
