StateID	ParentID	PerturbationID	N_species	frequency	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
1	1	1	9	0.813333	1.92242e+07	0	4.87732e+06	8.97262e+06	4.72322e+06	3.11995e+06	3.2655e+06	1.78746e+06	1.482e+06	4.89769e+06
2	1	1	8	0.893333	0	0	4.87732e+06	8.96789e+06	4.64697e+06	3.20912e+06	3.17379e+06	1.85356e+06	1.57685e+06	4.82947e+06
3	1	1	8	0.844444	1.92476e+07	0	0	8.97025e+06	4.72871e+06	3.28747e+06	3.2655e+06	1.81794e+06	1.47244e+06	4.89788e+06
4	1	1	8	0.813333	1.92242e+07	0	4.87732e+06	0	4.72322e+06	3.11995e+06	3.2655e+06	1.78746e+06	1.482e+06	4.89769e+06
5	1	1	8	0.817778	1.92476e+07	0	4.85962e+06	8.97025e+06	0	3.11513e+06	3.26598e+06	1.77107e+06	1.47244e+06	4.89788e+06
6	1	1	8	0.844444	1.92476e+07	0	4.96941e+06	8.97817e+06	4.72871e+06	0	3.26212e+06	1.85098e+06	1.47244e+06	4.89788e+06
7	1	1	8	0.866667	1.91371e+07	0	4.97297e+06	8.67468e+06	4.69445e+06	3.11995e+06	0	1.78746e+06	1.5061e+06	4.86753e+06
8	1	1	8	0.817778	1.9221e+07	0	4.89136e+06	8.97817e+06	4.70884e+06	3.13708e+06	3.2655e+06	0	1.47244e+06	4.89788e+06
9	1	1	8	0.951111	2.08857e+07	0	4.96109e+06	8.56289e+06	4.67071e+06	3.11513e+06	3.62181e+06	1.8646e+06	0	5.48163e+06
10	1	1	8	0.826667	1.9221e+07	0	4.85962e+06	8.97817e+06	4.72535e+06	3.13708e+06	3.26212e+06	1.81794e+06	1.48258e+06	0
