class	var	Estimate	Std.Error	df	t value	P_value
Total	(Intercept)	29.0026822736121	12.7883131976258	150.999999994517	2.26790522138577	0.0247532932356908
Total	Muribaculaceae	-0.864646033123763	0.509841592712533	150.999999996319	-1.69591113295318	0.0919634907629409
Total	Alloprevotella	0.339419628097655	0.430638461513497	150.999999994444	0.788177690642752	0.431828363698315
Total	B.acidifaciens	0.8466299220576	0.357815338297954	150.999999994575	2.36610852425954	0.0192455605739411
Total	P.goldsteinii	-0.959903431733582	0.495131114900405	150.999999995453	-1.93868533575529	0.0544046584016597
Total	Bacteroides	0.889888454660415	0.52997883079703	150.999999994106	1.67910188662087	0.0952002819624281
Butyrate	(Intercept)	8.74073645669069	3.53357707881208	150.999999997371	2.47362269500264	0.0144827560835049
Butyrate	Muribaculaceae	-0.536279337884255	0.140875855790623	150.999999997329	-3.8067512340887	0.000204191559837523
Butyrate	Alloprevotella	0.049384420609617	0.118991001654659	150.999999997691	0.415026513962313	0.67871157862514
Butyrate	B.acidifaciens	0.18327651459066	0.0988690266118736	150.999999997802	1.85373034277096	0.0657288332294984
Butyrate	P.goldsteinii	-0.0966743156753952	0.136811159656581	150.999999998263	-0.706625950091091	0.480887913103657
Butyrate	Bacteroides	0.292604431365269	0.146440036290923	150.999999997471	1.99811771955567	0.0474994771484175
Iso-butyrate	(Intercept)	0.453541404113831	0.134343555858301	144.860243485229	3.37598183415813	0.000944385164516018
Iso-butyrate	Muribaculaceae	-0.00407838976361641	0.00514798583187324	144.195043063554	-0.792230184155805	0.429527892625353
Iso-butyrate	Alloprevotella	0.00409331897788155	0.00448397414594335	144.547682793586	0.912877470889252	0.362827053919351
Iso-butyrate	B.acidifaciens	-0.00517996138031264	0.00371445910994025	148.624605481902	-1.39453988508059	0.165235583536815
Iso-butyrate	P.goldsteinii	-0.00100054928209581	0.00528646339792123	132.18368962781	-0.189266283861768	0.850174425663021
Iso-butyrate	Bacteroides	-0.0106889111308682	0.00548674926263156	150.535716259564	-1.94813187540149	0.0532593447878174
Acetate	(Intercept)	23.8598459722361	7.64806955181738	131.486602568689	3.11972136374811	0.0022251460245397
Acetate	Muribaculaceae	-0.700997898264387	0.302774754335801	148.529700951302	-2.31524553558691	0.0219687658400836
Acetate	Alloprevotella	0.346538171816759	0.256859679686867	144.961208518711	1.34913417411101	0.179397413938042
Acetate	B.acidifaciens	0.254773293703239	0.213415815811931	145.391702849056	1.19378825198107	0.234504980694529
Acetate	P.goldsteinii	-0.701458542244219	0.296965024839531	111.45753249927	-2.3620914369403	0.0199068198892115
Acetate	Bacteroides	0.392201923472674	0.316139513640966	145.452555987517	1.2405976050121	0.216751800060883
Propionate	(Intercept)	-5.47805368667733	3.73590303980463	151.000000000246	-1.46632651552001	0.144638792564723
Propionate	Muribaculaceae	0.390558898711691	0.148942141672539	151.000000000249	2.62221889873429	0.00963087799456313
Propionate	Alloprevotella	-0.0543506880286786	0.125804202052523	151.000000000277	-0.432026014568158	0.66633879142153
Propionate	B.acidifaciens	0.416623287758516	0.104530080658661	150.999999999923	3.98567842991515	0.000104431548732519
Propionate	P.goldsteinii	-0.136224929226218	0.144644708701824	151.000000000431	-0.941789924075531	0.347804484343341
Propionate	Bacteroides	0.226794257884377	0.154824916657055	151.000000000275	1.46484340364115	0.145042619261599
Valerate	(Intercept)	0.757315539464721	0.227027628954263	144.272102442017	3.33578579379556	0.00108162377133108
Valerate	Muribaculaceae	-0.00958987622278258	0.00874403515660932	145.897235602229	-1.09673349329273	0.274564830382315
Valerate	Alloprevotella	0.00312959324126535	0.00757846533481004	145.693613869636	0.412958706413849	0.680243978315297
Valerate	B.acidifaciens	-0.00111960875238079	0.00628360663991732	148.592878172309	-0.178179319066274	0.858824835401527
Valerate	P.goldsteinii	-0.00172327903015993	0.00891512245929514	131.916422340975	-0.193298413793878	0.847022572388273
Valerate	Bacteroides	-0.00947118293543355	0.00928908394270011	150.275888633305	-1.0196035469005	0.309555178427884
Iso-valerate	(Intercept)	0.276828127924342	0.0958088513905537	141.271352481618	2.88937946657856	0.00446917524558776
Iso-valerate	Muribaculaceae	-0.00247175988419256	0.00371453780987596	146.315022990715	-0.665428651074923	0.506823977636386
Iso-valerate	Alloprevotella	0.00426389154029632	0.00320046168825172	145.356593892843	1.33227388909177	0.184855160471048
Iso-valerate	B.acidifaciens	-0.00689012029175395	0.0026559712684801	147.763051890484	-2.59419985958541	0.0104356865934663
Iso-valerate	P.goldsteinii	0.00261774912532332	0.00375216150891539	126.186752264628	0.697664298059499	0.48667067083436
Iso-valerate	Bacteroides	-0.00843831795379585	0.00392964168441051	149.538955317469	-2.14735047912178	0.0333771514737879
