Row.names	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
sample136	1	BR1	Beijing	1	0	Resistant starch	50887515.17	44782260.91	3308637.152	3581541.238	6630269.737	1044832.785	8228707.953	1413903.072	168940.6244	5208569.406
sample151	2	BR1	Beijing	1	1	Resistant starch	25795190.23	41825191.86	443306.1897	190522.0422	1434518.906	1217846.78	1241506.38	266481.8107	52300.16845	2809266.191
sample166	3	BR1	Beijing	1	3	Resistant starch	36003546.25	33338574.75	1062707.514	42836.40922	2258481.32	1343422.706	787460.7994	890450.4641	31899.45368	1191216.742
sample181	4	BR1	Beijing	1	5	Resistant starch	49205857.17	28046823.25	1611617.144	20613.70766	2578587.431	817052.4128	1227452.593	482548.1566	43101.38875	1462636.257
sample196	5	BR1	Beijing	1	8	Resistant starch	92442917.87	21320179.83	2342460.229	29491.40576	3768580.35	535058.3616	391814.3908	389707.8618	75835.04337	891061.7596
sample211	6	BR1	Beijing	1	13	Resistant starch	60718256.87	3864558.816	8513880.922	44843.6166	4793462.303	2174915.405	33443728.63	257850.7954	270663.2573	3177490.547
sample226	7	BR1	Beijing	1	19	Resistant starch	90553004.85	13274066.28	6374083.118	130929.4718	3676935.999	1983581.498	4410141.041	290226.9958	242219.5228	2930638.01
sample241	8	BR1	Beijing	1	25	Resistant starch	137618086.7	23512127.69	3797077.566	224329.8313	5218620.287	991773.9912	22784826.76	108622.8657	250304.8644	2418039.445
sample256	9	BR1	Beijing	1	31	Resistant starch	68706990.01	14749313.72	5473327.883	143357.8156	8913915.458	424559.6847	5543168.87	69840.98709	494400.6718	5791288.166
sample137	10	BR2	Beijing	2	0	Resistant starch	20296404.34	11388335.44	805076.5814	1197268.111	1729387.271	893763.1081	1285954.637	6344042.878	53211.91603	1707708.342
sample152	11	BR2	Beijing	2	1	Resistant starch	36375031.18	34152922.82	804027.1188	193810.8329	944108.2159	347324.364	4352108.605	255216.2453	88270.28034	2747892.206
sample167	12	BR2	Beijing	2	3	Resistant starch	14760865.93	27722903.02	389270.3699	35215.16794	1744578.455	130391.2975	2795322.925	1156389.974	19035.22591	1332465.814
sample182	13	BR2	Beijing	2	5	Resistant starch	26775593.05	26281394.01	1179044.157	40720.52033	818112.2721	310956.7007	7722091.401	2219268.358	42571.45307	4049840.84
sample197	14	BR2	Beijing	2	8	Resistant starch	62497360.48	22631484.81	952334.6644	63701.31534	1724713.113	404503.3524	5209175.062	2076662.88	47775.98651	3269470.01
sample212	15	BR2	Beijing	2	13	Resistant starch	78106903.49	1495994.923	15098622.92	33617.86345	1659882.008	953906.8754	1651477.542	275246.257	386605.4297	4179120.65
sample227	16	BR2	Beijing	2	19	Resistant starch	75138545.57	9524517.89	3224981.803	4093777.472	8634232.576	4218110.421	3462902.878	282435.3412	142752.6453	1310868.377
sample242	17	BR2	Beijing	2	25	Resistant starch	81721511.8	25242470.62	1315778.035	1561389.935	8847876.3	298243.0214	1482443.253	204676.5833	181284.9738	3336228.308
sample257	18	BR2	Beijing	2	31	Resistant starch	72930056.82	5182323.067	1033576.376	342462.4319	13339530.63	596214.7159	2989325.686	94899.22813	798391.3323	6407760.925
sample138	19	BR3	Beijing	3	0	Resistant starch	27260533.39	13740443.41	2212911.129	4444575.742	4446919.927	1529581.05	1223664.84	4711812.891	48055.80312	1992557.69
sample153	20	BR3	Beijing	3	1	Resistant starch	45138361.04	37210264.08	995992.0793	982712.1849	429383.252	677274.6139	8853262.927	1084524.709	157145.417	6668720.3
sample168	21	BR3	Beijing	3	3	Resistant starch	42698698.79	28627205.52	784614.0901	154681.0635	838416.1992	546988.1086	3521796.387	295911.5997	73977.89993	12739891.07
sample183	22	BR3	Beijing	3	5	Resistant starch	56800845.5	32301461.95	1066355.496	18754.99615	2033577.44	431364.9116	350986.3566	827899.116	64302.84396	1473606.841
sample198	23	BR3	Beijing	3	8	Resistant starch	41799762.81	25592599.61	449248.1877	13691.37334	2808442.956	280673.1535	412452.6218	1025997.29	86426.7942	1003748.808
sample213	24	BR3	Beijing	3	13	Resistant starch	44672924.88	15319893.75	856604.167	17576.11142	6716849.737	289543.3092	673442.5849	1542997.571	144309.1253	2308020.947
sample228	25	BR3	Beijing	3	19	Resistant starch	120432737.7	5338035.461	4929856.06	75295.22921	4418641.083	495363.3501	2361892.453	435919.7481	261551.8488	10133152.69
