StateID	ParentID	PerturbationID	N_species	frequency	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
1	1	1	9	0.995556	6.83141e+07	0	1.65713e+07	2.42678e+07	4.19303e+06	6.45031e+06	1.91885e+07	2.47806e+06	4.52646e+06	5.12063e+06
2	1	1	8	0.995556	0	0	1.65713e+07	2.42678e+07	4.19303e+06	6.45031e+06	1.91885e+07	2.47806e+06	4.52646e+06	5.12063e+06
3	1	1	8	0.995556	6.83141e+07	0	0	2.42678e+07	4.19303e+06	6.45031e+06	1.9065e+07	2.47806e+06	4.52646e+06	5.12063e+06
4	1	1	8	0.995556	6.83141e+07	0	1.65713e+07	0	4.19303e+06	6.45031e+06	1.91885e+07	2.47806e+06	4.52646e+06	5.12063e+06
5	1	1	8	0.995556	6.83141e+07	0	1.65713e+07	2.42678e+07	0	6.45031e+06	1.91885e+07	2.47806e+06	4.52646e+06	5.12063e+06
6	1	1	8	0.995556	6.83141e+07	0	1.65713e+07	2.42678e+07	4.19303e+06	0	1.91885e+07	2.47806e+06	4.52646e+06	5.12063e+06
7	1	1	8	1	6.83137e+07	0	1.6551e+07	2.43145e+07	4.19367e+06	6.45262e+06	0	2.44953e+06	4.52568e+06	5.122e+06
8	1	1	8	0.995556	6.83141e+07	0	1.65713e+07	2.42678e+07	4.19303e+06	6.45031e+06	1.91885e+07	0	4.52646e+06	5.12063e+06
9	1	1	8	0.995556	6.83141e+07	0	1.65713e+07	2.42678e+07	4.19303e+06	6.45031e+06	1.91885e+07	2.47806e+06	0	5.12063e+06
10	1	1	8	1	6.83137e+07	0	1.6551e+07	2.43145e+07	4.19367e+06	6.45262e+06	1.93296e+07	2.44953e+06	4.52568e+06	0
11	11	1	9	0.995556	6.83141e+07	1.87899e+07	1.65713e+07	0	4.19303e+06	6.45031e+06	1.91885e+07	2.47806e+06	4.52646e+06	5.12063e+06
12	11	1	8	0.995556	0	1.87899e+07	1.65713e+07	0	4.19303e+06	6.45031e+06	1.91885e+07	2.47806e+06	4.52646e+06	5.12063e+06
13	11	1	8	0.995556	6.83141e+07	0	1.65713e+07	0	4.19303e+06	6.45031e+06	1.91885e+07	2.47806e+06	4.52646e+06	5.12063e+06
14	11	1	8	0.995556	6.83141e+07	1.87899e+07	0	0	4.19303e+06	6.45031e+06	1.9065e+07	2.47806e+06	4.52646e+06	5.12063e+06
15	11	1	8	0.995556	6.83141e+07	1.87899e+07	1.65713e+07	0	0	6.45031e+06	1.91885e+07	2.47806e+06	4.52646e+06	5.12063e+06
16	11	1	8	0.995556	6.83141e+07	1.87899e+07	1.65713e+07	0	4.19303e+06	0	1.91885e+07	2.47806e+06	4.52646e+06	5.12063e+06
17	11	1	8	1	6.83137e+07	1.87943e+07	1.6551e+07	0	4.19367e+06	6.45262e+06	0	2.44953e+06	4.52568e+06	5.122e+06
18	11	1	8	0.995556	6.83141e+07	1.87899e+07	1.65713e+07	0	4.19303e+06	6.45031e+06	1.91885e+07	0	4.52646e+06	5.12063e+06
19	11	1	8	0.995556	6.83141e+07	1.87899e+07	1.65713e+07	0	4.19303e+06	6.45031e+06	1.91885e+07	2.47806e+06	0	5.12063e+06
20	11	1	8	1	6.83137e+07	1.87943e+07	1.6551e+07	0	4.19367e+06	6.45262e+06	1.93296e+07	2.44953e+06	4.52568e+06	0
