parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
growth_rate	NA	Bacteroidaceae	0.97385	14990	0.16555
growth_rate	NA	Akkermansiaceae	0.27544	14990	0.25964
growth_rate	NA	Lachnospiraceae	0.74147	14990	0.20411
growth_rate	NA	Sutterellaceae	0.61733	14990	0.18957
growth_rate	NA	Porphyromonadaceae	0.89222	14990	0.2052
growth_rate	NA	Prevotellaceae	0.55684	14990	0.27023
growth_rate	NA	Acidaminococcaceae	0.55734	14990	0.13886
growth_rate	NA	Ruminococcaceae	1.1307	14990	0.15915
growth_rate	NA	Enterobacteriaceae	0.36206	14990	0.35774
growth_rate	NA	Desulfovibrionaceae	0.81187	14990	0.27959
interaction	Bacteroidaceae	Bacteroidaceae	-1.6828e-08	14990	2.5409e-09
interaction	Bacteroidaceae	Akkermansiaceae	0	0.0070268	1.2951e-09
interaction	Bacteroidaceae	Lachnospiraceae	0	0.22203	6.1331e-09
interaction	Bacteroidaceae	Sutterellaceae	0	0.00044464	1.5052e-10
interaction	Bacteroidaceae	Porphyromonadaceae	0	0.037153	2.8238e-09
interaction	Bacteroidaceae	Prevotellaceae	0	0.0041057	1.0182e-09
interaction	Bacteroidaceae	Acidaminococcaceae	0	8.8897e-05	9.9808e-12
interaction	Bacteroidaceae	Ruminococcaceae	0	0.00084516	4.392e-10
interaction	Bacteroidaceae	Enterobacteriaceae	0	0.00088968	4.6e-10
interaction	Bacteroidaceae	Desulfovibrionaceae	0	0.020732	1.9296e-09
interaction	Akkermansiaceae	Bacteroidaceae	0	0.00013335	1.1332e-10
interaction	Akkermansiaceae	Akkermansiaceae	-2.4077e-08	14990	7.9153e-09
interaction	Akkermansiaceae	Lachnospiraceae	0	4.4446e-05	1.5271e-11
interaction	Akkermansiaceae	Sutterellaceae	0	0	0
interaction	Akkermansiaceae	Porphyromonadaceae	0	8.8897e-05	1.402e-10
interaction	Akkermansiaceae	Prevotellaceae	0	0	0
interaction	Akkermansiaceae	Acidaminococcaceae	0	8.8897e-05	3.3458e-11
interaction	Akkermansiaceae	Ruminococcaceae	0	0	0
interaction	Akkermansiaceae	Enterobacteriaceae	0	0.00013335	3.4965e-10
interaction	Akkermansiaceae	Desulfovibrionaceae	0	0	0
interaction	Lachnospiraceae	Bacteroidaceae	0	0.0010678	1.0185e-09
interaction	Lachnospiraceae	Akkermansiaceae	0	8.8897e-05	1.9079e-10
interaction	Lachnospiraceae	Lachnospiraceae	-3.0037e-08	14990	1.9942e-08
interaction	Lachnospiraceae	Sutterellaceae	0	0.00017781	7.2072e-11
interaction	Lachnospiraceae	Porphyromonadaceae	0	0.00035568	6.2564e-10
interaction	Lachnospiraceae	Prevotellaceae	0	0.00031121	5.9371e-10
interaction	Lachnospiraceae	Acidaminococcaceae	0	4.4446e-05	2.4335e-11
interaction	Lachnospiraceae	Ruminococcaceae	0	0	0
interaction	Lachnospiraceae	Enterobacteriaceae	0	0.0054518	5.8755e-09
interaction	Lachnospiraceae	Desulfovibrionaceae	0	0.00017781	3.6659e-10
interaction	Sutterellaceae	Bacteroidaceae	0	0.00035568	5.2246e-10
interaction	Sutterellaceae	Akkermansiaceae	0	0.0052272	5.0791e-09
interaction	Sutterellaceae	Lachnospiraceae	0	0.011918	6.7257e-09
interaction	Sutterellaceae	Sutterellaceae	-1.026e-07	14990	2.0579e-08
interaction	Sutterellaceae	Porphyromonadaceae	0	0.00040016	6.9485e-10
interaction	Sutterellaceae	Prevotellaceae	0	0.00071162	1.7439e-09
interaction	Sutterellaceae	Acidaminococcaceae	0	0.00022227	2.925e-10
interaction	Sutterellaceae	Ruminococcaceae	0	0.00084516	1.3502e-09
interaction	Sutterellaceae	Enterobacteriaceae	0	0.00044464	1.1966e-09
interaction	Sutterellaceae	Desulfovibrionaceae	0	0.0060362	5.0096e-09
interaction	Porphyromonadaceae	Bacteroidaceae	0	0.00044464	7.599e-10
interaction	Porphyromonadaceae	Akkermansiaceae	0	0.031495	1.5016e-08
interaction	Porphyromonadaceae	Lachnospiraceae	0	0.0016472	2.1374e-09
interaction	Porphyromonadaceae	Sutterellaceae	0	0.00093421	1.3423e-09
interaction	Porphyromonadaceae	Porphyromonadaceae	-1.6973e-07	14990	2.3796e-08
interaction	Porphyromonadaceae	Prevotellaceae	0	0.04622	2.6294e-08
interaction	Porphyromonadaceae	Acidaminococcaceae	0	8.8897e-05	1.3361e-10
interaction	Porphyromonadaceae	Ruminococcaceae	0	0.00031121	3.3407e-10
