sampleID	isIncluded	subjectID	measurementID	perturbID	exptblock	intv
1	1	1	0	0	1	0
2	1	1	1	0	1	0
3	1	1	1.5	0	1	0
4	1	1	2	0	1	0
5	1	1	2.5	0	1	0
6	1	1	3	0	1	0
7	1	1	3.5	0	1	0
8	1	1	4	0	1	0
9	1	1	4.5	0	1	0
10	1	1	5	0	1	0
11	1	1	6	0	1	0
12	1	1	7	0	1	0
13	1	1	8	0	1	0
14	1	1	9	0	1	0
15	1	1	10	0	1	0
16	1	1	11	0	1	0
17	1	1	14	0	1	0
18	1	1	16	0	1	0
19	1	1	18	0	1	0
20	1	1	21	0	1	0
21	1	1	21.5	1	1	0
22	1	1	22	1	1	0
23	1	1	22.5	1	1	0
24	1	1	23	1	1	0
25	1	1	23.5	1	1	0
26	1	1	24	1	1	0
27	1	1	25	1	1	0
28	1	1	29	1	1	0
29	1	1	29.5	1	1	0
30	1	1	30	1	1	0
31	1	1	30.5	1	1	0
32	1	1	31	1	1	0
33	1	1	31.5	1	1	0
34	1	1	32	1	1	0
35	1	1	33	1	1	0
36	1	1	35	1	1	0
37	1	1	35.5	1	1	0
38	1	1	36	1	1	0
39	1	1	36.5	1	1	0
40	1	1	37	1	1	0
41	1	1	37.5	1	1	0
42	1	1	38	1	1	0
43	1	1	39	1	1	0
44	1	1	42	1	1	0
45	1	1	42.5	1	1	0
46	1	1	43	1	1	0
47	1	1	43.5	1	1	0
48	1	1	44	1	1	0
49	1	1	44.5	1	1	0
50	1	1	45	1	1	0
51	1	1	45.5	1	1	0
52	1	1	46	1	1	0
53	1	1	47	1	1	0
54	1	1	50	1	1	0
55	1	1	50.5	1	1	0
56	1	1	51	1	1	0
57	1	1	51.5	1	1	0
58	1	1	52	1	1	0
59	1	1	52.5	1	1	0
60	1	1	53	1	1	0
61	1	1	54	1	1	0
62	1	1	57	1	1	0
63	1	1	58	1	1	0
64	1	1	58.5	1	1	0
65	1	1	59	1	1	0
66	1	1	59.5	1	1	0
67	1	1	60	1	1	0
68	1	1	60.5	1	1	0
69	1	1	61	1	1	0
70	1	1	62	1	1	0
71	1	1	63	1	1	0
72	1	1	64	1	1	0
73	1	1	64.5	1	1	0
74	1	2	0	0	1	0
75	1	2	1	0	1	0
76	1	2	1.5	0	1	0
77	1	2	2	0	1	0
78	1	2	2.5	0	1	0
79	1	2	3	0	1	0
80	1	2	3.5	0	1	0
81	1	2	4	0	1	0
82	1	2	4.5	0	1	0
83	1	2	5	0	1	0
84	1	2	6	0	1	0
85	1	2	7	0	1	0
86	1	2	8	0	1	0
87	1	2	9	0	1	0
88	1	2	10	0	1	0
89	1	2	11	0	1	0
90	1	2	14	0	1	0
91	1	2	16	0	1	0
92	1	2	18	0	1	0
93	1	2	21	0	1	0
94	1	2	21.5	1	1	0
95	1	2	22	1	1	0
96	1	2	22.5	1	1	0
97	1	2	23	1	1	0
98	1	2	23.5	1	1	0
99	1	2	24	1	1	0
100	1	2	25	1	1	0
101	1	2	29	1	1	0
102	1	2	29.5	1	1	0
103	1	2	30	1	1	0
104	1	2	30.5	1	1	0
105	1	2	31	1	1	0
106	1	2	31.5	1	1	0
107	1	2	32	1	1	0
108	1	2	33	1	1	0
109	1	2	35	1	1	0
110	1	2	35.5	1	1	0
111	1	2	36	1	1	0
112	1	2	36.5	1	1	0
113	1	2	37	1	1	0
114	1	2	37.5	1	1	0
115	1	2	38	1	1	0
116	1	2	39	1	1	0
117	1	2	42	1	1	0
118	1	2	42.5	1	1	0
119	1	2	43	1	1	0
120	1	2	43.5	1	1	0
121	1	2	44	1	1	0
122	1	2	44.5	1	1	0
123	1	2	45	1	1	0
124	1	2	45.5	1	1	0
125	1	2	46	1	1	0
126	1	2	47	1	1	0
127	1	2	50	1	1	0
128	1	2	50.5	1	1	0
129	1	2	51	1	1	0
130	1	2	51.5	1	1	0
131	1	2	52	1	1	0
132	1	2	52.5	1	1	0
133	1	2	53	1	1	0
134	1	2	54	1	1	0
135	1	2	57	1	1	0
136	1	2	58	1	1	0
137	1	2	58.5	1	1	0
138	1	2	59	1	1	0
139	1	2	59.5	1	1	0
140	1	2	60	1	1	0
141	1	2	60.5	1	1	0
142	1	2	61	1	1	0
143	1	2	62	1	1	0
