StateID	ParentID	PerturbationID	N_species	frequency	Bacteroidaceae	Akkermansiaceae	Lachnospiraceae	Sutterellaceae	Porphyromonadaceae	Prevotellaceae	Acidaminococcaceae	Ruminococcaceae	Enterobacteriaceae	Desulfovibrionaceae
1	1	1	10	0.982222	6.68801e+07	3.99045e+07	9.61271e+06	1.00054e+07	5.39596e+06	8865.42	38335.2	1.50177e+06	25981	24744.6
2	1	1	9	0.982222	0	3.99045e+07	9.61271e+06	1.00054e+07	5.39596e+06	8865.42	38335.2	1.50177e+06	25981	24744.6
3	1	1	9	0.982222	6.68801e+07	0	9.61271e+06	1.00054e+07	5.39596e+06	8865.42	38335.2	1.50177e+06	25981	24744.6
4	1	1	9	0.982222	6.68801e+07	3.99045e+07	0	1.00054e+07	5.39596e+06	8865.42	38335.2	1.50177e+06	25981	24744.6
5	1	1	9	0.982222	6.68801e+07	3.99045e+07	9.61271e+06	0	5.39596e+06	8865.42	38335.2	1.53467e+06	25981	24744.6
6	1	1	9	0.982222	6.68801e+07	3.99045e+07	9.67191e+06	1.00054e+07	0	8865.42	38335.2	1.77583e+06	25981	24744.6
7	1	1	9	1	6.68801e+07	3.98568e+07	9.59546e+06	9.99923e+06	5.39756e+06	0	37831.9	1.48962e+06	25981	25377.3
8	1	1	9	0.982222	6.68801e+07	3.99045e+07	9.61271e+06	1.00054e+07	5.39596e+06	8865.42	0	1.50177e+06	25981	24744.6
9	1	1	9	0.982222	6.68801e+07	3.99045e+07	9.61271e+06	1.00054e+07	5.39596e+06	8865.42	38335.2	0	25981	24744.6
10	1	1	9	0.982222	6.68801e+07	3.99045e+07	9.61271e+06	1.00054e+07	5.39596e+06	8865.42	38335.2	1.50177e+06	0	24744.6
11	1	1	9	1	6.68801e+07	3.98568e+07	9.59546e+06	9.99923e+06	5.39756e+06	8855.08	37831.9	1.48962e+06	25981	0
1	1	2	10	0.977778	6.67771e+07	3.97788e+07	9.5954e+06	1.00127e+07	5.39676e+06	8860.25	38443.2	1.49329e+06	25683.9	24488.6
2	1	2	9	0.977778	0	3.97788e+07	9.5954e+06	1.00127e+07	5.39676e+06	8860.25	38443.2	1.49329e+06	25683.9	24488.6
3	1	2	9	0.977778	6.67771e+07	0	9.5954e+06	1.00127e+07	5.39676e+06	8860.25	38443.2	1.49329e+06	25683.9	24488.6
4	1	2	9	0.977778	6.67771e+07	3.97788e+07	0	1.00127e+07	5.39676e+06	8860.25	38443.2	1.49329e+06	25683.9	24488.6
5	1	2	9	0.977778	6.67771e+07	3.97788e+07	9.5954e+06	0	5.39676e+06	8860.25	38443.2	1.52563e+06	25683.9	24488.6
6	1	2	9	0.977778	6.67771e+07	3.97788e+07	9.63122e+06	1.00127e+07	0	8860.25	38443.2	1.76054e+06	25683.9	24488.6
7	1	2	9	0.995556	6.67771e+07	3.96443e+07	9.58644e+06	1.00023e+07	5.40276e+06	0	38083.6	1.48746e+06	25683.9	25060.9
8	1	2	9	0.977778	6.67771e+07	3.97788e+07	9.5954e+06	1.00127e+07	5.39676e+06	8860.25	0	1.49329e+06	25683.9	24488.6
9	1	2	9	0.977778	6.67771e+07	3.97788e+07	9.5954e+06	1.00127e+07	5.39676e+06	8860.25	38443.2	0	25683.9	24488.6
10	1	2	9	0.977778	6.67771e+07	3.97788e+07	9.5954e+06	1.00127e+07	5.39676e+06	8860.25	38443.2	1.49329e+06	0	24488.6
11	1	2	9	1	6.68801e+07	3.97008e+07	9.59533e+06	9.99923e+06	5.39756e+06	8855.08	37831.9	1.4855e+06	25981	0
