parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
growth_rate	NA	Bacteroidaceae	0.64275	6.5138	0.1154
growth_rate	NA	Akkermansiaceae	0.77185	6.5138	0.15485
growth_rate	NA	Lachnospiraceae	0.55576	6.5138	0.13758
growth_rate	NA	Sutterellaceae	0.77576	6.5138	0.12494
growth_rate	NA	Porphyromonadaceae	0.60089	6.5138	0.11917
growth_rate	NA	Prevotellaceae	0.52399	6.5138	0.43873
growth_rate	NA	Acidaminococcaceae	0.26733	6.5138	0.17542
growth_rate	NA	Ruminococcaceae	1.0788	6.5138	0.21989
growth_rate	NA	Enterobacteriaceae	0.50407	6.5138	0.26841
growth_rate	NA	Desulfovibrionaceae	0.69136	6.5138	0.18783
interaction	Bacteroidaceae	Bacteroidaceae	-9.6104e-09	6.5138	1.0992e-09
interaction	Bacteroidaceae	Akkermansiaceae	0	0	0
interaction	Bacteroidaceae	Lachnospiraceae	0	0.00093421	2.5168e-10
interaction	Bacteroidaceae	Sutterellaceae	0	0	0
interaction	Bacteroidaceae	Porphyromonadaceae	0	0	0
interaction	Bacteroidaceae	Prevotellaceae	0	0	0
interaction	Bacteroidaceae	Acidaminococcaceae	0	0	0
interaction	Bacteroidaceae	Ruminococcaceae	0	0.001246	2.7609e-10
interaction	Bacteroidaceae	Enterobacteriaceae	0	0	0
interaction	Bacteroidaceae	Desulfovibrionaceae	0	0	0
interaction	Akkermansiaceae	Bacteroidaceae	0	0	0
interaction	Akkermansiaceae	Akkermansiaceae	-2.0073e-08	6.5138	2.7024e-09
interaction	Akkermansiaceae	Lachnospiraceae	0	0	0
interaction	Akkermansiaceae	Sutterellaceae	0	0	0
interaction	Akkermansiaceae	Porphyromonadaceae	0	0	0
interaction	Akkermansiaceae	Prevotellaceae	0	0	0
interaction	Akkermansiaceae	Acidaminococcaceae	0	0	0
interaction	Akkermansiaceae	Ruminococcaceae	0	0	0
interaction	Akkermansiaceae	Enterobacteriaceae	0	0	0
interaction	Akkermansiaceae	Desulfovibrionaceae	0	0	0
interaction	Lachnospiraceae	Bacteroidaceae	0	0	0
interaction	Lachnospiraceae	Akkermansiaceae	0	0	0
interaction	Lachnospiraceae	Lachnospiraceae	-4.8155e-08	6.5138	1.0649e-08
interaction	Lachnospiraceae	Sutterellaceae	0	0	0
interaction	Lachnospiraceae	Porphyromonadaceae	0	0	0
interaction	Lachnospiraceae	Prevotellaceae	0	0	0
interaction	Lachnospiraceae	Acidaminococcaceae	0	0	0
interaction	Lachnospiraceae	Ruminococcaceae	0	0	0
interaction	Lachnospiraceae	Enterobacteriaceae	0	0	0
interaction	Lachnospiraceae	Desulfovibrionaceae	0	0	0
interaction	Sutterellaceae	Bacteroidaceae	0	0	0
interaction	Sutterellaceae	Akkermansiaceae	0	0	0
interaction	Sutterellaceae	Lachnospiraceae	0	0.00066711	1.0785e-09
interaction	Sutterellaceae	Sutterellaceae	-5.8911e-08	6.5138	7.9262e-09
interaction	Sutterellaceae	Porphyromonadaceae	0	0	0
interaction	Sutterellaceae	Prevotellaceae	0	0	0
interaction	Sutterellaceae	Acidaminococcaceae	0	4.4446e-05	3.6558e-10
interaction	Sutterellaceae	Ruminococcaceae	0	0.076864	1.1954e-08
interaction	Sutterellaceae	Enterobacteriaceae	0	0	0
interaction	Sutterellaceae	Desulfovibrionaceae	0	0	0
interaction	Porphyromonadaceae	Bacteroidaceae	0	0	0
interaction	Porphyromonadaceae	Akkermansiaceae	0	0	0
interaction	Porphyromonadaceae	Lachnospiraceae	0	0.022495	1.521e-08
interaction	Porphyromonadaceae	Sutterellaceae	0	0	0
interaction	Porphyromonadaceae	Porphyromonadaceae	-1.4186e-07	6.5138	1.5008e-08
interaction	Porphyromonadaceae	Prevotellaceae	0	0	0
interaction	Porphyromonadaceae	Acidaminococcaceae	0	0	0
interaction	Porphyromonadaceae	Ruminococcaceae	-1.0379e-07	0.65138	5.1607e-08
interaction	Porphyromonadaceae	Enterobacteriaceae	0	0	0
interaction	Porphyromonadaceae	Desulfovibrionaceae	0	0	0
interaction	Prevotellaceae	Bacteroidaceae	0	0	0
interaction	Prevotellaceae	Akkermansiaceae	0	0	0
interaction	Prevotellaceae	Lachnospiraceae	0	0	0
interaction	Prevotellaceae	Sutterellaceae	0	0	0
interaction	Prevotellaceae	Porphyromonadaceae	0	0	0
interaction	Prevotellaceae	Prevotellaceae	-6.6202e-05	6.5138	5.6137e-05
interaction	Prevotellaceae	Acidaminococcaceae	0	0	0
interaction	Prevotellaceae	Ruminococcaceae	0	0	0
interaction	Prevotellaceae	Enterobacteriaceae	0	8.8897e-05	3.9761e-07
interaction	Prevotellaceae	Desulfovibrionaceae	0	0.01916	7.3682e-06
interaction	Acidaminococcaceae	Bacteroidaceae	0	0	0
interaction	Acidaminococcaceae	Akkermansiaceae	0	0	0
interaction	Acidaminococcaceae	Lachnospiraceae	0	0	0
interaction	Acidaminococcaceae	Sutterellaceae	0	0	0
interaction	Acidaminococcaceae	Porphyromonadaceae	0	4.4446e-05	5.8377e-09
interaction	Acidaminococcaceae	Prevotellaceae	0	8.8897e-05	4.4787e-07
interaction	Acidaminococcaceae	Acidaminococcaceae	-6.8642e-06	6.5138	1.5542e-06
interaction	Acidaminococcaceae	Ruminococcaceae	0	0	0
interaction	Acidaminococcaceae	Enterobacteriaceae	0	0	0
interaction	Acidaminococcaceae	Desulfovibrionaceae	0	4.4446e-05	2.8929e-08
interaction	Ruminococcaceae	Bacteroidaceae	0	4.4446e-05	1.3142e-09
interaction	Ruminococcaceae	Akkermansiaceae	0	0	0
interaction	Ruminococcaceae	Lachnospiraceae	0	0.00040016	6.4398e-09
interaction	Ruminococcaceae	Sutterellaceae	0	0.0011123	8.6408e-09
