Row.names	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
sample141	1	BI1	Beijing	1	0	Inulin	25580567.39	15034841.93	731117.1952	2803564.186	6520313.663	379782.6676	578919.6468	684177.7644	25603.3259	1514863.449
sample156	2	BI1	Beijing	1	1	Inulin	62930191.4	57628002.34	63283030.6	252027.9997	8175308.258	1785798.398	10227536.26	184820.5331	50405.59994	3497188.53
sample171	3	BI1	Beijing	1	3	Inulin	118385915.3	74746273.63	26425959.9	16002807.27	11998665.47	412798.1239	169705.8954	4155501.114	100906.2081	339411.7908
sample186	4	BI1	Beijing	1	5	Inulin	204296806	41739026.73	751422.7087	7328876.152	11787317.56	0	1137153.033	26765676.88	105199.1792	4688877.702
sample201	5	BI1	Beijing	1	8	Inulin	137016658.2	19375096.97	1531115.351	2224874.962	18767841.05	432518.4608	541513.1129	2856351.915	60552.58451	2366741.017
sample216	6	BI1	Beijing	1	13	Inulin	154480291.1	17605117.96	2135753.316	4995155.284	31633783.92	6781181.743	2709833.249	17387363.5	162765.9582	10494005.22
sample231	7	BI1	Beijing	1	19	Inulin	164395217	9482735.1	753149.7819	6560513.946	25542205.83	1186500.579	1211991.803	16080327.19	90377.97383	3744892.454
sample246	8	BI1	Beijing	1	25	Inulin	162899028.3	25926234.32	2023014.797	3752183.869	26057334.72	1231891.692	153703.9175	11738006.52	63289.84839	395561.5524
sample261	9	BI1	Beijing	1	31	Inulin	93767049.65	5150043.428	1126187.898	1153843.262	9326003.464	424048.9219	755913.2956	5119315.246	215097.2792	2618041.17
sample142	10	BI2	Beijing	2	0	Inulin	12217695.66	8628681.437	1518836.024	124022.601	1957323.514	269793.2411	946921.3757	1537645.139	7641.202907	687708.2617
sample157	11	BI2	Beijing	2	1	Inulin	99956825.01	59140865.24	33289220.07	424301.5027	8455283.567	4442867.184	5214603.975	4246089.675	92239.4571	3163813.378
sample172	12	BI2	Beijing	2	3	Inulin	156657662.7	88660813.15	2789365.326	1967482.699	15067248.68	314725.2947	1480108.1	6121856.589	62945.05893	2215666.074
sample187	13	BI2	Beijing	2	5	Inulin	175617507.3	48241027.84	2315235.377	863797.9423	16858510.03	542683.4656	9755457.802	14646031.28	93123.19825	15747453.94
sample202	14	BI2	Beijing	2	8	Inulin	142401328.8	15832031.79	2040598.752	2517897.892	18044612.83	1453153.657	2075381.685	17947993.57	61836.32582	5511162.538
sample217	15	BI2	Beijing	2	13	Inulin	169199302	20630686.99	1089235.829	462312.3134	22446663.76	490331.2415	486828.8755	16622229.09	141845.8234	2120682.619
sample232	16	BI2	Beijing	2	19	Inulin	207000758.9	5899764.559	1045762.189	229049.6829	21815247.07	647817.285	1191521.078	15542987.57	76349.8943	4085876.162
sample247	17	BI2	Beijing	2	25	Inulin	180649406.7	26708583.14	1179033.244	13298398.22	38935516.44	1826552.397	649628.335	27090345.24	80148.95043	1174814.879
sample262	18	BI2	Beijing	2	31	Inulin	132139750.7	7028779.018	1711336.126	2190423.919	15440870.09	1145926.208	930120.8955	11737650.93	345288.4995	3316927.648
