StateID	ParentID	PerturbationID	N_species	frequency	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
1	1	1	10	0.92	1.87639e+08	3.3275e+07	3.84597e+07	5.22781e+07	2.45305e+07	9.77393e+06	6.6794e+06	1.33724e+07	1.43004e+06	8.18168e+06
2	1	1	9	1	0	3.31419e+07	1.44673e+08	5.29802e+07	2.4527e+07	9.90052e+06	6.43925e+06	1.34417e+07	1.42602e+06	8.18168e+06
3	1	1	9	0.92	1.87639e+08	0	3.84597e+07	5.22781e+07	2.45305e+07	9.77393e+06	6.6794e+06	1.33724e+07	1.43004e+06	8.18168e+06
4	1	1	9	0.995556	1.88727e+08	3.31816e+07	0	5.27681e+07	2.4475e+07	9.88509e+06	6.49712e+06	1.34556e+07	1.42803e+06	8.18004e+06
5	1	1	9	0.92	1.87639e+08	3.3275e+07	3.84597e+07	0	2.45305e+07	9.77393e+06	6.6794e+06	1.33724e+07	1.43004e+06	8.18168e+06
6	1	1	9	0.92	1.87639e+08	3.3275e+07	3.84597e+07	5.22781e+07	0	9.77393e+06	6.6794e+06	1.33724e+07	1.43004e+06	8.18168e+06
7	1	1	9	0.924444	1.87766e+08	3.32482e+07	3.84545e+07	5.24171e+07	2.45219e+07	0	6.62986e+06	1.33707e+07	1.42611e+06	8.1847e+06
8	1	1	9	0.92	1.87639e+08	3.3275e+07	3.84597e+07	5.22781e+07	2.45305e+07	9.77393e+06	0	1.33724e+07	1.43004e+06	8.18168e+06
9	1	1	9	0.92	1.87639e+08	3.73162e+07	3.84597e+07	5.29802e+07	2.45305e+07	9.77393e+06	6.6794e+06	0	1.43004e+06	8.18168e+06
10	1	1	9	0.915556	1.87766e+08	3.32482e+07	3.82545e+07	5.21609e+07	2.45653e+07	9.78503e+06	6.62986e+06	1.33707e+07	0	8.09581e+06
11	1	1	9	0.92	1.87639e+08	3.3275e+07	3.84597e+07	5.22781e+07	2.45305e+07	9.77393e+06	6.6794e+06	1.33724e+07	1.43004e+06	0
