SampleID	Subject	Time	Acetate	Propionate	Butyrate	Iso-butyrate	Iso-valerate	Valerate	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae
sample136	BR1	0	22.40591026	4.444320871	3.492211248	0.363461631	0.168020139	0.509783981	50887515.17	44782260.91	3308637.152	3581541.238	6630269.737	1044832.785	8228707.953	1413903.072	168940.6244	5208569.406
sample151	BR1	1	8.744313686	3.642003836	2.2939949	0.163387076	0.021048158	0.212327994	25795190.23	41825191.86	443306.1897	190522.0422	1434518.906	1217846.78	1241506.38	266481.8107	52300.16845	2809266.191
sample166	BR1	3	11.81975427	4.617365984	5.423926585	0.309442028	0.191181629	0.188056139	36003546.25	33338574.75	1062707.514	42836.40922	2258481.32	1343422.706	787460.7994	890450.4641	31899.45368	1191216.742
sample181	BR1	5	15.92246417	5.516580221	5.514435515	0.332591739	0.129683951	0.46289296	49205857.17	28046823.25	1611617.144	20613.70766	2578587.431	817052.4128	1227452.593	482548.1566	43101.38875	1462636.257
sample196	BR1	8	11.1107128	3.144938926	3.256488415	0.031447907	0.001860721	0.17570739	92442917.87	21320179.83	2342460.229	29491.40576	3768580.35	535058.3616	391814.3908	389707.8618	75835.04337	891061.7596
sample211	BR1	13	14.63816872	4.114535602	1.402177164	0.16302837	0.083511416	0.037482783	60718256.87	3864558.816	8513880.922	44843.6166	4793462.303	2174915.405	33443728.63	257850.7954	270663.2573	3177490.547
sample226	BR1	19	19.62622722	6.161612487	3.554687742	0.302767427	0.132528121	0.321407326	90553004.85	13274066.28	6374083.118	130929.4718	3676935.999	1983581.498	4410141.041	290226.9958	242219.5228	2930638.01
sample241	BR1	25	24.66172185	4.343514416	3.892198656	0.057636838	0.023343276	0.230635373	137618086.7	23512127.69	3797077.566	224329.8313	5218620.287	991773.9912	22784826.76	108622.8657	250304.8644	2418039.445
sample256	BR1	31	31.11719071	5.008657996	2.737774635	0.023632051	0.00116055	0.202061696	68706990.01	14749313.72	5473327.883	143357.8156	8913915.458	424559.6847	5543168.87	69840.98709	494400.6718	5791288.166
sample137	BR2	0	12.84876461	2.011737905	0.846364701	0.061972196	0.015822445	0.0501367	20296404.34	11388335.44	805076.5814	1197268.111	1729387.271	893763.1081	1285954.637	6344042.878	53211.91603	1707708.342
sample167	BR2	3	9.083973034	4.167519044	6.046348137	0.38811466	0.198527737	0.422774442	14760865.93	27722903.02	389270.3699	35215.16794	1744578.455	130391.2975	2795322.925	1156389.974	19035.22591	1332465.814
sample197	BR2	8	10.9533674	3.527356408	4.340200757	0.043037224	-0.005025364	0.296225518	62497360.48	22631484.81	952334.6644	63701.31534	1724713.113	404503.3524	5209175.062	2076662.88	47775.98651	3269470.01
sample212	BR2	13	10.78883675	3.422226465	1.100842587	-0.146359651	-0.133341207	-0.069271544	78106903.49	1495994.923	15098622.92	33617.86345	1659882.008	953906.8754	1651477.542	275246.257	386605.4297	4179120.65
sample227	BR2	19	10.71774856	1.971979508	1.968144879	-0.05805494	-0.054732121	0.037060232	75138545.57	9524517.89	3224981.803	4093777.472	8634232.576	4218110.421	3462902.878	282435.3412	142752.6453	1310868.377
sample242	BR2	25	13.94864143	2.300123521	2.673115383	-0.205514123	-0.172343973	-0.068834222	81721511.8	25242470.62	1315778.035	1561389.935	8847876.3	298243.0214	1482443.253	204676.5833	181284.9738	3336228.308
sample138	BR3	0	22.30705331	3.581340273	2.125602197	0.206319323	0.097680299	0.09860697	27260533.39	13740443.41	2212911.129	4444575.742	4446919.927	1529581.05	1223664.84	4711812.891	48055.80312	1992557.69
sample153	BR3	1	3.320544613	1.340709185	1.281309944	-0.048172727	-0.068832216	0.07287843	45138361.04	37210264.08	995992.0793	982712.1849	429383.252	677274.6139	8853262.927	1084524.709	157145.417	6668720.3
sample168	BR3	3	7.331557343	1.466855917	2.236514418	-0.180547096	-0.162359039	-0.153669021	42698698.79	28627205.52	784614.0901	154681.0635	838416.1992	546988.1086	3521796.387	295911.5997	73977.89993	12739891.07
sample183	BR3	5	30.6866147	8.167923468	7.620350501	0.571904619	0.231814009	0.973282232	56800845.5	32301461.95	1066355.496	18754.99615	2033577.44	431364.9116	350986.3566	827899.116	64302.84396	1473606.841
sample198	BR3	8	16.84204061	4.522269466	4.47549199	0.2434056	0.147419681	0.298711499	41799762.81	25592599.61	449248.1877	13691.37334	2808442.956	280673.1535	412452.6218	1025997.29	86426.7942	1003748.808
