Row.names	sampleID	Subject	subjectID	Time	Group	Bacteroidaceae	Akkermansiaceae	Lachnospiraceae	Sutterellaceae	Porphyromonadaceae	Prevotellaceae	Acidaminococcaceae	Ruminococcaceae	Enterobacteriaceae	Desulfovibrionaceae
2-D0AM	1	2	1	0	H1	4396.500961	35.54523	142.180934	64.425737	475.41756	79.976779	0	211.049837	390.997609	0
2-D0PM	2	2	1	0.5	H1	18964.70693	66.75365	760.991624	196.9233	590.76976	16.68841	0	347.118937	13.35073	0
2-D1AM	3	2	1	1	H1	89453380.69	1720257.173	0	16152.65	28259067.04	3392055.749	0	0	58860258.57	0
2-D1PM	4	2	1	1.5	H1	5270450.435	109080.3933	37539.3882	1375.789	814074.0559	786.1652	0	2358.4958	1730545.838	1768.872
2-D2AM	5	2	1	2	H1	5845427.444	123434.5481	249961.9682	11246.885	575840.466	18979.118	52719.77	106564.2302	806120.464	216361.9471
2-D2PM	6	2	1	2.5	H1	11158910	1973836	717685.1	37623.85	63920.1	88598.11	624636.9	221697.5	2134850	1746475
2-D3AM	7	2	1	3	H1	11551567.51	3265156.926	848426.584	500225.159	513638.942	17326.234	553880.6	136933.139	217416.3	375029.094
2-D3PM	8	2	1	3.5	H1	37838500.09	11275367.35	3019714.208	1417776.803	1425345.343	104693.51	3152157	387239.843	917014.16	1121356.025
2-D4AM	9	2	1	4	H1	42494300	10937880	5335086	2147191	1284660	236647.9	1812778	522635.6	308830.1	501620.6
2-D4PM	10	2	1	4.5	H1	18657110	8000625	1589756	1408291	562538.8	173687.1	1254047	346726.1	296823.5	285806.1
2-D5	11	2	1	5	H1	16610590	3789882	1203024	1565153	844968.9	295408.1	841913.1	259246.1	45839.19	75380
2-D6	12	2	1	6	H1	16809050	2702388	1719899	1969334	775534	482530.3	894260.5	574026	39212.4	93129.44
2-D7	13	2	1	7	H1	31567110	5670454	3566162	5147575	1638902	1332292	1435408	1543999	11862.87	237257.5
2-D8	14	2	1	8	H1	98270002.69	11807206.9	10873200.69	14697320	2243955.8	4053218.8	1268834	3389430.53	5874.23	352453.8
2-D9	15	2	1	9	H1	60536404.21	10167550	7840109.387	14161945.6	2847829.5	3516897.8	2404643	2593355.154	37170.47	417452.967
2-D10	16	2	1	10	H1	37415383.19	8845823.76	2725710.159	6342288	1031759.9	1854349.9	755395.6	1533550.615	501790.788	441099.025
2-D11	17	2	1	11	H1	27171708.92	6451064.2	2350021.594	3985447	1925730.1	1157277	1367452	1517202.004	440054.3	450562.984
2-D14	18	2	1	14	H1	23215045.86	5405673.16	1402601.128	3811657	416119.7	261878.133	326237.9	859980.892	330676.5	268536
2-D16	19	2	1	16	H1	32414495.25	3241281.5	1751953.131	3424221	838378.6	421433.94	867559.1	1226142.629	0	260379.982
2-D18	20	2	1	18	H1	18839080	3318218	1421711	2965844	1297799	471520.6	180804.2	1062485	0	165315.2
2-D21AM	21	2	1	21	H1	73026738.08	17770210	6103194.459	9596662	4354387.021	1302789.4	993688.011	3794270.274	8298.021	804908.1
2-D21PM	22	2	1	21.5	H2	97393841.23	24606623.58	10382645.05	12445980	5165119	1950749.6	8474600	7591424.224	0	1993452.222
2-D22AM	23	2	1	22	H2	31834851.3	41061406.6	9035112.408	1349895	4637699	60559.668	2881468	5294087.025	17581.84	1349894.301
2-D22PM	24	2	1	22.5	H2	37686256.11	48321072.13	14332458	1266109	5424385	17619.808	4518223	6373337.428	7551.348	2361055
2-D23AM	25	2	1	23	H2	10207240.6	30995139.3	3559175.589	307795.3	2170191	3124.825	1363986	2396740.724	17186.54	2043636
2-D23PM	26	2	1	23.5	H2	20727997.26	44557154.64	11255784.88	1039078	6563865.036	0	2678036	5299832.545	573099.7	6245179.107
2-D24	27	2	1	24	H2	38280801.82	82328040	25100349.3	950938.3	7668323	0	6728442	11118238.03	160332.63	23110010
2-D25	28	2	1	25	H2	17006711.4	62558010	8322307.78	568727.1	4701346.4	0	3367101	5008340.756	19679.14	7706350
2-D28AM	29	2	1	28	H2	17624254.56	22065108.37	9858671.705	225452.4	2608011.152	1391.681	702799.1	6005105.766	54275.58	2772229
2-D29AM	30	2	1	29	H2	100673100	46074870	19384240	12293670	12390110	1584355	1749678	1221561	27554	3494765
2-D29PM	31	2	1	29.5	H2	99898799.25	69458108.02	18090248.7	6808583	10494365.93	1719739.1	4037647.93	1398662.42	30788.17	5827760
