StateID	ParentID	PerturbationID	N_species	frequency	Bacteroidaceae	Akkermansiaceae	Lachnospiraceae	Sutterellaceae	Porphyromonadaceae	Prevotellaceae	Acidaminococcaceae	Ruminococcaceae	Enterobacteriaceae	Desulfovibrionaceae
1	1	1	9	0.777778	5.88072e+07	2.67157e+07	1.21409e+07	5.98211e+06	7.79064e+06	4.32547e+06	0	5.77877e+06	6.60189e+06	4.1861e+06
2	1	1	8	0.822222	0	2.66023e+07	1.50094e+07	5.98211e+06	7.86172e+06	4.29252e+06	0	5.79565e+06	6.52901e+06	4.50465e+06
3	1	1	8	0.835556	5.92103e+07	0	1.24168e+07	5.97582e+06	7.81416e+06	4.309e+06	0	5.86332e+06	7.06974e+06	4.50844e+06
4	1	1	8	0.817778	5.92715e+07	2.62827e+07	0	5.97582e+06	7.79314e+06	4.309e+06	0	5.78721e+06	6.52309e+06	4.1978e+06
5	1	1	8	0.817778	5.87841e+07	2.6637e+07	1.25311e+07	0	7.78575e+06	4.3266e+06	0	5.74819e+06	6.95877e+06	4.33606e+06
6	1	1	8	0.813333	5.90812e+07	2.66716e+07	1.24082e+07	5.96341e+06	0	4.48259e+06	0	5.77877e+06	7.13374e+06	4.33481e+06
7	1	1	8	0.808889	5.92103e+07	2.71882e+07	1.24168e+07	5.9995e+06	7.81416e+06	0	0	5.95709e+06	6.69217e+06	4.1978e+06
8	1	1	8	0.782222	5.89442e+07	2.66937e+07	1.21507e+07	5.9995e+06	7.79314e+06	4.3266e+06	0	0	6.69517e+06	4.01064e+06
9	1	1	8	0.906667	5.92103e+07	2.97603e+07	1.25983e+07	6.67743e+06	7.85551e+06	4.49264e+06	0	5.87639e+06	0	4.5527e+06
10	1	1	8	0.782222	5.89442e+07	2.66937e+07	1.21315e+07	5.9995e+06	7.79314e+06	4.309e+06	0	5.77379e+06	6.69517e+06	0
11	11	1	9	0.768889	5.87611e+07	2.92626e+07	1.09643e+07	6.63156e+06	7.89657e+06	4.32774e+06	3.85003e+06	1.33332e+06	0	2.4275e+06
12	11	1	8	0.826667	0	2.88632e+07	1.16414e+07	6.63194e+06	7.88734e+06	4.309e+06	3.85733e+06	1.33715e+06	0	2.43269e+06
13	11	1	8	0.773333	5.87841e+07	0	1.09665e+07	6.61319e+06	7.8973e+06	4.38575e+06	3.85733e+06	1.33364e+06	0	2.43269e+06
14	11	1	8	0.822222	5.93393e+07	2.86374e+07	0	6.63156e+06	7.87811e+06	4.32547e+06	3.85003e+06	1.33395e+06	0	2.35143e+06
15	11	1	8	0.768889	5.87611e+07	2.92626e+07	1.09966e+07	0	7.89657e+06	4.32774e+06	3.85003e+06	1.33332e+06	0	2.4275e+06
16	11	1	8	0.782222	5.87841e+07	2.97276e+07	1.09488e+07	6.57565e+06	0	4.53362e+06	3.84541e+06	1.33018e+06	0	2.4114e+06
17	11	1	8	0.786667	5.88072e+07	2.96974e+07	1.09643e+07	6.55648e+06	7.89657e+06	0	3.85003e+06	1.33332e+06	0	2.4275e+06
18	11	1	8	0.906667	5.92103e+07	2.97603e+07	1.25983e+07	6.67743e+06	7.85551e+06	4.49264e+06	0	5.87639e+06	0	4.5527e+06
19	11	1	8	0.844444	5.93658e+07	2.9548e+07	1.08001e+07	6.57565e+06	7.87091e+06	4.47681e+06	3.90026e+06	0	0	2.29303e+06
20	11	1	8	0.835556	5.855e+07	2.93869e+07	1.09488e+07	6.63751e+06	7.87091e+06	4.46318e+06	3.89817e+06	1.32478e+06	0	0
1	1	2	9	0.777778	5.88072e+07	2.66023e+07	1.21409e+07	5.98211e+06	7.79064e+06	4.32547e+06	0	5.77877e+06	6.60189e+06	4.1861e+06
2	1	2	8	0.822222	0	2.60124e+07	1.50094e+07	5.98211e+06	7.86172e+06	4.29252e+06	0	5.79565e+06	6.52901e+06	4.50465e+06
3	1	2	8	0.831111	5.90812e+07	0	1.24082e+07	5.96953e+06	7.79563e+06	4.32547e+06	0	5.77877e+06	7.06052e+06	4.50465e+06
4	1	2	8	0.817778	5.92715e+07	2.59883e+07	0	5.97582e+06	7.79314e+06	4.309e+06	0	5.78721e+06	6.52309e+06	4.1978e+06
5	1	2	8	0.817778	5.87841e+07	2.62827e+07	1.25311e+07	0	7.78575e+06	4.3266e+06	0	5.74819e+06	6.95877e+06	4.33606e+06
6	1	2	8	0.813333	5.90812e+07	2.60124e+07	1.24082e+07	5.96341e+06	0	4.48259e+06	0	5.77877e+06	7.13374e+06	4.33481e+06
7	1	2	8	0.808889	5.92103e+07	2.67627e+07	1.24168e+07	5.9995e+06	7.81416e+06	0	0	5.91365e+06	6.69217e+06	4.1978e+06
8	1	2	8	0.782222	5.89442e+07	2.65777e+07	1.21507e+07	5.9995e+06	7.79314e+06	4.3266e+06	0	0	6.69517e+06	4.01064e+06
9	1	2	8	0.902222	5.90812e+07	2.94313e+07	1.25977e+07	6.66931e+06	7.84931e+06	4.48259e+06	0	5.80492e+06	0	4.51223e+06
10	1	2	8	0.782222	5.89442e+07	2.65777e+07	1.21315e+07	5.9995e+06	7.79314e+06	4.309e+06	0	5.77379e+06	6.69517e+06	0
11	11	2	9	0.764444	5.87231e+07	2.88632e+07	1.09488e+07	6.61319e+06	7.88734e+06	4.34468e+06	3.85733e+06	1.33018e+06	0	2.4114e+06
12	11	2	8	0.826667	0	2.87279e+07	1.16414e+07	6.63194e+06	7.88734e+06	4.309e+06	3.85733e+06	1.33715e+06	0	2.43269e+06
13	11	2	8	0.768889	5.87611e+07	0	1.09643e+07	6.59481e+06	7.89657e+06	4.36163e+06	3.86464e+06	1.33332e+06	0	2.4275e+06
14	11	2	8	0.822222	5.93393e+07	2.83192e+07	0	6.63156e+06	7.87811e+06	4.32547e+06	3.85003e+06	1.33395e+06	0	2.35143e+06
15	11	2	8	0.764444	5.87231e+07	2.88632e+07	1.09827e+07	0	7.88734e+06	4.34468e+06	3.85733e+06	1.33018e+06	0	2.4114e+06
16	11	2	8	0.777778	5.87611e+07	2.94082e+07	1.09333e+07	6.55648e+06	0	4.51042e+06	3.85003e+06	1.32704e+06	0	2.3953e+06
17	11	2	8	0.782222	5.87841e+07	2.93869e+07	1.09488e+07	6.51304e+06	7.88734e+06	0	3.85733e+06	1.33018e+06	0	2.4114e+06
18	11	2	8	0.902222	5.90812e+07	2.94313e+07	1.25977e+07	6.66931e+06	7.84931e+06	4.48259e+06	0	5.80492e+06	0	4.51223e+06
19	11	2	8	0.84	5.93396e+07	2.92626e+07	1.07348e+07	6.55648e+06	7.86371e+06	4.47103e+06	3.90028e+06	0	0	2.29023e+06
20	11	2	8	0.831111	5.84148e+07	2.92626e+07	1.09333e+07	6.63232e+06	7.86371e+06	4.44377e+06	3.90025e+06	1.32252e+06	0	0
