class	var	Estimate	Std.Error	df	t value	P_value
H1:Lipid metabolism	(Intercept)	12.2261134593965	0.488345581251513	82.4692903302724	25.035781890488	2.71852159564065e-40
H1:Lipid metabolism	Enterobacteriaceae	-0.0336021401504845	0.00785901516951888	81.4320580092864	-4.27561716394316	5.14772062074485e-05
H1:Lipid metabolism	Bacteroidaceae	-0.0972621764505719	0.0886815537991401	81.828685584222	-1.09675769406191	0.275964486181559
H1:Lipid metabolism	Akkermansiaceae	0.177895904053504	0.0347851083792046	82.5059744856002	5.11413970927439	2.01103524560252e-06
H1:Lipid metabolism	Prevotellaceae	-0.055204876567038	0.0232439637578979	82.2475794188569	-2.37501990374943	0.0198751893110023
H1:Lipid metabolism	Porphyromonadaceae	0.166724327487335	0.059965005815631	81.9229967000512	2.78036039886241	0.00673430457759505
H1:Amino acid metabolism	(Intercept)	13.3271079311662	0.46520776630245	83.9999999990945	28.6476471299958	4.03588136186309e-45
H1:Amino acid metabolism	Enterobacteriaceae	-0.0339708117636732	0.00748727874789207	83.9999999988023	-4.53713731083368	1.88249237106758e-05
H1:Amino acid metabolism	Bacteroidaceae	-0.0894727032511415	0.0844843284532564	83.9999999989229	-1.05904497188073	0.292615176091203
H1:Amino acid metabolism	Akkermansiaceae	0.179392238967558	0.0331368435808163	83.9999999979953	5.41367914327883	5.74767223603844e-07
H1:Amino acid metabolism	Prevotellaceae	-0.0522451280582873	0.0221430827429182	83.9999999991701	-2.35943335735384	0.0206226162134169
H1:Amino acid metabolism	Porphyromonadaceae	0.152240023079741	0.0571264847038752	83.99999999823	2.6649639631933	0.00923123815537012
H2:Lipid metabolism	(Intercept)	14.6838263475559	0.414706832323254	220.988413140576	35.4077271051811	4.78815746322332e-93
H2:Lipid metabolism	Enterobacteriaceae	0.00421070010295269	0.00444894337922741	220.839455526674	0.946449469915238	0.344953808266997
H2:Lipid metabolism	Bacteroidaceae	0.110760415024484	0.0336691853650762	218.88746432163	3.28966720826491	0.0011688866419285
H2:Lipid metabolism	Porphyromonadaceae	-0.0224448130579502	0.0366514953929603	219.366141599978	-0.612384646719249	0.540917554826236
H2:Lipid metabolism	Lachnospiraceae	-0.0933765823881693	0.0142872970912764	213.18339443361	-6.53563664222979	4.59299974303532e-10
H2:Lipid metabolism	Akkermansiaceae	-0.017560056024943	0.0071852754191112	220.994608263718	-2.44389463182403	0.0153133951453364
H2:Amino acid metabolism	(Intercept)	15.6798479392457	0.363437042213872	220.991934177918	43.1432301004104	1.29176598293349e-109
H2:Amino acid metabolism	Enterobacteriaceae	0.00473674837250422	0.0038988150741891	220.813538906968	1.21491999039975	0.225694123976737
H2:Amino acid metabolism	Bacteroidaceae	0.0831573733321979	0.0295088896299178	218.911021705083	2.81804481209243	0.00527407084157749
