class	var	Estimate	Std.Error	df	t value	P_value
H1:Lipid metabolism	(Intercept)	11.5061935824119	0.457880144017492	83.0873391223347	25.1292695976185	1.39357178533006e-40
H1:Lipid metabolism	Acidaminococcaceae	0.029782763656415	0.0184094093611867	83.7963727816016	1.61780115114433	0.109463770135769
H1:Lipid metabolism	Lachnospiraceae	-0.0435871738296833	0.0469584502360159	79.6546471534043	-0.928207247270972	0.356104271236247
H1:Lipid metabolism	Bacteroidaceae	0.0145237517691337	0.0934621301154527	83.2521420350238	0.155397183342523	0.876884365440314
H1:Lipid metabolism	Ruminococcaceae	0.0786415179010082	0.038879396616065	72.5376236235447	2.02270417613718	0.046790681601311
H1:Lipid metabolism	Porphyromonadaceae	0.143874572422495	0.073847183798514	83.1873927699833	1.94827432844353	0.0547539878129462
H1:Amino acid metabolism	(Intercept)	12.5615574658093	0.447073603505307	83.1136623458954	28.097291737467	3.36612094606281e-44
H1:Amino acid metabolism	Acidaminococcaceae	0.0294339368023625	0.0179490599547749	83.9875837254141	1.63985951779788	0.104774825052417
H1:Amino acid metabolism	Lachnospiraceae	-0.0303781290137657	0.0455080986613844	76.2263740753165	-0.667532371321476	0.506448101222623
H1:Amino acid metabolism	Bacteroidaceae	0.0333896101010399	0.0912151967683475	83.6210574417906	0.366053149957425	0.715249881465852
H1:Amino acid metabolism	Ruminococcaceae	0.0655994529208214	0.0375452963075149	66.3575867466177	1.74720828898323	0.0852276807753421
H1:Amino acid metabolism	Porphyromonadaceae	0.121936752556742	0.0720778713532968	83.5695084186812	1.69173631611646	0.0944221578458398
H2:Lipid metabolism	(Intercept)	14.6767903110427	0.423524885885145	220.999999999696	34.6539029940802	2.68613925247348e-91
H2:Lipid metabolism	Acidaminococcaceae	-0.0162265589917252	0.0171963415354833	221.000000001061	-0.94360529873421	0.346401797437035
H2:Lipid metabolism	Lachnospiraceae	-0.0734179935326322	0.0159805926155479	220.999999997969	-4.59419718022235	7.29819119128584e-06
H2:Lipid metabolism	Ruminococcaceae	-0.03942615298933	0.0128551169253781	220.999999998372	-3.06696183459028	0.00243229351464252
H2:Lipid metabolism	Bacteroidaceae	0.0722046708773476	0.0341049648500181	220.999999999422	2.1171307812478	0.0353666883728024
H2:Lipid metabolism	Porphyromonadaceae	0.0362534809324375	0.0308623589132722	220.999999999788	1.1746827594843	0.241385807045458
H2:Amino acid metabolism	(Intercept)	15.6703737371673	0.375016312765207	220.998184451193	41.7858455852781	6.98193413594583e-107
H2:Amino acid metabolism	Acidaminococcaceae	-0.00888882751612638	0.0152246595104577	220.83292301511	-0.583844092540836	0.559921078209787
H2:Amino acid metabolism	Lachnospiraceae	-0.0696800105934324	0.014171236321908	200.671438887978	-4.91700293542567	1.82445189620723e-06
H2:Amino acid metabolism	Ruminococcaceae	-0.0158799193176395	0.0113932667560999	212.56578214314	-1.39379860557881	0.164833840515168
H2:Amino acid metabolism	Bacteroidaceae	0.0623121601886555	0.0302088520943866	219.821583950135	2.06271194926452	0.0403152348478545
H2:Amino acid metabolism	Porphyromonadaceae	0.0264711087655354	0.0273139481121217	218.620236113897	0.969142529555722	0.333545029740031
UC1:Lipid metabolism	(Intercept)	10.9075323123461	0.270504481386191	103.788146879355	40.3229264685405	3.16428284343405e-65
UC1:Lipid metabolism	Porphyromonadaceae	0.300457541941108	0.0417824400553068	100.257065241328	7.19100037105052	1.17893758173512e-10
UC1:Lipid metabolism	Prevotellaceae	0.0183487067967143	0.0164935035221353	102.157322058876	1.1124808487226	0.268542510618888
UC1:Lipid metabolism	Desulfovibrionaceae	0.0135120179483663	0.0109503706812962	102.745118764467	1.23393247056426	0.22004316602377
UC1:Lipid metabolism	Sutterellaceae	-0.0628371674691752	0.0310873743328832	100.305315460861	-2.02130829050777	0.0459119026792699
UC1:Amino acid metabolism	(Intercept)	11.9570415047269	0.2696275044832	103.908608824139	44.3465199429309	2.46964312330352e-69
UC1:Amino acid metabolism	Porphyromonadaceae	0.291726590811418	0.041580718213398	100.136699942485	7.0159103388796	2.75075246030305e-10
UC1:Amino acid metabolism	Prevotellaceae	0.0167164700419439	0.0164232050289423	101.917001517749	1.01785674674857	0.311156236784882
