Row.names	Subject	Time	Group	Bacteroidaceae	Akkermansiaceae	Lachnospiraceae	Sutterellaceae	Porphyromonadaceae	Prevotellaceae	Acidaminococcaceae	Ruminococcaceae	Enterobacteriaceae	Desulfovibrionaceae	Erysipelotrichaceae	Rikenellaceae	Barnesiellaceae	Clostridiaceae_1	Odoribacteraceae	Erysipelatoclostridiaceae	Peptostreptococcaceae	Christensenellaceae	Streptococcaceae	Eubacteriaceae	Veillonellaceae	Clostridiales_Incertae_Sedis_XIII	Oxalobacteraceae	Enterococcaceae	Bifidobacteriaceae	Muribaculaceae	Eggerthellaceae	Moraxellaceae	Coriobacteriaceae	Lactobacillaceae	Fusobacteriaceae	Morganellaceae	Victivallaceae	Comamonadaceae	Methanobacteriaceae	Azospirillaceae	Catabacteriaceae	Sphingomonadaceae	Rhizobiaceae	Caulobacteraceae	Pleomorphomonadaceae	Pseudomonadaceae	Bradyrhizobiaceae	Nocardioidaceae	Chromatiaceae	Aurantimonadaceae	Bacillaceae_1	Chitinophagaceae	Devosiaceae	Rhodospirillaceae	Rhodobacteraceae	Bacillales_Incertae_Sedis_X	Bacteriovoracaceae	Xanthomonadaceae	Hydrogenophilaceae	Streptophyta	Stappiaceae	Geodermatophilaceae	Paenibacillaceae_1	Burkholderiaceae	Bdellovibrionaceae	Weeksellaceae	Anaerolineaceae	Caldilineaceae	Boseaceae	Cytophagaceae	Lawsonellaceae	Pasteurellaceae	Sphingosinicellaceae	Legionellaceae	Deinococcaceae	Erythrobacteraceae	Nocardiopsaceae	Kiloniellaceae	Selenomonadaceae
10-D0AM	10	0	UC1	30682.603	1416.12	944.0802	0	0	0	0	0	0	0	0	0	0	2360.2	472.0401	0	0	0	0	0	0	0	472.0401	0	0	0	0	1416.1202	0	0	0	0	0	0	0	0	0	0	944.0802	0	0	472.0401	472.0401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10-D10	10	10	UC1	63892651.06	22284435.33	8727636.301	9069524.1	5007232.6	0	0	1277330.907	0	0	94968.841	33239.1	0	0	0	2374.221	0	0	0	0	40361.756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10-D11	10	11	UC1	136918781.5	47040772.2	17065547.02	10781445.2	2771463.68	0	0	2398229.39	0	42352.84	108529.14	60882.2	0	0	0	0	0	0	0	0	44999.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10-D14	10	14	UC1	71952646.25	24410940	8047820.22	5201298.5	1899238.45	0	4672.174	849167.727	2336.087	7008.262	38545.442	28033.04	0	1168.044	0	0	0	0	0	0	0	0	0	1168.044	0	0	1168.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10-D16	10	16	UC1	65918425.66	20926696.73	10320637.9	7171340.2	1320097.47	0	0	1328330.961	0	0	6861.213	39795.041	0	10977.942	0	0	2744.485	0	0	0	0	0	0	1372.243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10-D18	10	18	UC1	46810980	16792000	6486649	4988908	3612657	1943.856	2915.785	1317935	0	0	76782.33	125378.7	0	1943.856	0	0	0	0	971.9282	0	0	0	0	0	1943.856	0	0	0	0	0	1943.856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10-D1AM	10	1	UC1	9609930.918	10430.96	314087.9021	98746.451	342367.4299	0	0	164577.3824	9503.766	0	15298.746	0	0	687052.834	0	13676.15	56790.8051	0	0	0	0	0	0	14371.55	3476.988	231.7992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10-D1PM	10	1.5	UC1	72543892.21	2116556.4	4642225.624	2785335.418	3915535.795	0	1868.099	1724255.365	177469.39	0	102745.44	48570.58	0	1115255.06	0	179337.5	218567.59	0	1868.099	0	0	0	0	85932.56	54174.867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10-D21AM	10	21	UC1	99896972.11	35898891.18	20607808.64	9837324	7344550.37	0	0	2306795.513	0	0	203924.639	221869.967	0	0	0	0	0	0	0	0	0	6525.589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10-D21PM	10	21.5	UC2	119581200	66666940	17770270	16837380	3591759	0	0	2970921	0	9751.382	825617	503821.4	0	9751.382	0	6500.921	0	0	0	0	0	0	0	0	9751.382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
