Row.names...1	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae	Lachnospiraceae-bacterium-28-4	Clostridia-UCG-014	Oscillospiraceae	Rikenellaceae-RC9-gut-group	Mucispirillum-schaedleri
sample131	1	BC1	Beijing	1	0	Control	21789059.61	21752663.14	1682227.255	3771029.751	2213083.138	382606.8321	2719970.611	9717858.447	103863.1075	3380433.449	101199.9509	170442.0226	624954.083	6779508.994	2008020.079
sample146	2	BC1	Beijing	1	1	Control	13576741.42	276996.7359	1096282.856	163857.2241	54619.07468	8456853.397	1336866.876	19089366.6	98834.51609	4486566.849	101435.4244	628119.3589	1920770.793	7563441.39	115740.4202
sample161	3	BC1	Beijing	1	3	Control	17146599.76	19843727.08	1331625.956	85495.06442	3239940.319	481514.6553	1434865.279	3028622.329	28229.5024	2675350.271	8540634.313	334721.2428	1460675.11	3329468.169	602498.237
sample176	4	BC1	Beijing	1	5	Control	24832684.02	3560427.557	3068244.166	50798.74447	372524.1261	764238.8891	9454210.777	1358019.769	57571.9104	8592889.843	15317514.75	181746.6191	6612867.669	5700747.991	11311187.1
sample191	5	BC1	Beijing	1	8	Control	16017628.32	15468703.82	1317190.318	5712.013521	772835.4294	375850.4897	1912382.127	1033303.246	23990.45679	1431430.588	2482441.076	758555.3956	1173247.577	3247850.888	376421.6911
sample206	6	BC1	Beijing	1	13	Control	17461852.46	6765936.201	4806828.019	0	567372.2079	1266859.794	1503038.656	3372561.752	44340.0928	2187142.945	2613350.776	1147413.014	1236998.099	10069725.56	270565.0561
sample221	7	BC1	Beijing	1	19	Control	17404018.41	965661.9202	7071850.314	0	132623.0963	1668840.629	9768519.939	2137165.938	91178.37873	10069684.89	844090.7486	342609.6655	7816473.74	10352890.46	11984430.84
sample236	8	BC1	Beijing	1	25	Control	25854649.48	1019943.651	7115490.057	12767.02761	123414.6003	1398698.803	4681243.459	2147697.756	104973.3382	4743660.038	190086.8556	258177.6695	4566340.21	17754679.74	3892524.864
sample251	9	BC1	Beijing	1	31	Control	10525148.85	331359.717	1314244.283	5373.400816	34927.1053	230608.4517	1346036.904	60002.97578	17463.55265	1540374.901	633165.7295	544504.616	1935319.861	5560574.278	269117.8242
sample132	10	BC2	Beijing	2	0	Control	25398220.91	17329629.76	4455748.382	2610640.727	3591906.663	2645230.806	3721164.328	284913.0222	59167.24102	4563159.681	7898371.544	71910.95447	3932345.865	3418046.001	13452810.08
sample147	11	BC2	Beijing	2	1	Control	9753106.92	359189.1143	408577.6175	101021.9384	56123.29911	1667984.45	4148634.27	5128547.073	76327.68679	6876226.607	225615.6624	158267.7035	2415546.794	4332718.692	2505344.072
sample162	12	BC2	Beijing	2	3	Control	12930458.11	14364035.23	1188403.226	805853.0723	2270980.722	1582127.525	280668.2397	799937.3483	14460.65872	332595.1506	779560.9655	149207.7059	259634.5543	3665119.683	170241.3913
