sampleID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180
Muribaculaceae	21789059.61	13576741.42	17146599.76	24832684.02	16017628.32	17461852.46	17404018.41	25854649.48	10525148.85	25398220.91	9753106.92	12930458.11	27036702.64	22878996.13	15462209.4	16270002.29	16146903.26	15466514.05	13798945.04	13763500.21	16931940.2	17132357.58	18635862.68	17687189.66	17418634.17	17126545.57	11359374.92	38677464.08	32739454.86	18908986.9	18493998.83	22773246	13844775.26	16242038.03	16068665.16	8735008.249	19941924.42	30309912.07	9686753.02	19546982.4	24844761.94	12658855.16	18184758.7	12498447.33	13019424.51	32452915.72	19787252.74	10670881.5	20729019.15	14880928.21	28765896.5	11473630.88	16518469.13	49449491.43	40685475.58	27413911.94	13434800.97	21550958.42	25201224.54	39369760.16	14241352.89	16574122.55	86600323.79	11684888.5	27714791.66	33259391.97	4385109.08	6989518.556	26913034.52	33596395.36	45594852.62	93357082.82	10603456.04	20373494.47	66681386.15	8313124.19	18313194.36	14334489.59	41229123.5	361247.4423	158254147.4	10585943.16	11843389.61	35830570.82	10356584.25	12936798.31	16688922.18	31413086.31	367356.1831	66208790.08	3443888.985	3082491.809	20054459.66	19473479.61	7645372.282	5851124.94	7443791.812	10097214.78	18357162.64	9778994.636	4409621.472	13664383.09	9578150.149	10826521.43	6060422.787	17313270.14	13168629.89	13232727.55	15343758.64	7092375.682	9965730.985	5861275.507	6376357.287	5113618.002	14804315.58	22790922.36	25018888.22	11608581.36	5563331.862	15732454.82	13337688.8	14934987.72	13410318.83	18784428.58	25767862.72	23815527.85	20665590.45	16332025.18	11398317.1	16542735.22	27460365.42	9454938.986	41903526.6	20258048.22	51245479.62	14665.05222	28906.48049	55507.55377	30397.59866	8527.478495	32589.20688	58240.6978	11173964.19	9741835.107	37553.17956	61290.12151	56283.89542	43413.79766	86666.20507	42143.97269	116180.3237	12602835.75	8370087.934	26858.49026	18898.34485	103346.5742	8882.819959	96720.89194	33752.2489	121966.2332	7382057.154	15573227.94	71761.07899	22510.26915	61095.52744	14476.34291	61770.45335	34033.24318	73673.56177	15931163.18	21830925.66	11695.46251	8820.181082	48471.69594	19566.48957	43967.50822	50945.18087	106517.926	8564759.553	10254173.88
Faecalibaculum	21752663.14	276996.7359	19843727.08	3560427.557	15468703.82	6765936.201	965661.9202	1019943.651	331359.717	17329629.76	359189.1143	14364035.23	5771319.11	12267864.85	5799517.926	1906657.593	886715.5019	1418734.067	12501661.91	2891524.227	23755518.72	9721169.189	19180791.54	9283073.089	1923761.726	4347442.823	2661049.792	24842955.39	10693670.53	17056535.32	11255488.99	20400187.24	5553918.494	1672384.149	3718515.061	2285554.57	19352536.4	14330850	14862019.01	956818.5817	21677514.89	7269026.593	1165044.771	2795718.774	1920610.106	1256859.211	1725230.344	2167102.616	463417.453	302774.7278	222247.4884	95345.86226	1428098.509	4129345.916	329917.9012	1248915.597	832564.2393	271639.323	2430568.221	380007.8768	192625.9203	3414371.206	7442123.038	159088.1324	1718930.218	19743079.95	85601.06457	109366.5777	423708.5477	119737.1257	7040006.003	9972875.96	2003232.991	369405.1027	25443116.4	327853.8311	4214657.685	87010.43233	339450.7595	392389.4632	11464151.62	359770.3159	505576.1234	3988993.216	77146.53714	181684.6675	206338.3086	307648.2744	1073204.849	10425069.68	247355.0472	247286.251	3330896.799	4161702.937	2781851.508	2062396.667	3042460.809	2117489.476	2365984.898	688696.7388	107968.086	7941581.404	5961606.885	7412292.359	2068900.454	1148458.339	2233512.821	7196043.173	725323.0857	350625.5487	8204625.463	1052463.802	5305492.952	1065498.133	4019871.373	1340047.972	1656944.689	866013.1849	129507.0696	9694543.829	1228057.474	2751181.948	3762105.69	1916413.287	1439769.815	886386.7167	370339.125	944653.281	10422977.54	13486005.48	4705005.797	4050685.146	3377592.983	3009586.747	786384.3154	76145.46344	60125.47942	23583141.14	1777090.383	3009929.195	1268519.505	1427265.708	4897814.492	663591.6935	107845.0285	60644.96234	19092380.21	789627.769	2209988.229	1090863.461	2198899.154	3853517.046	1961407.092	6202479.99	11137717.56	24926105.83	2863706.538	4734582.485	1706022.763	2770732.911	5155522.921	3729116.916	175884.9975	81747.81955	13471563.8	1437461.726	1698093.52	1693900.191	2720827.337	5585691.608	1541993.788	168934.4585	53901.10661	6014183.378	3943537.034	2649757.818	978003.9652	1134906.455	4712928.475	2598437.277
Bacteroides-acidifaciens	1682227.255	1096282.856	1331625.956	3068244.166	1317190.318	4806828.019	7071850.314	7115490.057	1314244.283	4455748.382	408577.6175	1188403.226	2944838.65	828366.7877	1618536.504	3486276.383	2405138.289	710563.2681	1339239.869	542887.8746	6233641.394	3352127.307	1043199.834	3164911.874	2195795.691	2255135.778	1594841.936	10245743.47	1237597.588	1011109.017	3186760.877	1130593.702	976635.8742	2212994.447	1639017.611	1379924.168	4775776.462	3003183.948	1069465.521	2902922.643	1342537.321	1143329.123	1838434.158	3987604.73	1467597.273	1302268.318	984683.3567	439454.8284	1179608.062	596556.1469	1381470.183	1841626.057	408584.0421	2862310.761	1075532.358	1128745.024	825121.1362	648312.5175	841146.4259	443735.9059	1503963.916	292468.732	4347144.886	661968.4153	1227346.295	1612103.043	645898.9417	654542.3968	1039388.606	8322651.289	793575.9065	1172287.322	760520.8295	1058693.609	2122492.336	513325.427	846508.3329	318143.8715	9776889.063	2532884.365	907648.5199	627466.7122	1419147.568	1301810.355	676724.01	1454539.823	779888.8614	4248476.17	1747565.843	737158.7259	19861196.83	15613951.55	20130014.68	29290100.07	25412496.69	7728620.1	10904868.1	5382703.301	12306890.81	13966071.19	6740963.976	20620322.63	13874135.19	15453329.26	15538115.87	41950755.14	9008726.296	7067077.036	19683998.39	3701047.458	24842681.44	14244215.06	8760545.805	14683775.35	24676048.06	10470090.88	7212429.576	30665877.29	2634830.45	18523448.38	15655681.47	7399888.805	14744664.57	23854773.07	8976890.802	6477505.174	30631382.95	13231308.63	21152619.99	9625648.247	20037878.39	5416130.505	16421120.26	7367793.107	10385696.3	16357.17363	8671.944147	11774.32959	4676.55364	1624.281618	0	0	11476.5629	15452.32922	0	9032.228433	0	5662.66926	0	0	11724.61982	0	6929.078533	5493.782099	0	35899.33628	1719.255476	5689.464232	0	0	7039.629464	18154.34925	0	16586.51411	0	0	3563.680001	4478.058313	6270.090363	7024.764868	22727.7996	23390.92502	25480.52312	29083.01756	8226.819477	7544.720346	0	10862.02535	0	16649.83668
Akkermansia-muciniphila	3771029.751	163857.2241	85495.06442	50798.74447	5712.013521	0	0	12767.02761	5373.400816	2610640.727	101021.9384	805853.0723	28232.22895	12363.6834	8563.685206	12825.05107	24028.12986	20734.73061	3729327.298	1525256.41	1697827.467	48124.59995	7923.036712	6684.079987	23428.76256	13498.75513	16091.45451	22628796	468839.1978	22469.08926	124887.5338	22770.27596	6204.80225	16507.18469	47194.26835	10592.16845	4727623.846	654734.5476	13417.64861	15278.54023	22084.23284	10080.39598	14603.62526	13799.70875	24058.97169	3246751.15	3112738.71	2216295.321	145830.667	35973.23499	103547.1253	34200.14625	1361946.807	56732.9174	616946.4753	525746.2564	971856.596	133103.2682	37148.4226	33044.1632	55565.1693	580912.6649	649709.1541	82240.47522	718551.5555	189752.9794	50582.44725	43083.80333	45250.42743	77368.60428	5282558.931	5785533.115	4050829.696	124473.4585	7320068.239	58076.96437	33383.42721	11499.17608	367738.3228	41522.69451	2308636.341	184147.8394	1194020.206	87960.15913	48724.12872	44624.30429	52458.89202	102549.4248	53791.4411	1112996.763	30686867.15	35233711.39	21291403.19	23880360.79	23854247.97	1485346.229	2782945.292	267783.576	12920133.22	1107903.449	2933488.628	8896829.03	1494112.265	33135463.91	953707.3498	472193.6363	152157.3591	4245859.255	31710323.11	18621463.17	17361449.71	3953276.3	5200258.643	2846911.375	818157.421	270506.5782	17824037.23	8179569.619	677632.0612	3941585.265	273509.4597	17186579.78	10391181.46	629195.8562	221286.2075	7200544.666	20131768.29	23328446.08	37590947.56	5790535.854	8780282.12	3287609.403	1603020.816	485435.4045	31711286.48	12972.93081	4046.907269	8410.235419	8963.394476	1082.854412	1844.672087	11426.97235	8416.146125	12018.47828	7703.21632	11612.86513	22072.11585	13842.08041	0	7097.932242	14389.30615	6524.473305	10513.08467	13429.24513	7910.935054	9790.728078	2005.798055	3792.976154	4602.579396	23493.49573	12067.93622	21892.00939	59097.35917	36727.28125	8485.489923	0	10691.04	8359.042185	5486.329068	15053.06757	21853.65346	0	9800.201202	12464.15038	0	6764.232034	11480.60414	14365.90449	23578.78965	12398.81455
Parasutterella	2213083.138	54619.07468	3239940.319	372524.1261	772835.4294	567372.2079	132623.0963	123414.6003	34927.1053	3591906.663	56123.29911	2270980.722	856739.5631	707820.8746	485275.495	123262.9909	61232.97609	72571.55713	4753168.22	45240.65622	7528524.428	584133.0752	420801.2831	701828.3987	152937.7556	122332.4683	59597.97966	4982221.136	2554484.159	2075894.191	1253842.456	1335526.186	472805.9315	163008.4488	117002.457	52960.84225	3164589.928	2800949.339	1355182.509	240637.0086	494134.7098	237154.579	120074.2522	69509.6441	49878.35594	147579.5977	103757.957	38042.35828	55091.58532	164877.327	78291.72885	27981.93784	93390.63819	2909588.192	62684.40124	30042.64323	45721.91863	46178.6849	42455.34011	40125.05532	114834.6832	36223.19158	5941885.536	86285.08875	140913.5535	2419749.128	77819.14961	84510.53731	37023.07699	71842.27541	180512.9744	12066547.38	36969.76255	69598.06282	8204191.975	28726.24044	45306.07979	15332.23477	38895.39953	1885130.331	14927106.13	59677.54056	47637.87181	1495322.705	96094.80942	47811.75459	62950.67042	76912.0686	1985035.375	12807527.97	5283503.807	3060739.778	9273838.397	5887441.404	3018677.855	2191652.46	6311834.683	1200943.167	4740668.269	7425947.445	2288667.372	14187598.27	5326691.629	12417182.45	1251333.561	2451831.941	1321130.132	3167354.874	10099371.9	3743252.385	14414718.03	2372129.206	2494474.075	2231490.648	2471544.569	1756211.938	2674549.621	11966500.11	2728768.677	12376177.26	2029440.191	3100665.702	4480289.187	1376676.557	885144.8302	1459345.764	4934518.612	5718101.64	11416462.95	11514804	5306369.078	4453007.182	4111607.778	3169143.332	1698183.371	8379949.261	5078868.622	5567575.847	4117705.48	1289138.178	4326985.827	1042434.768	4104401.444	406911.336	1963357.26	877416.4764	4330549.13	819199.4863	1087358.55	2158658.643	1668093.639	1755083.319	2426850.023	2163939.727	1258278.17	3913027.655	3187499.653	2596292.178	1915440.125	1859485.194	857829.1333	2768538.26	2752248.441	2380164.775	3202423.897	1367036.274	3937866.401	3304508.498	3189516.592	3772298.734	1468565.513	6059549.077	6385811.103	3812183.476	3535308.911	4326767.037	3252598.66	1703235.652	1860838.079	866854.2628
Bacteroides	382606.8321	8456853.397	481514.6553	764238.8891	375850.4897	1266859.794	1668840.629	1398698.803	230608.4517	2645230.806	1667984.45	1582127.525	3905820.29	695457.1912	768828.6274	622014.977	472036.4866	232069.4849	780298.9226	7133805.19	1649838.192	1049614.12	471860.8531	760314.0986	594830.2495	889230.4939	277130.6054	4157167.636	2595852.323	2328047.304	1244617.809	410854.9793	438679.5191	381728.6459	521103.3797	156528.7115	1040096.507	4398602.752	486981.717	1316819.186	268691.4996	582010.2309	308298.7556	451301.5863	171933.6269	3061871.214	730374.6386	697880.5036	2142090.465	1402956.165	2535641.799	1353496.697	608984.7865	590292.4977	1332868.321	2178091.634	2929392.694	1505787.314	1975500.045	632559.6956	1029807.804	673483.0434	750118.7506	3013237.084	5340731.247	792497.7375	2836508.003	1531132.088	2688972.369	3868430.214	1277214.442	832830.022	476909.9369	1404007.075	586438.9764	1376361.607	2354723.884	788076.8673	7259295.93	31800155.59	1034575.622	1143251.17	2680782.818	303462.549	1578120.391	3843002.586	1587755.798	8670920.115	20634921.6	835554.092	194350.3942	222099.6884	481393.3805	811460.892	772259.8265	1215004.452	1439724.275	343810.4588	1299455.349	3134069.217	1232031.084	4009869.014	1438041.827	773919.7743	1004397.945	1930482.5	588978.1168	648839.9964	1489084.952	364910.2932	2378185.803	1124371.267	824195.1127	795365.7966	875940.6096	577873.3934	522800.2301	2840823.598	897429.2708	2952723.311	1557636.373	858240.4328	1261144.055	794198.2451	308673.1175	580421.6105	2352153.902	717513.9087	2126693.886	614291.1787	983361.3402	286895.6952	416222.9488	223266.4578	713508.1827	16933622.99	21198278.4	24022996.45	12017184	2775761.928	15359354.69	8965749.952	3861863.415	257538.8203	13371820.63	14514791.09	11441081.25	9279856.546	15349995.76	11653030.26	19628079.46	1000691.093	464726.1292	14427282.21	12801211.41	21997590.27	6983042.658	30368463.58	25497522.75	17735089.97	9839893.499	1315122.417	50507135.89	18310326.83	26023300.5	11816608.34	22770133.37	11039309.35	16166644.24	13719365.79	1641646.448	23149218.8	10112827.62	15536332.64	8308865.326	11031161.63	13977635.54	13775851.24	11195209.33	818321.7601
Lachnospiraceae-NK4A136-group	2719970.611	1336866.876	1434865.279	9454210.777	1912382.127	1503038.656	9768519.939	4681243.459	1346036.904	3721164.328	4148634.27	280668.2397	5235992.615	2801919.75	785955.9978	1609543.91	4941268.64	2789618.756	735448.6137	946176.01	1505870.366	1079484.561	2481671.166	1383604.557	2727498.442	1831612.336	942244.0584	4120917.482	8363263.926	1557856.855	1774680.239	1396906.93	980358.7555	985272.586	3870913.219	1154546.361	1094990.489	4648868.081	473564.0684	2298465.395	3861980.218	2089294.703	4978213.59	1320172.138	849692.4635	8103903.845	4184904.266	1237032.547	3449705.446	15846210.01	2326022.009	1370078.586	3105238.72	5944799.273	5446944.55	4042881.417	1591760.749	1803685.104	1941005.081	2829996.548	4941595.723	2920662.521	22763446.18	3374555.893	2442860.153	1906299.89	4163324.504	6956377.169	1501491.456	1464477.153	8283161.393	1857527.214	474797.379	1837656.543	4670673.878	1475029.998	1238763.603	1022276.753	657685.8465	7065086.472	1750636.064	3064867.976	1044191.416	3546993.417	5593800.667	1331291.745	16293731.86	1684740.55	2790595.005	2503436.198	327922.1197	519759.0645	7179885.128	7107005.434	2019888.48	1216757.073	6619601.828	317905.0024	2122910.877	5796530.885	1166738.131	5783590.175	865793.5311	369726.8557	4835882.826	5556095.468	1937058.63	1307035.049	1686292.612	1502495.407	1246871.954	2004420.58	3195755.514	1557662.929	6554452.148	3866757.768	733092.228	5186067.396	1840459.622	3347035.866	4112214.727	3586505.413	1182754.845	5049470.695	1254424.998	3232119.197	5508377.436	2292522.967	1133208.474	1262242.148	2630491.585	309535.5884	3942868.745	216500.8076	13643089.95	772171.4033	554426.2958	1264058.383	690181.3746	244048.3131	291458.1898	642490.7358	699687.7846	1952144.257	5132267.873	1930961.407	3335096.705	2489686.918	3342695.375	1173376.924	811663.4542	233249.9206	348365.3966	3534943.571	2391299.868	3695455.92	457895.0418	1197632.221	979582.3147	1044710.768	388688.1125	1052418.305	9402108.427	3932188.595	3801499.485	338433.4222	1397556.507	186287.2258	556078.6391	1720063.855	2167008.277	12074915.3	1890458.812	1112079.195	427127.5734	754992.3601	1007423.013	836025.5638	3654712.396	277733.4459
Alloprevotella	9717858.447	19089366.6	3028622.329	1358019.769	1033303.246	3372561.752	2137165.938	2147697.756	60002.97578	284913.0222	5128547.073	799937.3483	629795.8766	310637.5454	460535.96	41325.16457	446458.1548	496836.0449	1040237.81	3199160.69	8429564.444	1006467.926	83632.05418	798190.5518	680084.9132	3081090.857	99528.62603	3694615.674	1010072.684	132317.9701	106438.2391	1169204.17	617377.8239	132057.4775	863261.8253	390144.8713	1814390.574	3662974.361	1346500.501	140371.5883	52450.05299	19630.2448	35697.75065	43954.62789	348561.6874	29485106.22	12228180.4	10310135	12332413.41	4157906.411	9650086.966	6485591.37	2282233.721	74293.10612	21744888.87	8594341.866	4821004.165	7201158.452	4049178.063	1045611.736	17767888.97	14003617.54	100409.5965	6914940.941	12087371	3894719.766	2202281.934	3108662.118	773370.9415	24715584.85	20833921.97	21202376.46	6663007.49	7410855.266	1574752.378	6207990.353	10144985.08	789610.0908	143771540.4	110035.1405	12199370.87	5665103.672	2083004.362	2539849.595	7354636.541	22146404.73	7620528.381	22939940.08	86591.10031	8442645.014	1613461.636	820852.972	10057451.84	11387343.01	10320823.55	1110723.508	5828014.297	2227024.503	1551227.843	8229426.973	2087240.745	5132284.975	5076023.788	6124514.921	5325409.15	8398194.704	2152100.212	1893730.741	8468230.588	6085950.496	2427875.789	4236820.508	2077746.209	5053922.621	3084834.321	6007029.596	3712988.434	6518876.705	2374904.29	1785188.481	969591.0347	5275485.918	4377691.545	2692719.707	1886570.629	1200643.56	11243629.29	5078942.011	3009489.599	1755568.454	3067330.95	1186553.089	2770132.463	1984026.932	3148926.849	0	5781.296098	10092.2825	3507.41523	2301.065626	4304.234871	2580.28408	8416.146125	8584.627342	7703.21632	4516.114217	0	8808.596626	9069.719136	3548.966121	8526.996236	4077.795815	5973.343563	10377.14397	3515.971135	0	0	12327.1725	8438.062225	8497.647392	10559.4442	4271.611587	32362.83954	0	10182.58791	1565.010045	6533.413335	2686.834988	6661.971011	7024.764868	4370.730693	15593.95002	0	6001.257592	2890.504141	3642.278788	0	5255.818717	15090.42538	7085.036884
Parabacteroides-goldsteinii	103863.1075	98834.51609	28229.5024	57571.9104	23990.45679	44340.0928	91178.37873	104973.3382	17463.55265	59167.24102	76327.68679	14460.65872	31489.79383	35545.58977	27594.09678	48450.19294	34104.44238	35089.54411	46297.09306	68507.27942	64537.30139	35678.58272	38734.84615	33420.39994	38397.13864	40496.26538	98336.66643	184150.7812	93078.37015	41193.33031	24126.00085	36630.44394	25439.68923	45394.75789	34412.48734	102390.9617	72228.9241	70782.11325	12628.37516	25782.53663	23924.58558	19099.69764	48678.75088	22488.41427	110905.9914	312998.4875	140378.4124	17709.37368	42128.85937	68948.7004	95970.50633	33163.77818	356051.8081	537611.9315	273831.858	257508.3705	18076.10737	34407.64757	38475.15198	37764.75794	72234.7201	296493.5311	850528.3472	318176.2648	329156.8503	24715.72421	35018.61732	56340.35821	53477.77787	99473.91979	967277.0706	364758.4653	81861.61707	338621.3441	50606.40913	20607.9551	53651.93659	19931.9052	300555.36	9838802.465	323304.8818	158571.7506	162890.7875	26388.04774	40603.4406	101998.4098	115409.5624	128186.781	9851705.64	285507.8654	5434743.75	4067629.86	12663020.49	16543995.07	10235016.9	3910097.272	5087286.59	2850726.523	1110021.918	30442392.08	11001222.48	33485771.34	14019258.68	13434453.52	6438429.8	9071480.268	2927485.13	1419963.947	16099164.25	5412619.581	11427541.02	8865046.42	5616144.634	3603196.022	3967341.202	3581388.191	1138701.871	15271616.9	10577626.71	16274634.59	7825105.642	10067423.82	6324741.188	4244338.556	1463730.742	682409.9792	17963115.76	8468424.893	10933783.28	5258290.415	5790485.43	1310144.637	2519836.231	1134937.827	1438879.922	17382599.2	19656406.73	23658833.26	11228795	2550122.14	7515194.084	9561426.963	2152620.647	265264.9849	20266199.24	20477352.18	21054591.31	14051599.18	17722231.19	5085224.831	12562930.14	1967944.261	297233.5757	26076541.94	14392627.84	24607363.24	7469591.958	25882321.03	13008423.56	11243387.22	4206178.605	962714.4615	32150370.47	15439675.14	19066895.86	7905648.241	9253689.069	6995622.697	8498715.607	5285633.794	1584826.949	30354923.2	16821065.34	15325365.35	7668285.139	11151096.67	11515763.49	12900582.23	6856712.03	573533.7358
Lachnospiraceae	3380433.449	4486566.849	2675350.271	8592889.843	1431430.588	2187142.945	10069684.89	4743660.038	1540374.901	4563159.681	6876226.607	332595.1506	4437889.22	4053742.694	1110424.515	2771636.037	5244333.117	4650162.084	750880.978	4798094.739	266423.2186	2695807.331	3187701.77	1449888.351	4484655.634	1979254.97	1840385.612	8172234.67	6855049.594	3506426.208	1556836.643	1485017.998	1277568.783	2611230.278	5790146.799	1882463.715	1251004.965	3875320.701	801901.8225	2018677.127	6071323.678	1777332.975	6177333.487	1971313.951	1690582.864	6598916.299	3463684.741	2226133.862	8067676.569	20249933.53	7089189.771	4376582.351	6823353.503	8917874.301	8878090.723	4871200.009	4705104.417	3387342.357	4132762.014	7043127.357	16728820.31	6329667.328	17931972.65	7984067.118	4715763.502	1992406.284	11311013.4	8900119.527	2812382.626	7595017.987	11787837.82	6881916.942	1246409.137	4711253.483	6403199.179	1459417.911	3347880.843	1776622.704	3733958.355	12274108.5	6875617.152	6238008.061	1846351.709	4349629.869	10118377.4	4208496.888	9222273.217	8322984.567	11756709.85	10205696.41	729344.0247	868936.4096	7056838.389	8505312.313	2198366.306	2394080.176	10563194.41	487698.374	1850358.695	12351626.29	2037310.84	7613757.786	1700253.582	1274199.898	7828076.273	6975655.516	3655145.415	1520864.914	5526828.213	2585538.768	1251494.278	1759281.495	2744510.794	2260264.68	9982045.837	3816818.092	451183.7602	10542333.92	5006086.654	5053669.892	7405268.622	6613836.82	2962074.634	8747114.589	3914792.621	4167427.164	13095324.92	2594495.078	1310130.534	2811644.385	7810158.336	488056.7131	13673486.33	691223.9325	5433508.869	2133765.098	1226791.032	2123584.443	809043.7797	278699.6543	234888.2458	751968.5032	1474355.78	4022756.372	8300215.585	2143218.775	8725107.396	5826257.483	3856646.126	1247017.971	1458116.356	703827.5577	551459.0777	1955176.007	1056109.83	6676188.69	606037.5553	1397711.713	869887.5058	1410609.467	754246.014	1076446.12	11670321.36	6217573.29	8142676.13	665911.7741	1784215.787	564832.4219	1650209.407	4539001.642	4531573.582	9854076.915	1291666.518	1499391.128	464704.1272	424065.316	1233447.407	1014723.4	6403056.118	407743.8727
