StateID	ParentID	PerturbationID	N_species	frequency	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae	Lachnospiraceae-bacterium-28-4	Clostridia-UCG-014	Oscillospiraceae	Rikenellaceae-RC9-gut-group	Mucispirillum-schaedleri
1	1	1	14	0.822222	1.94153e+07	0	3.60739e+06	8.11334e+06	4.70472e+06	2.95124e+06	3.17014e+06	1.64096e+06	1.42453e+06	4.9668e+06	3.84734e+06	506371	4.01672e+06	5.22816e+06	591540
2	1	1	13	0.835556	0	0	3.65073e+06	8.15244e+06	4.70492e+06	2.96305e+06	3.1543e+06	1.64612e+06	1.44757e+06	4.95944e+06	3.78959e+06	504571	4.01203e+06	1.1567e+07	592637
3	1	1	13	0.835556	1.94271e+07	0	0	8.09199e+06	4.70205e+06	2.96305e+06	3.17791e+06	1.64612e+06	1.41663e+06	4.96523e+06	3.82045e+06	506835	4.04147e+06	5.23672e+06	588417
4	1	1	13	0.822222	1.94153e+07	0	3.60739e+06	0	4.70472e+06	2.95124e+06	3.17014e+06	1.64096e+06	1.42453e+06	4.9668e+06	3.84734e+06	506371	4.01672e+06	5.22816e+06	591540
5	1	1	13	0.831111	1.94059e+07	0	3.53213e+06	8.11031e+06	0	2.95124e+06	3.17014e+06	1.64096e+06	1.43407e+06	4.96366e+06	3.79357e+06	506371	4.01672e+06	5.13283e+06	593735
6	1	1	13	0.844444	1.94271e+07	0	3.66022e+06	8.09199e+06	4.69526e+06	0	3.17129e+06	1.66555e+06	1.41663e+06	4.96523e+06	3.78959e+06	507929	4.01203e+06	5.24604e+06	592637
7	1	1	13	0.888889	1.94106e+07	0	3.56976e+06	8.15244e+06	4.70612e+06	2.96305e+06	0	1.64612e+06	1.4293e+06	4.96356e+06	4.17972e+06	508171	4.00487e+06	5.13155e+06	578492
8	1	1	13	0.826667	1.94271e+07	0	3.66022e+06	8.15244e+06	4.70205e+06	2.95172e+06	3.17088e+06	0	1.4293e+06	4.96754e+06	3.85078e+06	506835	4.01203e+06	5.1805e+06	588417
9	1	1	13	0.844444	2.10909e+07	0	3.65073e+06	8.11183e+06	4.70492e+06	2.96305e+06	3.5554e+06	1.66555e+06	0	5.47991e+06	3.77173e+06	505725	4.53927e+06	6.41178e+06	595656
10	1	1	13	0.871111	1.94106e+07	0	3.72094e+06	8.2484e+06	4.67585e+06	2.97859e+06	3.17791e+06	1.66555e+06	1.4293e+06	0	3.82985e+06	507929	4.08636e+06	5.23672e+06	599482
11	1	1	13	0.862222	1.94106e+07	0	3.56976e+06	8.15244e+06	4.70492e+06	2.95172e+06	3.17791e+06	1.64612e+06	1.41663e+06	4.96356e+06	0	506835	4.02612e+06	5.22848e+06	568246
12	1	1	13	0.826667	1.94271e+07	0	3.66022e+06	8.15244e+06	4.70205e+06	2.95172e+06	3.17088e+06	1.64612e+06	1.4293e+06	4.96754e+06	3.85078e+06	0	4.01203e+06	5.1805e+06	588417
13	1	1	13	0.853333	1.94271e+07	0	3.66022e+06	8.32305e+06	4.69526e+06	2.94232e+06	3.18825e+06	1.64612e+06	1.41663e+06	4.96993e+06	3.85078e+06	506835	0	5.23672e+06	596369
14	1	1	13	0.826667	1.94106e+07	0	3.72094e+06	8.15244e+06	4.70492e+06	2.95172e+06	3.16873e+06	1.62902e+06	1.4293e+06	4.96523e+06	3.82045e+06	505725	4.01203e+06	0	592637
15	1	1	13	0.844444	1.94106e+07	0	3.73388e+06	8.11183e+06	4.71047e+06	2.9551e+06	3.17088e+06	1.64612e+06	1.41663e+06	4.96754e+06	3.85643e+06	503157	4.01203e+06	5.1805e+06	0
