parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
growth_rate	NA	Muribaculaceae	0.58023	224990	0.057419
growth_rate	NA	Faecalibaculum	0.32318	224990	0.083925
growth_rate	NA	Bacteroides-acidifaciens	0.1636	224990	0.071203
growth_rate	NA	Akkermansia-muciniphila	0.26306	224990	0.077765
growth_rate	NA	Parasutterella	0.35031	224990	0.081421
growth_rate	NA	Bacteroides	0.098707	224990	0.04822
growth_rate	NA	Lachnospiraceae-NK4A136-group	0.42151	224990	0.053553
growth_rate	NA	Alloprevotella	0.069337	224990	0.023913
growth_rate	NA	Parabacteroides-goldsteinii	0.022873	224990	0.038378
growth_rate	NA	Lachnospiraceae	0.42527	224990	0.066163
growth_rate	NA	Lachnospiraceae-bacterium-28-4	0.083614	224990	0.093891
growth_rate	NA	Clostridia-UCG-014	0.17549	224990	0.049174
growth_rate	NA	Oscillospiraceae	0.3673	224990	0.064614
growth_rate	NA	Rikenellaceae-RC9-gut-group	0.48074	224990	0.12486
growth_rate	NA	Mucispirillum-schaedleri	0.068404	224990	0.080208
interaction	Muribaculaceae	Muribaculaceae	-2.4769e-08	224990	2.6022e-09
interaction	Muribaculaceae	Faecalibaculum	0	0	0
interaction	Muribaculaceae	Bacteroides-acidifaciens	0	0.001246	4.391e-10
interaction	Muribaculaceae	Akkermansia-muciniphila	0	0.00040016	1.9557e-10
interaction	Muribaculaceae	Parasutterella	0	8.8897e-05	8.3805e-11
interaction	Muribaculaceae	Bacteroides	0	0.00017781	9.1206e-11
interaction	Muribaculaceae	Lachnospiraceae-NK4A136-group	0	0.00026674	1.1955e-10
interaction	Muribaculaceae	Alloprevotella	0	0	0
interaction	Muribaculaceae	Parabacteroides-goldsteinii	0	0.035721	1.9793e-09
interaction	Muribaculaceae	Lachnospiraceae	0	0	0
interaction	Muribaculaceae	Lachnospiraceae-bacterium-28-4	0	0	0
interaction	Muribaculaceae	Clostridia-UCG-014	0	0.00013335	6.5869e-11
interaction	Muribaculaceae	Oscillospiraceae	0	0.00035568	1.7139e-10
interaction	Muribaculaceae	Rikenellaceae-RC9-gut-group	-1.2201e-08	1.8348	7.5865e-09
interaction	Muribaculaceae	Mucispirillum-schaedleri	0	4.4446e-05	3.1648e-11
interaction	Faecalibaculum	Muribaculaceae	0	0.001558	4.9149e-10
interaction	Faecalibaculum	Faecalibaculum	-7.3975e-08	224990	1.0464e-08
interaction	Faecalibaculum	Bacteroides-acidifaciens	-3.4702e-08	0.32509	1.1338e-08
interaction	Faecalibaculum	Akkermansia-muciniphila	-6.5292e-08	224990	9.471e-09
interaction	Faecalibaculum	Parasutterella	-5.526e-08	660.7647	9.4581e-09
interaction	Faecalibaculum	Bacteroides	0	0.00022227	1.6466e-10
interaction	Faecalibaculum	Lachnospiraceae-NK4A136-group	0	0.00013335	5.5984e-11
interaction	Faecalibaculum	Alloprevotella	0	4.4446e-05	1.3567e-11
interaction	Faecalibaculum	Parabacteroides-goldsteinii	0	0.00013335	1.1694e-10
interaction	Faecalibaculum	Lachnospiraceae	0	0	0
interaction	Faecalibaculum	Lachnospiraceae-bacterium-28-4	0	0.00022227	2.174e-10
interaction	Faecalibaculum	Clostridia-UCG-014	0	0.0020486	7.7198e-10
interaction	Faecalibaculum	Oscillospiraceae	0	0.00013335	5.0613e-11
interaction	Faecalibaculum	Rikenellaceae-RC9-gut-group	0	0	0
interaction	Faecalibaculum	Mucispirillum-schaedleri	0	4.4446e-05	4.3866e-11
interaction	Bacteroides-acidifaciens	Muribaculaceae	0	0	0
interaction	Bacteroides-acidifaciens	Faecalibaculum	0	0.00022227	3.2497e-10
interaction	Bacteroides-acidifaciens	Bacteroides-acidifaciens	-2.1089e-08	224990	4.9308e-09
interaction	Bacteroides-acidifaciens	Akkermansia-muciniphila	0	8.8897e-05	1.6442e-10
interaction	Bacteroides-acidifaciens	Parasutterella	0	0.00013335	1.8164e-10
interaction	Bacteroides-acidifaciens	Bacteroides	0	0.030078	3.3017e-09
interaction	Bacteroides-acidifaciens	Lachnospiraceae-NK4A136-group	0	0	0
interaction	Bacteroides-acidifaciens	Alloprevotella	0	8.8897e-05	4.2849e-11
interaction	Bacteroides-acidifaciens	Parabacteroides-goldsteinii	0	0.00013335	5.8705e-11
interaction	Bacteroides-acidifaciens	Lachnospiraceae	0	4.4446e-05	4.6307e-12
interaction	Bacteroides-acidifaciens	Lachnospiraceae-bacterium-28-4	0	4.4446e-05	9.4624e-11
interaction	Bacteroides-acidifaciens	Clostridia-UCG-014	0	8.8897e-05	8.0227e-11
interaction	Bacteroides-acidifaciens	Oscillospiraceae	0	0	0
interaction	Bacteroides-acidifaciens	Rikenellaceae-RC9-gut-group	0	0.00053362	2.2409e-10
interaction	Bacteroides-acidifaciens	Mucispirillum-schaedleri	0	0.00017781	2.3536e-10
interaction	Akkermansia-muciniphila	Muribaculaceae	0	0.00013335	7.112e-11
interaction	Akkermansia-muciniphila	Faecalibaculum	0	4.4446e-05	6.3138e-11
interaction	Akkermansia-muciniphila	Bacteroides-acidifaciens	0	0	0
interaction	Akkermansia-muciniphila	Akkermansia-muciniphila	-9.8715e-09	224990	7.8119e-09
interaction	Akkermansia-muciniphila	Parasutterella	0	0.00022227	3.3869e-10
interaction	Akkermansia-muciniphila	Bacteroides	0	0.00013335	1.4838e-10
interaction	Akkermansia-muciniphila	Lachnospiraceae-NK4A136-group	0	0.00062261	3.0855e-10
interaction	Akkermansia-muciniphila	Alloprevotella	0	8.8897e-05	2.4131e-11
interaction	Akkermansia-muciniphila	Parabacteroides-goldsteinii	0	8.8897e-05	6.3929e-11
interaction	Akkermansia-muciniphila	Lachnospiraceae	0	4.4446e-05	7.1032e-11
interaction	Akkermansia-muciniphila	Lachnospiraceae-bacterium-28-4	0	4.4446e-05	8.6341e-11
interaction	Akkermansia-muciniphila	Clostridia-UCG-014	0	0.00017781	7.7054e-11
interaction	Akkermansia-muciniphila	Oscillospiraceae	0	0.00071162	3.0183e-10
interaction	Akkermansia-muciniphila	Rikenellaceae-RC9-gut-group	0	0	0
interaction	Akkermansia-muciniphila	Mucispirillum-schaedleri	0	0.00057811	6.6094e-10
interaction	Parasutterella	Muribaculaceae	0	4.4446e-05	1.6711e-10
interaction	Parasutterella	Faecalibaculum	0	0.00071162	9.8027e-10
interaction	Parasutterella	Bacteroides-acidifaciens	0	0.0068916	3.661e-09
interaction	Parasutterella	Akkermansia-muciniphila	0	0.00035568	7.1476e-10
interaction	Parasutterella	Parasutterella	-7.8611e-08	224990	1.9264e-08
interaction	Parasutterella	Bacteroides	0	0.00093421	5.6814e-10
interaction	Parasutterella	Lachnospiraceae-NK4A136-group	0	0.00031121	4.076e-10
interaction	Parasutterella	Alloprevotella	0	0.00040016	5.7828e-10
interaction	Parasutterella	Parabacteroides-goldsteinii	0	0.00013335	1.609e-10
interaction	Parasutterella	Lachnospiraceae	0	0.00035568	5.5483e-10
interaction	Parasutterella	Lachnospiraceae-bacterium-28-4	0	0.00097873	1.1461e-09
interaction	Parasutterella	Clostridia-UCG-014	0	0.00013335	1.2973e-10
interaction	Parasutterella	Oscillospiraceae	0	0.00062261	7.6582e-10
