StateID	ParentID	PerturbationID	N_species	frequency	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae	Lachnospiraceae-bacterium-28-4	Clostridia-UCG-014	Oscillospiraceae	Rikenellaceae-RC9-gut-group	Mucispirillum-schaedleri
1	1	1	15	0.977778	1.90314e+08	3.36242e+07	6.40637e+07	5.50069e+07	2.40652e+07	9.71563e+06	6.77138e+06	1.31967e+07	1.50822e+06	7.83067e+06	815659	1.32289e+07	1.98731e+06	503670	4.05616e+06
2	1	1	14	1	0	3.36285e+07	7.14899e+07	5.47713e+07	2.40549e+07	9.71848e+06	6.78471e+06	1.31754e+07	1.4723e+06	7.81423e+06	817589	1.31771e+07	2.03881e+06	533656	4.10474e+06
3	1	1	14	0.977778	1.90314e+08	0	6.40637e+07	5.50069e+07	2.40652e+07	9.71563e+06	6.77138e+06	1.31967e+07	1.50822e+06	7.83067e+06	815659	1.32289e+07	1.98731e+06	503670	4.05616e+06
4	1	1	14	1	1.90616e+08	3.36285e+07	0	5.47713e+07	2.40549e+07	9.71848e+06	6.78471e+06	1.31754e+07	1.4723e+06	7.81423e+06	817589	1.31771e+07	2.03881e+06	533656	4.10474e+06
5	1	1	14	0.977778	1.90314e+08	3.36242e+07	6.40637e+07	0	2.40652e+07	9.71563e+06	6.77138e+06	1.31967e+07	1.50822e+06	7.83067e+06	815659	1.32289e+07	1.98731e+06	503670	4.05616e+06
6	1	1	14	0.977778	1.90314e+08	3.36242e+07	6.40637e+07	5.50069e+07	0	9.71563e+06	6.77138e+06	1.31967e+07	1.50822e+06	7.83067e+06	815659	1.32289e+07	1.98731e+06	503670	4.05616e+06
7	1	1	14	0.977778	1.90314e+08	3.36242e+07	6.40637e+07	5.50069e+07	2.40652e+07	0	6.77138e+06	1.31967e+07	1.50822e+06	7.83067e+06	815659	1.32289e+07	1.98731e+06	503670	4.05616e+06
8	1	1	14	0.977778	1.90314e+08	3.36242e+07	6.40637e+07	5.50069e+07	2.40652e+07	9.71563e+06	0	1.31967e+07	1.50822e+06	7.83067e+06	815659	1.32289e+07	1.98731e+06	503670	4.05616e+06
9	1	1	14	0.977778	1.90314e+08	3.40153e+07	6.40637e+07	5.50069e+07	2.40652e+07	9.71563e+06	6.77138e+06	0	1.50822e+06	7.83067e+06	815659	1.32289e+07	1.98731e+06	503670	4.05616e+06
10	1	1	14	0.977778	1.90314e+08	3.36242e+07	6.40637e+07	5.50069e+07	2.40652e+07	9.71563e+06	6.77138e+06	1.31967e+07	0	7.83067e+06	815659	1.32289e+07	1.98731e+06	503670	4.05616e+06
11	1	1	14	0.977778	1.90314e+08	3.36242e+07	6.40637e+07	5.50069e+07	2.40652e+07	9.71563e+06	6.77138e+06	1.31967e+07	1.50822e+06	0	815659	1.32289e+07	1.98731e+06	503670	4.05616e+06
12	1	1	14	0.977778	1.90314e+08	3.36242e+07	6.40637e+07	5.50069e+07	2.40652e+07	9.71563e+06	6.77138e+06	1.31967e+07	1.50822e+06	7.83067e+06	0	1.32289e+07	1.98731e+06	503670	4.05616e+06
13	1	1	14	0.977778	1.90314e+08	3.36242e+07	6.40637e+07	5.50069e+07	2.40652e+07	9.71563e+06	6.77138e+06	1.31967e+07	1.50822e+06	7.83067e+06	815659	0	1.98731e+06	503670	4.05616e+06
14	1	1	14	0.977778	1.90314e+08	3.36242e+07	6.40637e+07	5.50069e+07	2.40652e+07	9.71563e+06	6.77138e+06	1.31967e+07	1.50822e+06	7.83067e+06	815659	1.32289e+07	0	503670	4.05616e+06
15	1	1	14	0.977778	1.90314e+08	3.36242e+07	6.40637e+07	5.50069e+07	2.40652e+07	9.71563e+06	6.77138e+06	1.31967e+07	1.50822e+06	7.83067e+06	815659	1.32289e+07	1.98731e+06	0	4.05616e+06
16	1	1	14	0.977778	1.90314e+08	3.36242e+07	6.40637e+07	5.50069e+07	2.40652e+07	9.71563e+06	6.77138e+06	1.31967e+07	1.50822e+06	7.83067e+06	815659	1.32289e+07	1.98731e+06	503670	0
