parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
growth_rate	NA	Muribaculaceae	0.77953	1.8073	0.10089
growth_rate	NA	Faecalibaculum	0.52611	1.8073	0.14995
growth_rate	NA	Bacteroides-acidifaciens	0.53347	1.8073	0.45744
growth_rate	NA	Akkermansia-muciniphila	0.32064	1.8073	0.11312
growth_rate	NA	Parasutterella	0.94313	1.8073	0.16132
growth_rate	NA	Bacteroides	0.19442	1.8073	0.10065
growth_rate	NA	Lachnospiraceae-NK4A136-group	0.29169	1.8073	0.07555
growth_rate	NA	Alloprevotella	0.3067	1.8073	0.10133
growth_rate	NA	Parabacteroides-goldsteinii	0.060599	1.8073	0.041394
growth_rate	NA	Lachnospiraceae	0.34317	1.8073	0.077909
growth_rate	NA	Lachnospiraceae-bacterium-28-4	0.35105	1.8073	0.087368
growth_rate	NA	Clostridia-UCG-014	0.27976	1.8073	0.096655
growth_rate	NA	Oscillospiraceae	0.068308	1.8073	0.03354
growth_rate	NA	Rikenellaceae-RC9-gut-group	0.0028215	1.8073	0.050347
growth_rate	NA	Mucispirillum-schaedleri	0.052284	1.8073	0.089907
interaction	Muribaculaceae	Muribaculaceae	-4.5925e-09	1.8073	6.1749e-10
interaction	Muribaculaceae	Faecalibaculum	0	0	0
interaction	Muribaculaceae	Bacteroides-acidifaciens	0	0.18073	2.9527e-09
interaction	Muribaculaceae	Akkermansia-muciniphila	0	4.4446e-05	2.4918e-11
interaction	Muribaculaceae	Parasutterella	0	0.00013335	2.5526e-11
interaction	Muribaculaceae	Bacteroides	0	0.00017781	3.8576e-11
interaction	Muribaculaceae	Lachnospiraceae-NK4A136-group	0	0	0
interaction	Muribaculaceae	Alloprevotella	0	0	0
interaction	Muribaculaceae	Parabacteroides-goldsteinii	0	0	0
interaction	Muribaculaceae	Lachnospiraceae	0	0	0
interaction	Muribaculaceae	Lachnospiraceae-bacterium-28-4	0	0	0
interaction	Muribaculaceae	Clostridia-UCG-014	0	0	0
interaction	Muribaculaceae	Oscillospiraceae	0	0	0
interaction	Muribaculaceae	Rikenellaceae-RC9-gut-group	0	0	0
interaction	Muribaculaceae	Mucispirillum-schaedleri	0	0	0
interaction	Faecalibaculum	Muribaculaceae	0	0	0
interaction	Faecalibaculum	Faecalibaculum	-1.5645e-08	1.8073	3.7872e-09
interaction	Faecalibaculum	Bacteroides-acidifaciens	0	0.00057811	5.1807e-10
interaction	Faecalibaculum	Akkermansia-muciniphila	0	0	0
interaction	Faecalibaculum	Parasutterella	0	0	0
interaction	Faecalibaculum	Bacteroides	0	4.4446e-05	2.5264e-11
interaction	Faecalibaculum	Lachnospiraceae-NK4A136-group	0	0	0
interaction	Faecalibaculum	Alloprevotella	0	0	0
interaction	Faecalibaculum	Parabacteroides-goldsteinii	0	0	0
interaction	Faecalibaculum	Lachnospiraceae	0	0	0
interaction	Faecalibaculum	Lachnospiraceae-bacterium-28-4	0	0	0
interaction	Faecalibaculum	Clostridia-UCG-014	0	0	0
interaction	Faecalibaculum	Oscillospiraceae	0	0	0
interaction	Faecalibaculum	Rikenellaceae-RC9-gut-group	0	0	0
interaction	Faecalibaculum	Mucispirillum-schaedleri	0	0	0
interaction	Bacteroides-acidifaciens	Muribaculaceae	0	4.4446e-05	1.8386e-11
interaction	Bacteroides-acidifaciens	Faecalibaculum	0	0	0
interaction	Bacteroides-acidifaciens	Bacteroides-acidifaciens	-5.5191e-09	1.8073	2.6806e-09
interaction	Bacteroides-acidifaciens	Akkermansia-muciniphila	0	0	0
interaction	Bacteroides-acidifaciens	Parasutterella	0	0	0
interaction	Bacteroides-acidifaciens	Bacteroides	0	0	0
interaction	Bacteroides-acidifaciens	Lachnospiraceae-NK4A136-group	0	0	0
interaction	Bacteroides-acidifaciens	Alloprevotella	0	0	0
interaction	Bacteroides-acidifaciens	Parabacteroides-goldsteinii	0	4.4446e-05	1.6493e-11
