Row.names...1	sampleID	Subject	Vendor	subjectID	Time	Group	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae	Lachnospiraceae-bacterium-28-4	Clostridia-UCG-014	Oscillospiraceae	Rikenellaceae-RC9-gut-group	Mucispirillum-schaedleri
sample136	1	BR1	Beijing	1	0	Resistant starch	50887515.17	44782260.91	3308637.152	3581541.238	6630269.737	1044832.785	8228707.953	1413903.072	168940.6244	5208569.406	24207891.94	426250.1909	4589986.811	4517212.389	392462.066
sample151	2	BR1	Beijing	1	1	Resistant starch	25795190.23	41825191.86	443306.1897	190522.0422	1434518.906	1217846.78	1241506.38	266481.8107	52300.16845	2809266.191	206710.1896	336215.3686	1880315.58	7710539.12	422137.0739
sample166	3	BR1	Beijing	1	3	Resistant starch	36003546.25	33338574.75	1062707.514	42836.40922	2258481.32	1343422.706	787460.7994	890450.4641	31899.45368	1191216.742	466643.4367	288006.4961	1089138.49	4146928.978	592418.4254
sample181	4	BR1	Beijing	1	5	Resistant starch	49205857.17	28046823.25	1611617.144	20613.70766	2578587.431	817052.4128	1227452.593	482548.1566	43101.38875	1462636.257	641835.8976	83391.81736	1721244.59	1310844.41	500350.9041
sample196	5	BR1	Beijing	1	8	Resistant starch	92442917.87	21320179.83	2342460.229	29491.40576	3768580.35	535058.3616	391814.3908	389707.8618	75835.04337	891061.7596	115859.094	155883.1447	1152271.353	332831.5792	164309.2606
sample211	6	BR1	Beijing	1	13	Resistant starch	60718256.87	3864558.816	8513880.922	44843.6166	4793462.303	2174915.405	33443728.63	257850.7954	270663.2573	3177490.547	147343.3117	765544.5976	2267805.754	5144203.447	10128251.12
sample226	7	BR1	Beijing	1	19	Resistant starch	90553004.85	13274066.28	6374083.118	130929.4718	3676935.999	1983581.498	4410141.041	290226.9958	242219.5228	2930638.01	141840.2611	2948095.273	2158154.127	7722656.678	189847.7341
sample241	8	BR1	Beijing	1	25	Resistant starch	137618086.7	23512127.69	3797077.566	224329.8313	5218620.287	991773.9912	22784826.76	108622.8657	250304.8644	2418039.445	167657.0318	1256247.056	1789915.917	8066428.462	325868.5971
sample256	9	BR1	Beijing	1	31	Resistant starch	68706990.01	14749313.72	5473327.883	143357.8156	8913915.458	424559.6847	5543168.87	69840.98709	494400.6718	5791288.166	126816.5292	1736835.074	4392630.504	7897545.303	1632073.593
sample137	10	BR2	Beijing	2	0	Resistant starch	20296404.34	11388335.44	805076.5814	1197268.111	1729387.271	893763.1081	1285954.637	6344042.878	53211.91603	1707708.342	202993.6056	681900.8498	1389422.252	8744491.534	1076063.191
sample152	11	BR2	Beijing	2	1	Resistant starch	36375031.18	34152922.82	804027.1188	193810.8329	944108.2159	347324.364	4352108.605	255216.2453	88270.28034	2747892.206	8387595.552	495081.1376	3749567.996	5355703.314	1057324.445
sample167	12	BR2	Beijing	2	3	Resistant starch	14760865.93	27722903.02	389270.3699	35215.16794	1744578.455	130391.2975	2795322.925	1156389.974	19035.22591	1332465.814	5538298.979	188448.7365	1505686.37	1775986.578	6074140.589
sample182	13	BR2	Beijing	2	5	Resistant starch	26775593.05	26281394.01	1179044.157	40720.52033	818112.2721	310956.7007	7722091.401	2219268.358	42571.45307	4049840.84	14544629.49	638571.7961	2341429.919	8279222.157	7246401.686
sample197	14	BR2	Beijing	2	8	Resistant starch	62497360.48	22631484.81	952334.6644	63701.31534	1724713.113	404503.3524	5209175.062	2076662.88	47775.98651	3269470.01	6054810.023	641790.7521	2828338.401	6354206.206	431576.4115
sample212	15	BR2	Beijing	2	13	Resistant starch	78106903.49	1495994.923	15098622.92	33617.86345	1659882.008	953906.8754	1651477.542	275246.257	386605.4297	4179120.65	193302.7148	932895.7107	7009324.529	1729218.851	19803022.69
