StateID	ParentID	PerturbationID	N_species	frequency	Muribaculaceae	Faecalibaculum	Bacteroides-acidifaciens	Akkermansia-muciniphila	Parasutterella	Bacteroides	Lachnospiraceae-NK4A136-group	Alloprevotella	Parabacteroides-goldsteinii	Lachnospiraceae	Lachnospiraceae-bacterium-28-4	Clostridia-UCG-014	Oscillospiraceae	Rikenellaceae-RC9-gut-group	Mucispirillum-schaedleri
1	1	1	14	1	6.84273e+07	0	1.72647e+07	2.41571e+07	4.30929e+06	5.78918e+06	1.83342e+07	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
2	1	1	13	1	0	0	1.72647e+07	2.41571e+07	4.30929e+06	5.78918e+06	1.83342e+07	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
3	1	1	13	1	6.84273e+07	0	0	2.41571e+07	4.30929e+06	5.78918e+06	1.83331e+07	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
4	1	1	13	1	6.84273e+07	0	1.72647e+07	0	4.30929e+06	5.78918e+06	1.83342e+07	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
5	1	1	13	1	6.84273e+07	0	1.72647e+07	2.41571e+07	0	5.78918e+06	1.83342e+07	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
6	1	1	13	1	6.84273e+07	0	1.72647e+07	2.41571e+07	4.30929e+06	0	1.83342e+07	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
7	1	1	13	1	6.84273e+07	0	1.72647e+07	2.41571e+07	4.30929e+06	5.78918e+06	0	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
8	1	1	13	1	6.84273e+07	0	1.72647e+07	2.41571e+07	4.30929e+06	5.78918e+06	1.83342e+07	0	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
9	1	1	13	1	6.84273e+07	0	1.72647e+07	2.41571e+07	4.30929e+06	5.78918e+06	1.83342e+07	2.26821e+06	0	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
10	1	1	13	1	6.84273e+07	0	1.72647e+07	2.41571e+07	4.30929e+06	5.86963e+06	1.87188e+07	2.26821e+06	4.45778e+06	0	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
11	1	1	13	1	6.84273e+07	0	1.72647e+07	2.41571e+07	4.30929e+06	5.78918e+06	1.83342e+07	2.26821e+06	4.45778e+06	5.10264e+06	0	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
12	1	1	13	1	6.84273e+07	0	1.72647e+07	2.41571e+07	4.30929e+06	5.78918e+06	1.83342e+07	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	0	3.738e+06	2.96775e+06	1.07314e+06
13	1	1	13	1	6.84273e+07	0	1.72647e+07	2.41571e+07	4.30929e+06	5.78918e+06	1.83342e+07	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	0	2.96775e+06	1.07314e+06
14	1	1	13	1	6.84273e+07	0	1.72647e+07	2.41571e+07	4.30929e+06	5.78918e+06	1.83342e+07	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	0	1.07314e+06
15	1	1	13	1	6.84273e+07	0	1.72647e+07	2.41571e+07	4.30929e+06	5.78918e+06	1.83342e+07	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	0
16	16	1	14	1	6.84273e+07	1.93638e+07	1.72647e+07	0	4.30929e+06	5.78918e+06	1.83342e+07	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
17	16	1	13	1	0	1.93638e+07	1.72647e+07	0	4.30929e+06	5.78918e+06	1.83342e+07	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
18	16	1	13	1	6.84273e+07	0	1.72647e+07	0	4.30929e+06	5.78918e+06	1.83342e+07	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
19	16	1	13	1	6.84273e+07	1.93638e+07	0	0	4.30929e+06	5.78918e+06	1.83331e+07	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
20	16	1	13	1	6.84273e+07	1.93638e+07	1.72647e+07	0	0	5.78918e+06	1.83342e+07	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
21	16	1	13	1	6.84273e+07	1.93638e+07	1.72647e+07	0	4.30929e+06	0	1.83342e+07	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
22	16	1	13	1	6.84273e+07	1.93638e+07	1.72647e+07	0	4.30929e+06	5.78918e+06	0	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
23	16	1	13	1	6.84273e+07	1.93638e+07	1.72647e+07	0	4.30929e+06	5.78918e+06	1.83342e+07	0	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
24	16	1	13	1	6.84273e+07	1.93638e+07	1.72647e+07	0	4.30929e+06	5.78918e+06	1.83342e+07	2.26821e+06	0	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
25	16	1	13	1	6.84273e+07	1.93638e+07	1.72647e+07	0	4.30929e+06	5.86963e+06	1.87188e+07	2.26821e+06	4.45778e+06	0	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
26	16	1	13	1	6.84273e+07	1.93638e+07	1.72647e+07	0	4.30929e+06	5.78918e+06	1.83342e+07	2.26821e+06	4.45778e+06	5.10264e+06	0	2.87705e+06	3.738e+06	2.96775e+06	1.07314e+06
27	16	1	13	1	6.84273e+07	1.93638e+07	1.72647e+07	0	4.30929e+06	5.78918e+06	1.83342e+07	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	0	3.738e+06	2.96775e+06	1.07314e+06
28	16	1	13	1	6.84273e+07	1.93638e+07	1.72647e+07	0	4.30929e+06	5.78918e+06	1.83342e+07	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	0	2.96775e+06	1.07314e+06
29	16	1	13	1	6.84273e+07	1.93638e+07	1.72647e+07	0	4.30929e+06	5.78918e+06	1.83342e+07	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	0	1.07314e+06
30	16	1	13	1	6.84273e+07	1.93638e+07	1.72647e+07	0	4.30929e+06	5.78918e+06	1.83342e+07	2.26821e+06	4.45778e+06	5.10264e+06	4.39643e+06	2.87705e+06	3.738e+06	2.96775e+06	0
