parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
growth_rate	NA	Muribaculaceae	0.38262	103.8664	0.056622
growth_rate	NA	Faecalibaculum	0.35211	103.8664	0.084346
growth_rate	NA	Bacteroides-acidifaciens	0.06309	103.8664	0.037707
growth_rate	NA	Akkermansia-muciniphila	0.022325	103.8664	0.10384
growth_rate	NA	Parasutterella	0.31878	103.8664	0.05912
growth_rate	NA	Bacteroides	0.048171	103.8664	0.026162
growth_rate	NA	Lachnospiraceae-NK4A136-group	0.2162	103.8664	0.057363
growth_rate	NA	Alloprevotella	0.12254	103.8664	0.044686
growth_rate	NA	Parabacteroides-goldsteinii	0.057826	103.8664	0.034183
growth_rate	NA	Lachnospiraceae	0.33027	103.8664	0.051806
growth_rate	NA	Lachnospiraceae-bacterium-28-4	0.23266	103.8664	0.065475
growth_rate	NA	Clostridia-UCG-014	0.22712	103.8664	0.046012
growth_rate	NA	Oscillospiraceae	0.22797	103.8664	0.052618
growth_rate	NA	Rikenellaceae-RC9-gut-group	0.17033	103.8664	0.046783
growth_rate	NA	Mucispirillum-schaedleri	0.04838	103.8664	0.075072
interaction	Muribaculaceae	Muribaculaceae	-5.6197e-09	103.8664	1.0316e-09
interaction	Muribaculaceae	Faecalibaculum	0	0	0
interaction	Muribaculaceae	Bacteroides-acidifaciens	0	4.4446e-05	1.7156e-12
interaction	Muribaculaceae	Akkermansia-muciniphila	0	0	0
interaction	Muribaculaceae	Parasutterella	0	0	0
interaction	Muribaculaceae	Bacteroides	0	0	0
interaction	Muribaculaceae	Lachnospiraceae-NK4A136-group	0	0	0
interaction	Muribaculaceae	Alloprevotella	0	0	0
interaction	Muribaculaceae	Parabacteroides-goldsteinii	0	0	0
interaction	Muribaculaceae	Lachnospiraceae	0	0	0
interaction	Muribaculaceae	Lachnospiraceae-bacterium-28-4	0	0.00013335	7.1784e-11
interaction	Muribaculaceae	Clostridia-UCG-014	0	0	0
interaction	Muribaculaceae	Oscillospiraceae	0	0	0
