StateID	ParentID	PerturbationID	N_species	frequency	Bacteroidaceae	Akkermansiaceae	Lachnospiraceae	Sutterellaceae	Porphyromonadaceae	Prevotellaceae	Acidaminococcaceae	Ruminococcaceae	Enterobacteriaceae	Desulfovibrionaceae	Erysipelotrichaceae	Rikenellaceae	Barnesiellaceae	Erysipelatoclostridiaceae	Clostridiales_Incertae_Sedis_XIII
1	1	1	15	0.884444	5.86172e+07	2.59158e+07	9.94742e+06	5.67261e+06	8.00481e+06	4.41629e+06	3.94218e+06	1.3041e+06	6.9392e+06	2.35136e+06	1.10284e+06	1.10671e+06	808465	80591.3	15047
2	1	1	14	0.884444	0	2.59158e+07	9.94742e+06	5.67261e+06	8.00481e+06	4.41629e+06	3.94218e+06	1.3041e+06	6.9392e+06	2.35136e+06	1.10284e+06	1.10671e+06	808465	80591.3	15047
3	1	1	14	0.884444	5.86172e+07	0	9.94742e+06	5.67261e+06	8.00481e+06	4.41629e+06	3.94218e+06	1.3041e+06	6.9392e+06	2.35136e+06	1.10284e+06	1.10671e+06	808465	80591.3	15047
4	1	1	14	0.884444	5.86172e+07	2.59158e+07	0	5.67261e+06	8.00481e+06	4.41629e+06	3.94218e+06	1.3041e+06	6.9392e+06	2.35136e+06	1.10284e+06	1.10671e+06	808465	80591.3	15047
5	1	1	14	0.888889	5.85864e+07	2.59583e+07	9.94109e+06	0	7.9943e+06	4.40078e+06	3.94468e+06	1.30389e+06	6.9418e+06	2.35058e+06	1.10268e+06	1.10673e+06	808052	80849.7	15048.1
6	1	1	14	0.884444	5.86172e+07	2.59158e+07	9.94742e+06	5.67261e+06	0	4.41629e+06	3.94218e+06	1.3041e+06	6.9392e+06	2.35136e+06	1.10284e+06	1.10671e+06	808465	80591.3	15047
7	1	1	14	0.884444	5.86172e+07	2.59158e+07	9.94742e+06	5.67261e+06	8.00481e+06	0	3.94218e+06	1.3041e+06	6.9392e+06	2.35136e+06	1.10284e+06	1.10671e+06	808465	80591.3	15047
8	1	1	14	0.991111	5.85556e+07	2.59158e+07	9.9089e+06	5.67707e+06	8.00481e+06	4.38528e+06	0	6.0127e+06	6.94189e+06	2.32622e+06	1.10251e+06	1.10377e+06	811596	81665	15118.3
9	1	1	14	0.991111	5.85556e+07	2.59158e+07	9.9089e+06	5.67707e+06	8.00481e+06	4.38528e+06	3.99678e+06	0	6.94189e+06	2.32622e+06	1.10251e+06	1.10377e+06	811596	81665	15118.3
10	1	1	14	0.884444	5.86172e+07	2.59158e+07	9.94742e+06	5.67261e+06	8.00481e+06	4.41629e+06	3.94218e+06	1.3041e+06	0	2.35136e+06	1.10284e+06	1.10671e+06	808465	80591.3	15047
11	1	1	14	0.884444	5.86172e+07	2.59158e+07	9.94742e+06	5.67261e+06	8.00481e+06	4.41629e+06	3.94218e+06	1.3041e+06	6.9392e+06	0	1.10284e+06	1.10671e+06	808465	80591.3	15047
12	1	1	14	0.884444	5.86172e+07	2.59158e+07	9.97199e+06	5.67261e+06	8.00481e+06	4.41629e+06	3.94218e+06	1.3041e+06	6.9392e+06	2.35136e+06	0	1.10671e+06	808465	80591.3	14965.4
13	1	1	14	0.884444	5.86172e+07	2.59158e+07	9.94742e+06	5.67261e+06	8.00481e+06	4.41629e+06	3.94218e+06	1.3041e+06	6.9392e+06	2.35136e+06	1.10284e+06	0	808465	80591.3	15047
14	1	1	14	0.884444	5.86172e+07	2.59158e+07	9.94742e+06	5.67261e+06	8.00481e+06	4.41629e+06	3.94218e+06	1.3041e+06	6.9392e+06	2.35136e+06	1.10284e+06	1.10671e+06	0	80591.3	15047
15	1	1	14	0.884444	5.86172e+07	2.59158e+07	9.94742e+06	5.67261e+06	8.00481e+06	4.41629e+06	3.94218e+06	1.3041e+06	6.9392e+06	2.35136e+06	1.10284e+06	1.10671e+06	808465	0	15047
16	1	1	14	0.888889	5.85864e+07	2.59583e+07	1.3936e+07	8.09775e+06	7.9943e+06	4.42466e+06	3.94468e+06	1.30389e+06	6.9418e+06	2.37434e+06	1.10268e+06	1.11251e+06	808052	80849.7	0
1	1	2	15	0.866667	5.86172e+07	2.57146e+07	9.93476e+06	5.67261e+06	8.00481e+06	4.41629e+06	3.94218e+06	1.3041e+06	6.91895e+06	2.36197e+06	1.11304e+06	1.05759e+06	807639	80461.7	15047
2	1	2	14	0.866667	0	2.57146e+07	9.93476e+06	5.67261e+06	8.00481e+06	4.41629e+06	3.94218e+06	1.3041e+06	6.91895e+06	2.36197e+06	1.11304e+06	1.05759e+06	807639	80461.7	15047
3	1	2	14	0.866667	5.86172e+07	0	9.93476e+06	5.67261e+06	8.00481e+06	4.41629e+06	3.94218e+06	1.3041e+06	6.91895e+06	2.36197e+06	1.11304e+06	1.05759e+06	807639	80461.7	15047
4	1	2	14	0.866667	5.86172e+07	2.57146e+07	0	5.67261e+06	8.00481e+06	4.41629e+06	3.94218e+06	1.3041e+06	6.91895e+06	2.36197e+06	1.11304e+06	1.05759e+06	807639	80461.7	15047
5	1	2	14	0.871111	5.85864e+07	2.57591e+07	9.92183e+06	0	7.98598e+06	4.40078e+06	3.94468e+06	1.30389e+06	6.92907e+06	2.35666e+06	1.10794e+06	1.06132e+06	802298	80784.9	15048.1
6	1	2	14	0.866667	5.86172e+07	2.57146e+07	9.93476e+06	5.67261e+06	0	4.41629e+06	3.94218e+06	1.3041e+06	6.91895e+06	2.36197e+06	1.11304e+06	1.05759e+06	807639	80461.7	15047
7	1	2	14	0.866667	5.86172e+07	2.57146e+07	9.93476e+06	5.67261e+06	8.00481e+06	0	3.94218e+06	1.3041e+06	6.91895e+06	2.36197e+06	1.11304e+06	1.05759e+06	807639	80461.7	15047
8	1	2	14	0.973333	5.85556e+07	2.57146e+07	9.8023e+06	5.67707e+06	8.00481e+06	4.38528e+06	0	6.0127e+06	6.9392e+06	2.32622e+06	1.10284e+06	1.06504e+06	808465	81665	15118.3
9	1	2	14	0.973333	5.85556e+07	2.57146e+07	9.8023e+06	5.67707e+06	8.00481e+06	4.38528e+06	3.99678e+06	0	6.9392e+06	2.32622e+06	1.10284e+06	1.06504e+06	808465	81665	15118.3
10	1	2	14	0.866667	5.86172e+07	2.57146e+07	9.93476e+06	5.67261e+06	8.00481e+06	4.41629e+06	3.94218e+06	1.3041e+06	0	2.36197e+06	1.11304e+06	1.05759e+06	807639	80461.7	15047
11	1	2	14	0.866667	5.86172e+07	2.57146e+07	9.93476e+06	5.67261e+06	8.00481e+06	4.41629e+06	3.94218e+06	1.3041e+06	6.91895e+06	0	1.11304e+06	1.05759e+06	807639	80461.7	15047
12	1	2	14	0.866667	5.86172e+07	2.57146e+07	9.94742e+06	5.67261e+06	8.00481e+06	4.41629e+06	3.94218e+06	1.3041e+06	6.91895e+06	2.36197e+06	0	1.05759e+06	807639	80461.7	14965.4
13	1	2	14	0.884444	5.86172e+07	2.57146e+07	9.93476e+06	5.67261e+06	8.00481e+06	4.41629e+06	3.94218e+06	1.3041e+06	6.9392e+06	2.35136e+06	1.10284e+06	0	808465	80591.3	15047
14	1	2	14	0.866667	5.86172e+07	2.57146e+07	9.93476e+06	5.67261e+06	8.00481e+06	4.41629e+06	3.94218e+06	1.3041e+06	6.91895e+06	2.36197e+06	1.11304e+06	1.05759e+06	0	80461.7	15047
15	1	2	14	0.866667	5.86172e+07	2.57146e+07	9.93476e+06	5.67261e+06	8.00481e+06	4.41629e+06	3.94218e+06	1.3041e+06	6.91895e+06	2.36197e+06	1.11304e+06	1.05759e+06	807639	0	15047
16	1	2	14	0.871111	5.85864e+07	2.57591e+07	1.40838e+07	8.1496e+06	7.98598e+06	4.42466e+06	3.94468e+06	1.30389e+06	6.92907e+06	2.39071e+06	1.10794e+06	1.07366e+06	802298	80784.9	0
