parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
growth_rate	NA	Bacteroidaceae	1.0943	224990	0.16355
growth_rate	NA	Akkermansiaceae	0.8816	224990	0.19509
growth_rate	NA	Lachnospiraceae	0.9693	224990	0.19203
growth_rate	NA	Sutterellaceae	0.47783	224990	0.21785
growth_rate	NA	Porphyromonadaceae	0.83077	224990	0.19511
growth_rate	NA	Prevotellaceae	0.64836	224990	0.23998
growth_rate	NA	Acidaminococcaceae	0.81007	224990	0.13801
growth_rate	NA	Ruminococcaceae	1.1108	224990	0.1583
growth_rate	NA	Enterobacteriaceae	0.014917	224990	0.25379
growth_rate	NA	Desulfovibrionaceae	0.52018	224990	0.16987
growth_rate	NA	Erysipelotrichaceae	0.57077	224990	0.17331
growth_rate	NA	Rikenellaceae	0.69386	224990	0.22698
growth_rate	NA	Barnesiellaceae	0.58285	224990	0.1486
growth_rate	NA	Erysipelatoclostridiaceae	0.44996	224990	0.15248
growth_rate	NA	Clostridiales_Incertae_Sedis_XIII	0.99881	224990	0.22489
interaction	Bacteroidaceae	Bacteroidaceae	-1.7169e-08	224990	2.4984e-09
interaction	Bacteroidaceae	Akkermansiaceae	0	8.8897e-05	1.5619e-10
interaction	Bacteroidaceae	Lachnospiraceae	0	0.0012014	5.1872e-10
interaction	Bacteroidaceae	Sutterellaceae	0	0	0
interaction	Bacteroidaceae	Porphyromonadaceae	0	0.00013335	1.5052e-10
interaction	Bacteroidaceae	Prevotellaceae	0	0	0
interaction	Bacteroidaceae	Acidaminococcaceae	0	0	0
interaction	Bacteroidaceae	Ruminococcaceae	0	0	0
interaction	Bacteroidaceae	Enterobacteriaceae	0	0	0
interaction	Bacteroidaceae	Desulfovibrionaceae	0	4.4446e-05	6.8647e-11
interaction	Bacteroidaceae	Erysipelotrichaceae	0	0.00013335	1.3329e-10
interaction	Bacteroidaceae	Rikenellaceae	0	0	0
interaction	Bacteroidaceae	Barnesiellaceae	0	0	0
interaction	Bacteroidaceae	Erysipelatoclostridiaceae	0	0	0
interaction	Bacteroidaceae	Clostridiales_Incertae_Sedis_XIII	0	0	0
interaction	Akkermansiaceae	Bacteroidaceae	0	0	0
interaction	Akkermansiaceae	Akkermansiaceae	-2.4185e-08	224990	7.2906e-09
interaction	Akkermansiaceae	Lachnospiraceae	0	0	0
interaction	Akkermansiaceae	Sutterellaceae	0	0	0
interaction	Akkermansiaceae	Porphyromonadaceae	0	0	0
