StateID	ParentID	PerturbationID	N_species	frequency	Bacteroidaceae	Akkermansiaceae	Lachnospiraceae	Sutterellaceae	Porphyromonadaceae	Prevotellaceae	Acidaminococcaceae	Ruminococcaceae	Enterobacteriaceae	Desulfovibrionaceae	Erysipelotrichaceae	Rikenellaceae	Barnesiellaceae	Erysipelatoclostridiaceae	Clostridiales_Incertae_Sedis_XIII
1	1	1	15	0.924444	6.89211e+07	3.9695e+07	7.73233e+06	9.75021e+06	5.60873e+06	9053.31	37502.8	1.43469e+06	27284.9	25369.9	1.04702e+06	437054	1680.83	169301	7997.61
2	1	1	14	0.924444	0	3.9695e+07	7.73233e+06	9.75021e+06	5.60873e+06	9053.31	37502.8	1.43469e+06	27284.9	25369.9	1.04702e+06	437054	1680.83	169301	7997.61
3	1	1	14	0.924444	6.89211e+07	0	7.73233e+06	9.75021e+06	5.60873e+06	9053.31	37502.8	1.43469e+06	27284.9	25369.9	1.04702e+06	437054	1680.83	169301	7997.61
4	1	1	14	0.964444	6.87766e+07	3.94931e+07	0	9.78339e+06	5.60523e+06	9051.08	37552.2	1.42359e+06	27272.1	25558.9	1.03657e+06	436791	1690.01	164841	8278.74
5	1	1	14	0.924444	6.89211e+07	3.9695e+07	7.73233e+06	0	5.60873e+06	9053.31	37502.8	1.48775e+06	27284.9	25369.9	1.0434e+06	437054	1680.83	169301	7997.61
6	1	1	14	0.906667	6.89211e+07	3.95305e+07	7.73233e+06	9.76752e+06	0	9053.31	37388.7	1.65597e+06	27170.2	25310.9	1.05085e+06	439957	1676.73	169866	8035.2
7	1	1	14	0.946667	6.88116e+07	3.95538e+07	7.79339e+06	9.74878e+06	5.61222e+06	0	37564.4	1.43337e+06	27272.1	25401.7	1.04646e+06	436464	1679.32	169001	7993.56
8	1	1	14	0.928889	6.90306e+07	3.98361e+07	7.76923e+06	9.74878e+06	5.60523e+06	9051.08	0	1.43337e+06	27297.7	25401.7	1.04646e+06	437317	1690.01	169001	7993.56
9	1	1	14	0.928889	6.88116e+07	3.95538e+07	7.69544e+06	9.75164e+06	5.60523e+06	9051.08	37526	0	27272.1	25401.7	1.05983e+06	436791	1679.32	169600	8001.67
10	1	1	14	0.924444	6.89211e+07	3.9695e+07	7.73233e+06	9.75021e+06	5.60873e+06	9053.31	37502.8	1.43469e+06	0	25369.9	1.04702e+06	437054	1680.83	169301	7997.61
11	1	1	14	0.942222	6.89211e+07	3.9695e+07	7.84241e+06	9.75021e+06	5.60873e+06	9071.91	37558.3	1.43469e+06	27284.9	0	1.04702e+06	436628	1676.73	169301	7989.73
12	1	1	14	0.924444	6.89211e+07	3.9695e+07	7.73233e+06	9.75021e+06	5.60873e+06	9053.31	37502.8	1.43469e+06	27284.9	25369.9	0	437054	1680.83	169301	7997.61
13	1	1	14	0.924444	6.89211e+07	3.9695e+07	7.73233e+06	9.75021e+06	5.60873e+06	9053.31	37502.8	1.43469e+06	27284.9	25369.9	1.04702e+06	0	1680.83	169301	7997.61
14	1	1	14	0.928889	6.90306e+07	3.98361e+07	7.76923e+06	9.74878e+06	5.60523e+06	9051.08	37479.6	1.43337e+06	27297.7	25401.7	1.04646e+06	437317	0	169001	7993.56
15	1	1	14	0.924444	6.89211e+07	3.9695e+07	7.73233e+06	9.75021e+06	5.60873e+06	9053.31	37502.8	1.43469e+06	27284.9	25369.9	1.04702e+06	437054	1680.83	0	7997.61
16	1	1	14	0.968889	6.86692e+07	3.9409e+07	1.31768e+07	9.78355e+06	5.60873e+06	9034.83	37558.3	1.65017e+06	27226.8	25603.2	1.01962e+06	436041	1683.05	167179	0
1	1	2	15	0.915556	6.90621e+07	3.88414e+07	7.73233e+06	9.75021e+06	5.59513e+06	9071.91	37502.8	1.40745e+06	27284.9	25310.9	1.03845e+06	437054	1676.73	169866	7989.73
2	1	2	14	0.915556	0	3.88414e+07	7.73233e+06	9.75021e+06	5.59513e+06	9071.91	37502.8	1.40745e+06	27284.9	25310.9	1.03845e+06	437054	1676.73	169866	7989.73
3	1	2	14	0.915556	6.90621e+07	0	7.73233e+06	9.75021e+06	5.59513e+06	9071.91	37502.8	1.40745e+06	27284.9	25310.9	1.03845e+06	437054	1676.73	169866	7989.73
4	1	2	14	0.955556	6.88087e+07	3.86591e+07	0	9.78339e+06	5.58502e+06	9055.53	37552.2	1.39413e+06	27272.1	25401.7	1.02973e+06	436791	1683.77	169001	8103.56
5	1	2	14	0.915556	6.90621e+07	3.88414e+07	7.73233e+06	0	5.59513e+06	9071.91	37502.8	1.46522e+06	27284.9	25310.9	1.03378e+06	437054	1676.73	169866	7989.73
