parameter_type	source_taxon	target_taxon	value	significance	MCMC_std
growth_rate	NA	Bacteroidaceae	0.77303	266.0736	0.11418
growth_rate	NA	Akkermansiaceae	0.64066	266.0736	0.15814
growth_rate	NA	Lachnospiraceae	0.8439	266.0736	0.1421
growth_rate	NA	Sutterellaceae	0.61295	266.0736	0.12356
growth_rate	NA	Porphyromonadaceae	0.78728	266.0736	0.11996
growth_rate	NA	Prevotellaceae	0.95973	266.0736	0.43929
growth_rate	NA	Acidaminococcaceae	0.052845	266.0736	0.17697
growth_rate	NA	Ruminococcaceae	0.85694	266.0736	0.20403
growth_rate	NA	Enterobacteriaceae	0.49082	266.0736	0.26632
growth_rate	NA	Desulfovibrionaceae	0.15779	266.0736	0.18293
growth_rate	NA	Erysipelotrichaceae	0.20759	266.0736	0.13566
growth_rate	NA	Rikenellaceae	0.40353	266.0736	0.11396
growth_rate	NA	Barnesiellaceae	0.73469	266.0736	0.85118
growth_rate	NA	Erysipelatoclostridiaceae	0.24983	266.0736	0.1719
growth_rate	NA	Clostridiales_Incertae_Sedis_XIII	0.14008	266.0736	0.21616
interaction	Bacteroidaceae	Bacteroidaceae	-9.6668e-09	266.0736	1.0844e-09
interaction	Bacteroidaceae	Akkermansiaceae	0	0	0
interaction	Bacteroidaceae	Lachnospiraceae	0	0	0
interaction	Bacteroidaceae	Sutterellaceae	0	0	0
interaction	Bacteroidaceae	Porphyromonadaceae	0	0	0
interaction	Bacteroidaceae	Prevotellaceae	0	0	0
interaction	Bacteroidaceae	Acidaminococcaceae	0	0	0
interaction	Bacteroidaceae	Ruminococcaceae	0	0.0027185	3.9386e-10
interaction	Bacteroidaceae	Enterobacteriaceae	0	0	0
interaction	Bacteroidaceae	Desulfovibrionaceae	0	0	0
interaction	Bacteroidaceae	Erysipelotrichaceae	0	0	0
interaction	Bacteroidaceae	Rikenellaceae	0	0	0
interaction	Bacteroidaceae	Barnesiellaceae	0	0	0
interaction	Bacteroidaceae	Erysipelatoclostridiaceae	0	4.4446e-05	7.1873e-11
interaction	Bacteroidaceae	Clostridiales_Incertae_Sedis_XIII	0	0	0
interaction	Akkermansiaceae	Bacteroidaceae	0	0	0
interaction	Akkermansiaceae	Akkermansiaceae	-1.3884e-08	266.0736	2.7225e-09
interaction	Akkermansiaceae	Lachnospiraceae	0	0	0
interaction	Akkermansiaceae	Sutterellaceae	0	0	0
interaction	Akkermansiaceae	Porphyromonadaceae	0	0	0
interaction	Akkermansiaceae	Prevotellaceae	0	0	0
interaction	Akkermansiaceae	Acidaminococcaceae	0	0	0
interaction	Akkermansiaceae	Ruminococcaceae	0	0	0
interaction	Akkermansiaceae	Enterobacteriaceae	0	0	0
interaction	Akkermansiaceae	Desulfovibrionaceae	0	0	0
interaction	Akkermansiaceae	Erysipelotrichaceae	0	0	0
interaction	Akkermansiaceae	Rikenellaceae	0	4.4446e-05	5.9449e-11
interaction	Akkermansiaceae	Barnesiellaceae	0	0	0
interaction	Akkermansiaceae	Erysipelatoclostridiaceae	0	0	0
