sampleID	Subject	Time
1	1	1
2	1	2
3	1	3
4	1	4
5	1	5
6	1	6
7	1	7
8	1	8
9	1	9
10	1	10
11	1	11
12	1	13
13	1	15
14	1	17
15	1	20
16	1	21
17	1	23
18	1	25
19	2	1
20	2	2
21	2	3
22	2	4
23	2	5
24	2	6
25	2	7
26	2	8
27	2	9
28	2	10
29	2	11
30	2	13
31	2	15
32	2	17
33	2	20
34	2	21
35	2	23
36	2	25
37	3	1
38	3	2
39	3	3
40	3	4
41	3	5
42	3	6
43	3	7
44	3	8
45	3	9
46	3	10
47	3	11
48	3	13
49	3	15
50	3	17
51	3	20
52	3	21
53	3	23
54	3	25
55	4	1
56	4	2
57	4	3
58	4	4
59	4	5
60	4	6
61	4	7
62	4	8
63	4	9
64	4	10
65	4	11
66	4	13
67	4	15
68	4	17
69	4	20
70	4	21
71	4	23
72	4	25
73	5	1
74	5	2
75	5	3
76	5	4
77	5	5
78	5	6
79	5	7
80	5	8
81	5	9
82	5	10
83	5	11
84	5	13
85	5	15
86	5	17
87	5	20
88	5	21
89	5	23
90	5	25
91	6	1
92	6	2
93	6	3
94	6	4
95	6	5
96	6	6
97	6	7
98	6	8
99	6	9
100	6	10
101	6	11
102	6	13
103	6	15
104	6	17
105	6	20
106	6	21
107	6	23
108	6	25
109	7	1
110	7	2
111	7	3
112	7	4
113	7	5
114	7	6
115	7	7
116	7	8
117	7	9
118	7	10
119	7	11
120	7	13
121	7	15
122	7	17
123	7	20
124	7	21
125	7	23
126	7	25
127	8	1
128	8	2
129	8	3
130	8	4
131	8	5
132	8	6
133	8	7
134	8	8
135	8	9
136	8	10
137	8	11
138	8	13
139	8	15
140	8	17
141	8	20
142	8	21
143	8	23
144	8	25
145	9	1
146	9	2
147	9	3
148	9	4
149	9	5
150	9	6
151	9	7
152	9	8
153	9	9
154	9	10
155	9	11
156	9	13
157	9	15
158	9	17
159	9	20
160	9	21
161	9	23
162	9	25
163	10	1
164	10	2
165	10	3
166	10	4
167	10	5
168	10	6
169	10	7
170	10	8
171	10	9
172	10	10
173	10	11
174	10	13
175	10	15
176	10	17
177	10	20
178	10	21
179	10	23
180	10	25
