sampleID	Subject	Time
1	1	1
2	1	2
3	1	3
4	1	4
5	1	6
6	1	7
7	1	11
8	1	15
9	1	17
10	1	19
11	1	21
12	1	23
13	1	25
14	2	1
15	2	2
16	2	3
17	2	4
18	2	6
19	2	7
20	2	11
21	2	15
22	2	17
23	2	19
24	2	21
25	2	23
26	2	25
27	3	1
28	3	2
29	3	3
30	3	4
31	3	6
32	3	7
33	3	11
34	3	15
35	3	17
36	3	19
37	3	21
38	3	23
39	3	25
40	4	1
41	4	2
42	4	3
43	4	4
44	4	6
45	4	7
46	4	11
47	4	15
48	4	17
49	4	19
50	4	21
51	4	23
52	4	25
53	5	1
54	5	2
55	5	3
56	5	4
57	5	6
58	5	7
59	5	11
60	5	15
61	5	17
62	5	19
63	5	21
64	5	23
65	5	25
66	6	1
67	6	2
68	6	3
69	6	4
70	6	6
71	6	7
72	6	11
73	6	15
74	6	17
75	6	19
76	6	21
77	6	23
78	6	25
79	7	1
80	7	2
81	7	3
82	7	4
83	7	6
84	7	7
85	7	11
86	7	15
87	7	17
88	7	19
89	7	21
90	7	23
91	7	25
92	8	1
93	8	2
94	8	3
95	8	4
96	8	6
97	8	7
98	8	11
99	8	15
100	8	17
101	8	19
102	8	21
103	8	23
104	8	25
105	9	1
106	9	2
107	9	3
108	9	4
109	9	6
110	9	7
111	9	11
112	9	15
113	9	17
114	9	19
115	9	21
116	9	23
117	9	25
118	10	1
119	10	2
120	10	3
121	10	4
122	10	6
123	10	7
124	10	11
125	10	15
126	10	17
127	10	19
128	10	21
129	10	23
130	10	25
